"Here are the results!. We had 104 racers for the Morning Event and 76 for the Afternoon Event.",,,,,,,,,,,,,,,,,,,
Morning Event,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,SS,OPEN,MARC MCCOMBS,01 CORVETTE,50.653,,50.733,(2),47.825,,47.825,2,39.982,2,999,,,,
2,SS,OPEN,STEVE BURGER,01 CORVETTE,50.281,,48.84,,50.672,(2),48.84,5,40.83,7,978,,,,
3,SS,OPEN,JOEL SCHOTZ,01 CORVETTE,53.896,,51.534,,49.943,,49.943,10,41.752,16,956,,,,
4,SS,OPEN,BOB FRANCIS,02 CORVETTE Z06,59.02,,59.458,,58.804,,58.804,64,49.16,75,812,,,,
1,AS,OPEN,JASON ISLEY,89 CORVETTE,48.954,,48.302,,48.749,,48.302,3,39.994,3,998,,,,
2,AS,OPEN,STEVE RYAN,91 CORVETTE,58.782,(6),49.64,,50.284,,49.64,8,41.102,10,971,,,,
3,AS,OPEN,BOB ISLEY,89 CORVETTE,51.568,,53.748,(2),51.31,,51.31,15,42.485,22,940,,,,
1,BS,OPEN,DAVE MCCOMBS,02 HANDA S2000,52.055,(2),51.716,(2),48.554,,48.554,4,40.154,5,994,,,,
2,BS,OPEN,DAVE SKULL,98 BMW M3,52.148,,51.929,,51.291,,51.291,14,42.418,21,941,,,,
3,BS,OPEN,ABRAHAM JONES,00 CAMARO SS,54.429,,53.601,,54.094,,53.601,32,44.328,35,901,,,,
4,BS,OPEN,JP BRUCE,00 PORSCHE BOXSTER,64.322,,61.626,,60.406,,60.406,79,49.956,82,799,,,,
1,CS,OPEN,JASON TRIBLE,00 MIATA,55.54,,55.198,,55.024,,55.024,41,44.679,39,894,,,,
2,CS,OPEN,JIM O'HARRA,66 LOTUS/7,57.854,,55.745,,56.516,,55.745,45,45.265,40,882,,,,
1,DS,OPEN,TRAVIS HIGDON,98 INTEGRA TYPE R,53.582,(2),55.265,(4),50.031,,50.031,11,39.925,1,1000,,,,
1,ES,OPEN,RICHARD HARRIS,86 TOYOTA MR2,52.434,,52.866,,51.756,,51.756,19,41.508,14,962,,,,
2,ES,OPEN,ROBERT LOVE,93 TOYOTA MR2,53.54,,52.846,,52.044,,52.044,24,41.739,15,957,,,,
3,ES,OPEN,TERRY KISE,84 MAZDA RX-7,56.743,,53.646,,53.297,,53.297,30,42.744,23,934,,,,
4,ES,OPEN,DAVID BARGER,88 MAZDA RX-7,57.497,,57.454,,56.468,,56.468,49,45.287,41,882,,,,
1,FS,OPEN,WIGGY GREACEN,02 CAMARO Z28,51.745,,53.056,(2),51.276,,51.276,13,41.482,12,962,,,,
2,FS,OPEN,DON HYLAND,00 CAMARO Z28,56.711,(2),53.749,,54.673,(2),53.749,34,43.483,29,918,,,,
3,FS,OPEN,JACK DRUMMOND,01 CAMARO Z28,56.247,,55.033,,54.118,,54.118,37,43.781,31,912,,,,
1,GS,OPEN,KRIS TVEDT,95 NEON,55.065,,53.718,,52.85,,52.85,28,41.487,13,962,,,,
2,GS,OPEN,CHRIS SPARLING,02 SAAB 9-3,56.733,,57.43,,55.272,,55.272,43,43.389,28,920,,,,
1,HS,OPEN,ERIC EVANS,92 TAURUS,57.176,(2),53.932,,53.677,,53.677,33,41.814,17,955,,,,
2,HS,OPEN,DAVID CRUSOE,95 HONDA CIVIC Si,54.526,,54.053,,54.009,,54.009,36,42.073,20,949,,,,
1,ASP,OPEN,TED LEWIS,65 LOTUS ELAN,49.507,,49.452,,47.327,,47.327,1,40.039,4,997,,,,
2,ASP,OPEN,BILL MARKLEY,66 FORD COBRA,82.064,(8),62.325,,60.665,,60.665,80,51.323,87,778,,,,
3,ASP,OPEN,KEN PAULIN,66 FORD COBRA,65.364,,65.271,(2),61.406,,61.406,85,51.949,93,769,,,,
