"Results",,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,
RANK,CLASS,CATEGORY,NAME,CAR,RUN 1,,RUN 2,,RUN 3,,RUN 4,,BEST TIME,TIME RANK,PAX TIME,PAX RANK,CLS PTS,,
1,AS,OPEN,STEVE RYAN,91 CORVETTE,59.132,(2),54.655,,58.549,(4),64.291,(10),54.655,6,45.254,7,967,,
1,BS,OPEN,DAVE SKULL,98 BMW M3,60.633,(2),76.86,(20),57.578,,57.147,,57.147,22,47.261,22,926,,
1,CS,OPEN,BYRON SHORT,99 MIATA,59.336,(2),58.496,(2),55.507,,54.28,,54.28,3,44.075,2,993,,
2,CS,OPEN,YVONNE SHORT,99 MIATA,63.033,(2),58.216,,57.352,,56.065,,56.065,13,45.525,10,961,,
3,CS,OPEN,DAWN MAXWELL,94 MIATA,62.377,(4),56.591,,66.47,(4),61.253,(4),56.591,18,45.952,13,952,,
4,CS,OPEN,MARK JOHNSON,94 MIATA,58.391,,56.973,,60.8,(4),56.726,,56.726,21,46.062,14,950,,
5,CS,OPEN,JASON TRIBLE,00 MIATA,62.828,,61.907,,61.674,,62.272,(2),61.674,47,50.079,43,874,,
1,DS,OPEN,JASON RUBIN,00 INTEGRA TYPE R,59.415,,59.352,,58.114,,57.447,,57.447,25,45.843,11,954,,
1,ES,OPEN,TERRY KISE,84 MAZDA RX(7,62.01,,59.744,,59.928,,58.214,,58.214,29,46.688,18,937,,
2,ES,OPEN,BEN ECKLEY,91 CELICA ST,67.746,,75.318,(2),65.519,,67.265,,65.519,70,52.546,62,833,,
1,FS,OPEN,DON HYLAND,00 CAMARO Z28,57.269,,58.466,(2),57.541,,56.13,,56.13,14,45.409,9,964,,
2,FS,OPEN,JACK DRUMMOND,02 CAMARO,62.621,,61.377,,60.698,,59.892,,59.892,41,48.453,28,903,,
3,FS,OPEN,DENNIS ZYGEL,87 SUPRA TURBO,64.286,,62.634,,66.156,,62.77,,62.634,55,50.671,48,863,,
4,FS,OPEN,JIM FLETCHER,97 INTREPID,95.947,(20),95.059,(20),76.229,,71.587,,71.587,82,57.914,82,755,,
1,GS,OPEN,KRIS TVEDT,95 NEON,58.728,,66.56,(8),57.274,,57.156,,57.156,23,44.867,6,975,,
1,HS,OPEN,CHRIS SPARLING,95 SAAB 900SE,64.206,,64.734,,63.07,,62.53,,62.53,54,48.711,30,898,,
1,KT,OPEN,KYLE SHORT,95 KADET KART,65.565,,61.902,,62.595,,62.456,,61.902,48,50.45,46,867,,
2,KT,OPEN,JESSE SMITH,00 RED KART,72.19,,66.519,,65.737,,66.435,,65.737,71,53.576,69,817,,
3,KT,OPEN,KAYLA SMITH,00 RED KART,103.424,(20),86.114,,103.67,(22),81.679,,81.679,A?87,66.569,87,657,,
1,STS,OPEN,MARK EDDY,00 IMPREZA,57.459,,58.552,(2),55.807,,57.368,(2),55.807,9,43.753,1,1000,,
2,STS,OPEN,DAVID ROCK,00 CELICA GTS,58.465,(2),66.343,(2),56.71,,56.286,,56.286,16,44.128,3,991,,
3,STS,OPEN,JASON BOLES,00 IMPREZA RS,81.551,(24),57.886,,58.431,(2),56.598,,56.598,19,44.373,4,986,,
4,STS,OPEN,JONATHAN EDDY,00 IMPREZA,59.044,,56.69,,57.532,,57.048,,56.69,20,44.445,5,984,,
5,STS,OPEN,BUD CALDWELL,00 IMPREZA,63.399,,62.905,(2),64.34,(4),61.914,(2),61.914,49,48.541,29,901,,
6,STS,OPEN,JOSH HOLDEN,00 CIVIC,92.245,(20),71.93,(2),64.198,(2),65.841,(4),64.198,65,50.331,45,869,,
1,STX,OPEN,TYLER THOMPSON,01 AUDI TT,61.267,,62.279,(2),59.074,,58.603,,58.603,34,46.941,20,932,,
2,STX,OPEN,GEREN SMITH,01 IMPREZA WRX,79.818,(20),60.513,(2),64.343,(4),58.665,,58.665,35,46.991,21,931,,
3,STX,OPEN,MARK GOERNER,01 INTEGRA TYPE R,60.962,,78.98,(20),60.285,(2),59.628,,59.628,39,47.762,24,916,,
1,ASP,OPEN,KEN PAULIN,66 COBRA,66.452,,70.599,(2),64.437,(2),62.412,,62.412,51,52.801,63,829,,
1,BSP,OPEN,NEWTON JOHNSON,91 CORVETTE,62.728,(4),56.424,,57.511,(2),55.504,,55.504,8,46.623,17,938,,
1,CSP,OPEN,DAVID LAHEY,94 MIATA,59.388,,61.371,(4),59.426,(2),77.473,(20),59.388,37,50.005,40,875,,
2,CSP,OPEN,ERIC WILLIAMS,95 MIATA,61.706,,61.241,,61.675,,60.143,,60.143,43,50.64,47,864,,
3,CSP,OPEN,JAMES HOLDEN,98 NISSAN 240SX,64.825,(2),61.516,,75.091,(4),63.386,(2),61.516,46,51.796,57,845,,
1,DSP,OPEN,TOM MCINTYRE,98 SATURN SL2,67.918,(6),61.311,,58.821,,58.544,,58.544,33,48.006,26,911,,
1,ESP,OPEN,RICHARD RIPPY,98 CAMARO,59.236,(2),58.244,(2),56.504,,56.038,,56.038,12,46.287,16,945,,
2,ESP,OPEN,DAVID MINGUS,00 DAKOTA,60.523,(2),57.809,,57.917,,57.78,,57.78,26,47.726,23,917,,
3,ESP,OPEN,CARL DECKER,95 CAPRICE,67.194,(8),64.127,(4),63.956,(4),60.61,,60.61,44,50.064,42,874,,
4,ESP,OPEN,JAMES KNIBLOE,97 ECLIPSE,64.646,,83.951,(20),63.257,,62.098,,62.098,50,51.293,53,853,,
1,FSP,OPEN,CHRIS CATHEY,75 BMW,68.023,,61.565,,59.914,,61.685,(2),59.914,42,48.95,33,894,,
1,AP,OPEN,GREG DUNCAN,84 FIERO,56.858,(2),56.893,(4),52.91,,54.695,(2),52.91,1,46.243,15,946,,
2,AP,OPEN,TOM HILL,84 FIERO,78.355,(20),70.183,(2),55.874,,56.638,(2),55.874,10,48.834,31,896,,
1,CP,OPEN,BOB WALSH,99 MUSTANG,61.553,,61.362,(2),59.916,(2),58.857,,58.857,36,50.264,44,870,,
2,CP,OPEN,KENNY SMITH,68 CAMARO,67.719,(4),64.402,,59.886,,60.885,(2),59.886,40,51.143,52,855,,
1,BM,OPEN,ALEX MAC GILLAVRY,65 MALLOCK U2,69.906,,66.998,,DNF,,58.017,,58.017,28,55.174,74,793,,
1,CM,OPEN,GENE SANDERS,72 FF,57.047,(2),54.708,,53.609,,53.163,,53.163,2,48.857,32,896,,
2,CM,OPEN,KEN EDNEY,76 Z10 FF,62.665,(2),56.453,,69.261,(2),97.992,(20),56.453,17,51.88,58,843,,
1,DM,OPEN,JOE CURRY,63 SPITFIRE,57.891,,56.914,,55.45,,56.149,,55.45,7,49.572,37,883,,
2,DM,OPEN,RALPH PRINCE,60 BUGEYE SPRITE,65.328,,59.585,,59.441,,66.744,(6),59.441,38,53.14,66,823,,
1,EM,OPEN,DAN MACKEAN,71 DATSUN 240Z,58.569,,DNF,,57.258,(2),54.607,,54.607,5,49.365,36,886,,
2,EM,OPEN,BRIAN MALM,90 CORVARRI,62.249,(2),60.104,(2),77.871,(8),57.24,,57.24,24,51.745,56,846,,
1,SM,OPEN,DAVE YOUNG,02 BMW M3,58.179,(2),77.25,(22),55.415,,54.43,,54.43,4,45.395,8,964,,
2,SM,OPEN,TRAVIS HIGDON,98 INTEGRA TYPE R,56.164,,59.915,(4),56.397,,61.519,(6),56.164,15,46.841,19,934,,
1,SM2,OPEN,HARRY BERZES,94 MIATA,57.865,,57.297,,55.962,,56.1,,55.962,11,47.903,25,913,,
2,SM2,OPEN,MICHAEL ROLAND,99 MIATA,60.287,(2),61.057,(2),DNF,,57.944,,57.944,27,49.6,38,882,,
3,SM2,OPEN,BOB FRANCIS,99 MIATA,67.268,(4),63.044,,86.011,(26),62.443,(2),62.443,52,53.451,68,819,,
1,CP,LADIES,RONDA SMITH,68 CAMARO,69.249,(2),92.633,(20),66.111,,64.921,,64.921,67,55.443,76,789,,
1,DS,ELECTRIC,SEAN RAMBARAN,81 VW RABBIT,118.201,,95.033,(16),82.347,(2),79.575,,79.575,85,63.501,85,689,,
