"Here are the results! We had 71 racers for the Event, and 31 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event VI,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
1,SS,OPEN,MARC MCCOMBS,01 CORVETTE,53.115,,53.061,,57.163,-2,61.100,-6,53.061,3,44.359,2,993,,
2,SS,OPEN,JOEL SCHOTZ,01 CORVETTE,57.826,,57.309,,56.524,,55.577,,55.577,11,46.462,9,948,,
1,AS,OPEN,STEVE RYAN,91 CORVETTE,56.030,,58.596,-4,56.578,-2,54.195,,54.195,5,44.873,4,981,,
1,BS,OPEN,DAVE MCCOMBS,02 HONDA S2000,55.122,,67.707,-10,56.172,,62.737,-6,55.122,7,45.586,5,966,,
2,BS,OPEN,DAVE SKULL,91 TOYOTA MR2/T,56.536,,56.446,,59.121,-4,55.641,,55.641,12,46.015,7,957,,
1,CS,OPEN,JIM O'HARRA,66 LOTUS SUPER 7,63.851,,59.739,,60.858,-2,58.147,,58.147,20,47.215,18,933,,
2,CS,OPEN,CLIFF ORBACK,73 PORSCHE 914,58.262,,70.841,-4,64.368,,59.465,,58.262,22,47.309,19,931,,
1,ES,OPEN,RICHARD HARRIS,86 TOYOTA MR2,58.120,,60.512,(2),58.378,,58.276,,58.120,19,46.612,11,945,,
2,ES,OPEN,JAMES BURTON,86 PORSCHE 944,74.936,,69.585,(4),DNF,,DNF,,69.585,68,55.807,67,789,,
1,FS,OPEN,DON HYLAND,00 CAMARO Z28,59.559,,58.518,,57.903,,59.016,,57.903,18,46.844,14,940,,
1,GS,OPEN,KRIS TVEDT,95 NEON,60.372,,59.310,,59.136,,59.669,,59.136,25,46.422,8,949,,
2,GS,OPEN,CHRIS SPARLING,02 SAAB 9-3,62.026,,62.205,,65.246,-2,61.574,,61.574,35,48.336,26,911,,
3,GS,OPEN,SPENCER YARTER,99 GRAND PRIX,73.325,-6,68.947,-2,64.013,,64.694,,64.013,49,50.250,33,876,,
1,HS,OPEN,BUD ADELMAN,88 MAZDA 626/T,67.683,,65.603,-2,61.838,,61.421,,61.421,34,47.847,21,920,,
2,HS,OPEN,KEN PAULIN,01 FORD SEDAN,68.419,,64.488,,66.196,,65.011,,64.488,52,50.236,32,877,,
3,HS,OPEN,BILL MARKLEY,01 FORD SEDAN,69.565,,72.630,,71.240,,70.085,,69.565,67,54.191,59,813,,
1,ASP,OPEN,TED LEWIS,65 LOTUS,54.574,,53.161,,54.094,-2,52.059,,52.059,1,44.042,1,1000,,
2,ASP,OPEN,JASON BOLES,99 BMW Z COUPE,58.256,-2,59.813,-4,60.466,-4,55.742,,55.742,13,47.158,17,934,,
