"Here are the results! We had 67 racers for the Event, and 23 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,SS,OPEN,STEVE BURGER,01 CORVETTE,48.156,(2),45.314,,44.603,,44.603,5,37.288,7,946,,,,
1,BS,OPEN,DAVE SKULL,98 BMW M3,45.272,,46.508,,44.779,,44.779,6,37.032,6,952,,,,
1,CS,OPEN,JIM O'HARRA,66 LOTUS SUPER 7,58.739,,49.922,,47.573,,47.573,20,38.629,14,913,,,,
2,CS,OPEN,JASON TRIBLE,00 MIATA,49.381,,48.276,,47.804,,47.804,23,38.817,15,908,,,,
1,DS,OPEN,MIKE QUIGLEY,02 SUBARU WRX,76.896,-22,72.108,-20,53.412,,53.412,50,42.623,41,827,,,,
1,ES,OPEN,CARL KOCKE,85 MR2,59.914,,51.205,,51.289,,51.205,36,41.066,32,859,,,,
1,FS,OPEN,DON HYLAND,00 CAMARO Z28,46.950,,45.312,,45.545,,45.312,10,36.657,5,962,,,,
1,GS,OPEN,CHRIS SPARLING,02 SAAB 9-3,49.893,,74.884,(24),48.839,,48.839,25,38.339,13,920,,,,
2,GS,OPEN,RYAN CALHOON,90 CELICA GTS,51.047,,72.469,(22),51.470,,51.047,34,40.072,24,880,,,,
1,BSP,OPEN,NEWTON JOHNSON,91 CORVETTE ZR1,45.731,,45.266,,43.065,,43.065,3,36.175,3,975,,,,
2,BSP,OPEN,BRIAN SIMON,75 DATSUN 280Z,48.576,,47.125,,46.967,,46.967,16,39.452,22,894,,,,
3,BSP,OPEN,JASON LARSON,97 BMW M3,68.127,(20),67.239,(20),47.438,,47.438,19,39.848,23,885,,,,
1,CSP,OPEN,JAMES HOLDEN,98 NISSAN 240SX,51.601,,52.004,,66.573,-2,51.601,40,43.448,48,811,,,,
1,DSP,OPEN,KIM STEWART,96 VW GTI,52.463,,48.972,,47.427,,47.427,18,38.890,16,907,,,,
2,DSP,OPEN,MICHAEL OBERSTAR,91 VW GTI,50.041,,48.874,,53.192,,48.874,26,40.077,25,880,,,,
1,ESP,OPEN,ABRAHAM JONES,00 CAMARO SS,45.996,,45.945,,76.652,-24,45.945,11,37.951,11,929,,,,
2,ESP,OPEN,BILL SCHROEDER,91 MUSTANG,47.702,,50.068,-2,62.065,,47.702,21,39.402,21,895,,,,
1,FSP,OPEN,CHRIS CATHY,75 BMW 2002,61.531,-2,48.368,,46.488,,46.488,13,37.981,12,928,,,,
2,FSP,OPEN,JON LE_GRAND,86 VW GOLF,59.271,,55.979,,55.029,,55.029,56,44.959,56,784,,,,
1,AP,OPEN,GREG DUNCAN,84 FIERO,43.824,,43.969,-2,42.804,,42.804,1,37.411,9,942,,,,
2,AP,OPEN,BUD ADELMAN,84 FIERO,78.567,-22,54.395,-2,50.713,-2,50.713,32,44.323,55,795,,,,
1,CM,OPEN,GENE SANDERS,72 CALDWELL FF,45.393,-2,43.902,,42.808,,42.808,2,39.341,19,896,,,,
1,DM,OPEN,JOE CURRY,63 SPITFIRE,45.475,,44.859,,45.197,,44.859,7,40.104,26,879,,,,
2,DM,OPEN,TOM HILL,84 NISSAN 200SX,51.831,,48.906,,47.316,,47.316,17,42.301,37,833,,,,
3,DM,OPEN,RALPH PRINCE,60 BUGEYE,61.194,,47.761,,49.189,,47.761,22,42.698,42,826,,,,
4,DM,OPEN,RINK REINKING,58 PORSCHE 356A,51.661,-2,50.837,,53.170,(4),50.837,33,45.448,57,776,,,,
5,DM,OPEN,WOODY REMENCUS,83 NISSAN,72.629,-20,60.219,,54.031,,54.031,52,48.304,61,730,,,,
1,STS,OPEN,DAVID ROCK,00 CELICA GTS,45.647,,45.208,,44.970,,44.970,8,35.256,1,1000,,,,
2,STS,OPEN,JONATHAN EDDY,00 SUBARU IMPREZA,47.283,,46.143,,44.973,,44.973,9,35.259,2,999,,,,
3,STS,OPEN,MIKE JAMES,98 VW PASSAT,49.220,,46.539,,49.149,,46.539,14,36.487,4,966,,,,
4,STS,OPEN,JOSH HOLDEN,00 CIVIC Si,52.758,,49.796,,50.050,,49.796,29,39.040,18,903,,,,
1,STX,OPEN,MARK GOERNER,01 INTEGRA TYPE R,47.896,,46.681,,51.209,-4,46.681,15,37.391,8,943,,,,
1,SM2,OPEN,DAN MACKEAN,71 DATSUN 240Z,45.600,,44.138,,44.637,,44.138,4,37.782,10,933,,,,
2,SM2,OPEN,RICK O'MALLEY,84 HONDA CRX,48.559,,46.994,,45.977,,45.977,12,39.356,20,896,,,,
3,SM2,OPEN,ENRIQUE AVILES,82 MAZDA RX-7,54.154,,52.367,,51.478,,51.478,37,44.065,52,800,,,,
4,SM2,OPEN,SPENCER YARTER,85 FIERO,71.638,-4,58.164,,62.831,-2,58.164,62,49.788,65,708,,,,
1,STS,NOVICE,JOE UNLEGABLE,94 CIVIC,55.213,,52.786,,51.557,,51.557,39,40.421,28,872,,,,
2,GS,NOVICE,MIKE MORZINSKI,00 INTEGRA,53.156,,52.720,,51.806,,51.806,41,40.668,29,867,,,,
3,ESP,NOVICE,TROY BILSE,00 DAKOTA R/T,52.386,,49.976,,49.517,,49.517,28,40.901,31,862,,,,
4,DSP,NOVICE,JEFF MAKOWSKI,94 VW JETTA,52.190,,50.126,,51.355,(2),50.126,31,41.103,33,858,,,,
5,STS,NOVICE,PETE NOWACKI,99 CIVIC Si,73.276,(20),53.826,,52.981,,52.981,47,41.537,35,849,,,,
6,DS,NOVICE,RICK SKOWRON,01 PRELUDE,59.874,,52.590,,52.128,,52.128,42,41.598,36,848,,,,
7,HS,NOVICE,OWEN GIBSON,89 MUSTANG,57.875,,55.705,,54.490,,54.490,54,42.448,39,831,,,,
8,FS,NOVICE,CHRIS CARROLL,01 MUSTANG COBRA,74.617,(22),78.216,-20,53.386,,53.386,49,43.189,43,816,,,,
9,STS,NOVICE,TRAVIS KOCH,94 INTEGRA,55.279,,55.092,,71.807,-20,55.092,57,43.192,44,816,,,,
10,DSP,NOVICE,LARRY GOWEN,93 S-10,DNF,,54.873,,52.796,,52.796,44,43.293,45,814,,,,
11,BS,NOVICE,DAVID HEINITZ,01 HONDA S2000,53.140,,60.041,,52.361,,52.361,43,43.303,46,814,,,,
12,ES,NOVICE,DON POSEY,81 DATSUN 280ZX,78.983,(20),DNF,,54.044,,54.044,53,43.343,47,813,,,,
13,GS,NOVICE,TOM DONAHUE,88 LA BARRON,73.205,(20),55.560,(2),72.631,-20,55.560,58,43.615,49,808,,,,
14,ESP,NOVICE,TRAVIS HIGGINS,00 DAKOTA R/T,53.919,,52.991,,53.404,-2,52.991,48,43.771,50,805,,,,
15,HS,NOVICE,NICHOLAS LAREZ,98 CAVELIER,61.438,,57.055,,56.386,,56.386,59,43.925,51,803,,,,
16,ES,NOVICE,JAMES BURTON,86 PORSCHE 944,79.984,(20),54.964,,56.034,,54.964,55,44.081,53,800,,,,
17,HS,NOVICE,AMANDA EDWARDS,98 CAVELIER,79.645,(20),77.846,-20,56.769,,56.769,61,44.223,54,797,,,,
18,BP,NOVICE,JUSTIN SHOOK,84 MAZDA RX-7,53.957,,DNF,,DNS,,53.957,51,46.781,58,754,,,,
19,ES,NOVICE,JENNIFER FIORETTI,85 TOYOTA MR2,78.619,,66.291,,59.572,,59.572,63,47.777,60,738,,,,
20,HS,NOVICE,BRYAN TURNER,72 FIAT,67.370,,DNF,,62.036,,62.036,66,48.326,62,730,,,,
21,DS,NOVICE,CHUCK CUBIN,02 SUBARU WRX,DNF,,85.095,(20),61.182,,61.182,65,48.823,63,722,,,,
22,FS,NOVICE,CHARLES GILLIAM,94 NISSAN 300ZX,DNF,,80.082,(20),61.080,,61.080,64,49.414,64,713,,,,
23,DM,NOVICE,ADAM SPORLEDER,60 BUGEYE,57.320,,DNF,,56.577,,56.577,60,50.580,66,697,,,,
