"Here are the results! We had 80 racers for the Event, and 31 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
1,SS,OPEN,DAVE MCCOMBS,01 CORVETTE,51.314,,49.701,,48.359,,47.817,,47.817,4,39.975,3,985,,
2,SS,OPEN,STEVE BURGER,01 CORVETTE,48.136,,48.006,,49.903,-2,DNF,,48.006,5,40.133,4,982,,
3,SS,OPEN,GEORGE DAUPHINE,02 CORVETTE,55.238,,67.214,-22,64.848,(20),48.619,,48.619,6,40.645,9,969,,
4,SS,OPEN,MARC MCCOMBS,01 CORVETTE,48.687,,DNF,,50.172,(2),49.163,-2,48.687,8,40.702,10,968,,
5,SS,OPEN,JOEL SCHOTZ,01 CORVETTE,52.051,-4,49.206,-2,51.816,-2,50.198,(4),49.206,9,41.136,13,958,,
6,SS,OPEN,BOB FRANCIS,02 CORVETTE,72.094,-20,78.723,-20,76.940,-20,79.600,-20,72.094,79,60.271,79,654,,
1,AS,OPEN,STEVE RYAN,91 CORVETTE,50.133,,49.655,,49.599,,54.768,-6,49.599,12,41.068,12,959,,
1,BS,OPEN,DAVE SKULL,98 BMW M3,51.215,,52.229,(2),50.754,,49.454,,49.454,11,40.898,11,963,,
1,CS,OPEN,JIM O'HARRA,66 LOTUS SUPER 7,61.239,,53.896,,53.032,,53.512,,53.032,31,43.062,30,915,,
2,CS,OPEN,JASON TRIBLE,00 MIATA,59.998,-4,53.868,,56.421,-2,53.735,,53.735,36,43.633,34,903,,
3,CS,OPEN,STEVE REYNOLDS,01 CATERHAM,99.747,-20,111.411,-20,78.353,-20,84.132,-22,78.353,80,63.623,80,619,,
