"Here are the results! We had 102 racers for the Event, and 37 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,SS,OPEN,STEVE BURGER,01 CORVETTE,93.768,-24,52.595, ,90.560,-4,52.595,13,43.969,16,928,,,,
2,SS,OPEN,JOEL SCHOTZ,01 CORVETTE Z06,71.337,-20,71.535,-20,53.218,-2,53.218,21,44.490,23,917,,,,
3,SS,OPEN,KENNETH FEELEY,93 MAZDA RX7,60.841, ,59.834, ,56.582, ,56.582,42,47.303,48,862,,,,
1,BS,OPEN,DAVE MCCOMBS,02 HANDA S2000,75.482,-22,52.798, ,51.733, ,51.733,9,42.783,9,953,,,,
2,BS,OPEN,DAVE SKULL,91 TOYOTA MR2/T,53.994, ,53.914, ,52.612, ,52.612,14,43.510,13,937,,,,
3,BS,OPEN,MARC MCCOMBS,02 HONDA S2000,52.839,-2,73.336,-20,61.299, ,52.839,17,43.698,14,933,,,,
4,BS,OPEN,PAUL LIALIOS,03 NISSAN 350Z,75.174,-20,52.883, ,53.128, ,52.883,18,43.734,15,933,,,,
5,BS,OPEN,JAKE BEGGY,89 BMW M3,58.975, ,76.595,(4),57.774, ,57.774,55,47.779,54,854,,,,
6,BS,OPEN,TOM LIALIOS,87 PORSCHE 944/T,62.076, ,59.351, ,78.357,-20,59.351,62,49.083,65,831,,,,
7,BS,OPEN,JONATHAN CASTILLO,93 TOYOTA MR2/T,89.995,-20,64.654, ,81.815,-20,64.654,88,53.469,88,763,,,,
1,CS,OPEN,ADAM SPORLEDER,98 MIATA,71.863, ,73.225, ,70.568, ,70.568,89,57.301,90,712,,,,
1,DS,OPEN,BRIAN KRAEMER,98 INTEGRA TYPE R,57.003, ,55.613, ,55.346, ,55.346,32,44.166,19,923,,,,
1,ES,OPEN,CARL KOSKI,85 TOYOTA MR2,57.733, ,56.139, ,58.248, ,56.139,37,45.023,28,906,,,,
1,FS,OPEN,DON HYLAND,00 CAMARO Z28,53.443, ,52.889, ,53.066, ,52.889,19,42.787,10,953,,,,
2,FS,OPEN,BRAD PRATHER,02 SUBARU WRX,61.883, ,82.184,-22,60.024, ,60.024,69,48.559,62,840,,,,
3,FS,OPEN,SCOTT ZYGEL,89 TOYOTA SUPRA,DNF, ,DNF, ,DNF, ,DNF,101,,102,0,,,,
1,GS,OPEN,CHRIS SPARLING,02 SAAB 9-3,56.537, ,57.391, ,56.124, ,56.124,36,44.057,18,926,,,,
1,HS,OPEN,BUD ADELMAN,88 MAZDA 626,DNF, ,DNF, ,79.244,-20,79.244,93,61.731,92,661,,,,
1,ASP,OPEN,TED LEWIS ,65 LOTUS ELAN ,49.606, ,48.209, ,49.009, ,48.209,1,40.785,1,1000,,,,
