"Here are the results! We had 65 racers for the Event, and 30 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
1,OPEN,SS,BOB FRANCIS,02 CORVETTE Z06,60.943,-2,69.864,-4,56.781, ,83.677,-20,56.781,13,47.469,15,907,,
2,OPEN,SS,JOEL SCHOTZ,01 CORVETTE Z06,86.637,-22,62.258, ,80.762,-20,63.845,-2,62.258,42,52.048,50,827,,
3,OPEN,SS,KENNETH FEELEY,93 MAZDA RX7,95.105,-20,86.201,-20,68.254, ,68.940, ,68.254,56,57.060,60,755,,
1,OPEN,AS,STEVE RYAN,91 CORVETTE,61.891, ,59.233, ,77.224,-20,57.881, ,57.881,19,47.925,18,898,,
2,OPEN,AS,WIGGY GREACEN,91 CORVETTE,84.439,-20,61.338, ,71.474,-2,61.335, ,61.335,36,50.785,43,848,,
1,OPEN,BS,DAVE SKULL,91 TOYOTA MR2 /T,62.170, ,62.285,-4,58.685,-2,57.135,-2,57.135,15,47.251,12,911,,
2,OPEN,BS,MARC MCCOMBS,02 HONDA S2000,61.048, ,58.871, ,57.801, ,58.091, ,57.801,17,47.801,17,901,,
3,OPEN,BS,DAVE MCCOMBS,02 HONDA S2000,60.086, ,79.791,(20),58.917, ,60.241, ,58.917,23,48.724,23,884,,
4,OPEN,BS,MARCO PALMER,88 TOYOTA MR2 /S,DNF, ,83.956,(20),85.165,-20,64.245, ,64.245,52,53.131,54,810,,
1,OPEN,CS,BRIAN PETERS,99 MIATA,62.460, ,59.946, ,59.529, ,62.168,-2,59.529,25,48.338,20,891,,
2,OPEN,CS,JASON TRIBLE,00 MIATA,64.971, ,64.088, ,63.628, ,66.160, ,63.628,49,51.666,49,833,,
3,OPEN,CS,JIM O'HARRA,66 LOTUS SUPER 7,71.785, ,66.750, ,65.050, ,68.055, ,65.050,54,52.821,53,815,,
1,OPEN,DS,GARNET MORRIS,01 INTEGRA TYPE R,59.418, ,56.604, ,56.233, ,58.527, ,56.233,9,44.874,4,960,,
2,OPEN,DS,JIM BARKS,02 LEXUS IS300,89.737,-20,65.840, ,65.569, ,66.411, ,65.569,55,52.324,51,823,,
3,OPEN,DS,BRAD PRATHER,02 SUBARU WRX,DNF, ,95.748,-20,DNF, ,70.467, ,70.467,60,56.233,58,766,,
1,OPEN,ES,MIKE QUIGLEY,02 SUBARU WRX,64.476, ,62.336, ,63.195, ,65.781, ,62.336,43,49.993,33,861,,
1,OPEN,FS,DON HYLAND,00 CAMARO Z28,66.198, ,60.366, ,59.057, ,57.822, ,57.822,18,46.778,10,921,,
1,OPEN,GS,KRIS TVEDT,95 NEON,86.475,-20,64.041, ,63.173, ,62.634, ,62.634,45,49.168,26,876,,
2,OPEN,GS,CHRIS SPARLING,02 SAAB 9-3,65.455, ,82.168,-4,62.779, ,64.886, ,62.779,46,49.282,27,874,,
1,OPEN,HS,BUD ADELMAN,88 MAZDA 626 /T,73.868,-2,65.347, ,64.655, ,65.104, ,64.655,53,50.366,38,855,,
2,OPEN,HS,LUCAS TOMCZYK,95 VW JETTA,97.210,-20,72.380, ,70.124, ,92.547,-20,70.124,59,54.627,56,788,,
1,OPEN,ASP,TED LEWIS ,65 LOTUS ELAN ,58.705,-2,54.465, ,55.409,-2,50.899, ,50.899,1,43.061,1,1000,,
2,OPEN,ASP,JASON BOLES,99 BMW Z COUPE,70.571,-4,56.919, ,56.085, ,56.122, ,56.085,8,47.448,14,908,,
1,OPEN,BSP,NEWTON JOHNSON,91 CORVETTE ZR1,80.458,-20,58.192, ,56.600, ,55.541, ,55.541,5,46.654,9,923,,
1,OPEN,DSP,RON TERRIEN,95 PRELUDE,58.072, ,59.274,-2,56.591, ,57.249, ,56.591,11,46.405,7,928,,
2,OPEN,DSP,BEN CLEMENT,95 INTEGRA GSR,57.906, ,58.588,-2,85.561,(20),56.639, ,56.639,12,46.444,8,927,,
3,OPEN,DSP,JEFF MAKOWSKI,94 VW JETTA,61.955, ,DNF, ,63.993, ,60.553, ,60.553,31,49.653,30,867,,
