"Here are the results! We had 61 racers for the Event, and 31 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
1,SS,OPEN,JOEL SCHOTZ,01 CORVETTE Z06,61.248,-6,55.086,-6,48.393, ,47.837, ,47.837,3,39.992,5,990,,
1,AS,OPEN,STEVE RYAN,91 CORVETTE,53.547,-4,51.435,-2,49.513, ,47.799, ,47.799,2,39.578,1,1000,,
1,BS,OPEN,DAVE MCCOMBS,02 HONDA S2000,61.056,-2,51.889,-2,49.047, ,50.285,-2,49.047,6,40.562,9,976,,
2,BS,OPEN,MARC MCCOMBS,02 HONDA S2000,49.254, ,54.527,-6,65.175,-8,52.009,-4,49.254,7,40.733,11,972,,
3,BS,OPEN,DAVE SKULL,91 TOYOTA MR2/T,52.570, ,51.820, ,50.196, ,49.835, ,49.835,10,41.214,14,960,,
4,BS,OPEN,DAVID HEINITZ,01 HONDA S2000,61.429, ,55.817, ,55.275, ,54.961, ,54.961,35,45.453,40,871,,
1,CS,OPEN,JASON TRIBLE,00 MIATA,54.365, ,57.134,-2,55.258,-2,55.055,-2,54.365,30,44.144,29,897,,
1,DS,OPEN,JIM BARKS,02 LEXES IS300,58.478, ,57.699, ,55.585, ,55.860, ,55.585,39,44.357,33,892,,
1,FS,OPEN,STEVE BURGER,98 CAMARO,52.785,-2,50.207, ,50.538, ,DNF, ,50.207,11,40.617,10,974,,
2,FS,OPEN,DON HYLAND,00 CAMARO Z28,52.565, ,52.013, ,52.162, ,50.430, ,50.430,12,40.798,12,970,,
1,GS,OPEN,KRIS TVEDT,95 NEON,72.660,-20,52.112, ,51.603, ,70.799,-10,51.603,20,40.508,8,977,,
2,GS,OPEN,CHRIS SPARLING,02 SAAAB 9-3,53.869, ,72.583, ,53.863, ,52.985, ,52.985,22,41.593,16,952,,
3,GS,OPEN,PATRICIA ADELMAN,88 MAZDA 626/T,71.005, ,59.887, ,61.150,-2,56.870, ,56.870,49,44.643,36,887,,
1,HS,OPEN,BUD ADELMAN,88 MAZDA 626/T,63.070,-4,79.245,-22,55.257, ,56.135,-2,55.257,37,43.045,20,919,,
2,HS,OPEN,KEN PAULIN,01 FOCUS,59.680, ,78.047,-20,58.972, ,57.555, ,57.555,50,44.835,37,883,,
3,HS,OPEN,BILL MARKLEY,01 FOCUS,61.120, ,59.264, ,58.666, ,62.686,-4,58.666,53,45.701,43,866,,
1,BSP,OPEN,NEWTON JOHNSON,91 CORVETTE ZR1,51.598, ,49.610, ,49.675, ,49.556, ,49.556,9,41.627,17,951,,
2,BSP,OPEN,BRIAN MILLER,63 CORVETTE,DNF, ,74.004,-20,55.777, ,53.765, ,53.765,29,45.163,39,876,,
1,CSP,OPEN,TRAVIS HIGDON,88 HONDA CRX Si,52.311, ,51.219, ,51.888,-2,59.062, ,51.219,17,43.126,22,918,,
1,DSP,OPEN,RON TERRIEN,95 PRELUDE,51.208, ,51.935, ,50.638, ,51.039, ,50.638,15,41.523,15,953,,
2,DSP,OPEN,KIM STEWART,96 VW GTI,56.612, ,55.909,-2,53.400, ,54.503,-2,53.400,26,43.788,27,904,,
1,ESP,OPEN,RICHARD RIPPY,98 CAMARO,51.928,-2,49.166, ,52.355,-2,48.883, ,48.883,4,40.377,7,980,,
2,ESP,OPEN,ABRAHAM JONES,00 CAMARO SS,61.839, ,51.821, ,53.351,-2,50.508, ,50.508,13,41.720,18,949,,
3,ESP,OPEN,DAVE MUNSEY,97 MUSTANG COBRA,79.031,-20,55.779, ,53.595, ,54.881, ,53.595,28,44.269,31,894,,
1,FSP,OPEN,CHRIS CATHEY,75 BMW 2002,52.994, ,53.005, ,69.696,-4,53.856, ,52.994,24,43.296,24,914,,
1,AP,OPEN,GREG DUNCAN,84 FIERO,50.104, ,47.956, ,47.586, ,47.106, ,47.106,1,41.171,13,961,,
1,CP,OPEN,SEAN MARTINEZ,66 CHEVELLE,58.853, ,56.447, ,57.495,-2,55.888, ,55.888,42,47.728,53,829,,
2,CP,OPEN,KENNY SMITH,68 CAMARO,58.006, ,56.656, ,77.168,-20,56.802, ,56.656,47,48.384,56,818,,
1,EM,OPEN,BRIAN MALM,90 CORVARRI KIT-CAR,54.364,-2,56.959, ,51.451, ,64.637,-8,51.451,18,46.512,47,851,,
1,STS,OPEN,MARK EDDY,00 SUBARU IMPREZA,53.181,-2,51.198, ,51.753, ,50.565, ,50.565,14,39.643,2,998,,
2,STS,OPEN,DAVID ROCK,00 CELICA GTS,62.154,-4,51.627, ,50.715, ,51.087, ,50.715,16,39.761,4,995,,
3,STS,OPEN,JONATHAN EDDY,00 SUBARU IMPREZA,54.251, ,53.565, ,52.340, ,51.482, ,51.482,19,40.362,6,981,,
1,STX,OPEN,MARK GOERNER,01 INTEGRA TYPE R,51.287, ,59.553,-2,49.800, ,49.527, ,49.527,8,39.671,3,998,,
1,SM,OPEN,JEREMY HAYES,84 VW GTI,56.207, ,55.637, ,55.282, ,54.584, ,54.584,33,45.523,41,869,,
1,SM2,OPEN,DAN MACKEAN,71 DATSUN 240Z,51.027, ,50.342, ,49.047, ,49.729, ,49.047,5,41.984,19,943,,
2,SM2,OPEN,ENRIQUE AVILES,82 MAZDA RX7,56.031, ,54.246, ,54.127, ,53.464, ,53.464,27,45.765,44,865,,
1,KTJ,OPEN,KAYLA SMITH,00 COBRA JR KART,91.049,-20,64.536, ,61.586, ,59.051, ,59.051,55,48.127,55,822,,
1,ESP,LADIES,DEBBI COX,00 PONTIAC TRANS AM,86.093,-24,79.360,-20,56.728, ,57.257,-2,56.728,48,46.857,49,845,,
2,CP,LADIES,RONDA SMITH,68 CAMARO,72.453, ,60.659, ,58.381, ,55.700, ,55.700,41,47.568,51,832,,
1,SM,NOVICE,DAVID HARSAY,00 MUSTANG,76.136,-22,52.274, ,51.723, ,52.238, ,51.723,21,43.137,23,917,,
