"Here are the results! We had 112 racers for the Event, and 48 time onlies.  This is a total of around 640 laps give or take a few DNS.",,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Steve Eymann,03 Chevrolet/Corvette Z06,48.606,(2),65.303,(20),45.587, ,46.143, ,45.587,2,38.156,2,976
2,open,SS,Dave Mc Combs,01 CHEVROLET/CORVETTE Z06,48.113, ,47.890, ,46.398, ,46.471, ,46.398,4,38.835,5,959
3,open,SS,Joel Schotz,01 CHEVROLET/CORVETTE Z06,47.870, ,DNF, ,47.856, ,47.004, ,47.004,7,39.342,9,947
4,open,SS,Ken Feeley,93 Mazda/RX7,51.175, ,53.284,(2),49.801, ,49.501, ,49.501,25,41.432,38,899
2,open,BS,Dave Skull,91 Toyota/MR-2,52.004, ,51.808, ,50.810, ,51.107, ,50.810,44,41.918,42,889
1,open,CS,Mark Johnson,99 Mazda/Miata,52.420, ,50.706, ,50.561, ,50.320, ,50.320,35,40.960,27,909
1,open,DS,Mike Quigley,02 Subaru/WRX,51.570, ,51.436, ,71.327,(20),50.967, ,50.967,46,40.519,18,919
1,open,ES,Richard Harris,86 Toyota/MR-2,53.686, ,53.722, ,52.792, ,52.894, ,52.792,67,42.445,52,878
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,50.102, ,49.115, ,48.755, ,48.862, ,48.755,15,39.297,7,948
2,open,FS,Jack Drummond,01 Chevrolet/Z-28 Camaro,51.993, ,58.519,(2),50.599, ,50.363, ,50.363,37,40.593,20,918
3,open,FS,Kelly Lamont,02 Chevy/Camaro,72.168,(20),52.791, ,52.867, ,52.831, ,52.791,66,42.550,55,875
4,open,FS,Don Chantengco,71 Oldsmobile/Cutlass,64.640,(2),61.182, ,68.547, ,58.985, ,58.985,102,47.542,100,783
1,open,GS,Dane Campbell,03 MNI/CooperS,50.795, ,54.329,(4),76.724,(26),57.282,(6),50.795,43,39.722,14,938
2,open,GS,Chris Sparling,02 Saab/9-3,52.455, ,52.235, ,52.429, ,53.001, ,52.235,57,40.848,24,912
3,open,GS,Chris Bunch,02 MINI/Cooper S,53.739, ,53.490, ,54.014, ,52.928, ,52.928,70,41.390,37,900
4,open,GS,Larry Bunch,02 MINI/Cooper S,55.338, ,54.156, ,54.007, ,54.112, ,54.007,80,42.233,49,882
5,open,GS,Kelly Randall,00 Subaru/Impreza 2.5 RS,57.789, ,55.672, ,55.275, ,55.113, ,55.113,87,43.098,63,864
6,open,GS,Kim Sparling,02 Saab/9-3,62.376,(2),57.789, ,64.228,(4),57.754, ,57.754,98,45.164,87,825
7,open,GS,Joe DiNunzio,97 Nissan/240sx,63.131, ,60.415, ,59.151, ,59.798, ,59.151,105,46.256,98,805
1,open,HS,Mark Shaw,99 VW/Beetle,53.197, ,52.922, ,52.536, ,55.993,(4),52.536,61,40.873,25,911
2,open,HS,Bud Adelman,88 Mazda/626,82.253,(20),DNF, ,57.326,(2),55.266,(2),55.266,89,42.997,62,866
1,open,ASP,Ted Lewis,65 LOTUS/ELAN,47.196, ,46.515, ,45.801, ,49.891,(4),45.801,3,38.748,4,961
2,open,ASP,Bob Francis,02 Chev./Z06 Vette,DNF, ,52.870, ,87.193,(4),50.762, ,50.762,42,42.945,60,867
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,50.555, ,48.449, ,48.328, ,46.835, ,46.835,6,39.341,8,947
1,open,CSP,Travis Higdon,88 Honda/CRX Si,50.819, ,54.637, ,50.286, ,50.354, ,50.286,33,42.190,48,883
2,open,CSP,Mike Beggy,73 Mazda/RX2,55.389, ,53.019, ,55.690,(2),53.927, ,53.019,71,44.483,78,837
1,open,DSP,Ron Terrien,95 Honda/Prelude,54.393,(2),53.335,(2),55.343,(4),50.173, ,50.173,31,41.042,28,908
2,open,DSP,Brian Malm,95 Honda/Prelude,53.065, ,52.979, ,54.084,(2),51.104, ,51.104,47,41.803,41,891
3,open,DSP,Gerry Reynolds,88 BMW,53.724, ,53.394, ,51.484, ,51.529, ,51.484,50,42.114,46,884
4,open,DSP,Jeff Makowski,94 Volkswagen/Jetta,55.339, ,54.152, ,53.378, ,52.450, ,52.450,59,42.904,59,868
5,open,DSP,Brian Caldwell,95 Honda/Civic/del sol,56.099, ,55.259, ,54.880, ,54.297, ,54.297,83,44.415,76,839
1,open,ESP,David Schotz,95 Ford Mustang/Cobra R,45.912, ,45.094, ,45.208, ,48.515, ,45.094,1,37.248,1,1000
2,open,ESP,Richard Rippy,98 Chevy /Camaro,52.051,(2),49.245, ,66.777,(20),47.774, ,47.774,8,39.461,11,944
3,open,ESP,Larry Petrucci,99 Pontiac/Formula,48.639, ,59.992,(4),48.819, ,49.168, ,48.639,14,40.176,17,927
4,open,ESP,Abraham Jones,00 Chevrolet/Camaro SS,54.743,(4),61.922,(4),52.781,(2),49.963, ,49.963,29,41.269,33,903
5,open,ESP,David Mingus,00 Dodge/Dakota,53.335, ,52.463, ,51.885, ,51.923, ,51.885,53,42.857,57,869
6,open,ESP,Scott Hanger,98 Chevy/Camaro,56.195, ,54.300, ,55.680, ,53.700, ,53.700,76,44.356,75,840
7,open,ESP,Michael Chacon,00 Ford/Mustang,54.350,(20),56.435, ,55.223, ,55.533, ,54.350,84,44.893,82,830
1,open,FSP,Chris Cathey,75 BMW/2002,56.987, ,75.972,(20),54.886, ,54.167, ,54.167,82,44.146,73,844
2,open,FSP,Jim Harnish,95 Honda/Civic,DNS, ,DNS, ,DNS, ,DNS, ,DNS, , , , 
