"Here are the results! We had 65 competitors for the Event, and 36 time onlies.",,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,AS,Steve Ryan,91 chevy/corvette,49.091,(2),47.580, ,71.422,(24),48.422,(2),47.580,7,39.396,9,961
2,open,AS,Paul Lialios,91 chevy/corvette,51.374, ,51.135, ,50.371, ,50.546, ,50.371,21,41.707,23,908
1,open,BS,Marc McCombs,02 Honda/S2000,47.643, ,DNF, ,46.289, ,51.579,(4),46.289,2,38.188,3,992
2,open,BS,Dave McCombs,02 Honda/S2000,51.232,(2),47.619, ,47.421, ,47.101, ,47.101,3,38.858,5,975
1,open,CS,John Wisthoff,01 toyota/Mr2,73.353,(20),51.567, ,53.609,(2),51.447, ,51.447,29,41.878,24,904
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,51.025,(2),49.198, ,49.514, ,48.968, ,48.968,12,39.468,10,960
2,open,FS,Jack Drummond,01 Chev/Z-28 Camaro,55.253, ,51.480, ,51.381, ,52.365, ,51.381,28,41.413,21,915
1,open,GS,Dane Campbell,03 mini/cooperS,51.506, ,51.397, ,52.718,(2),50.246, ,50.246,20,39.292,8,964
2,open,GS,Chris Sparling,02 Saab/9-3,52.208, ,51.710, ,51.239, ,50.696, ,50.696,24,39.644,12,955
1,open,ASP,Mark Johnson,89 Porsche/944T,50.375, ,54.026,(4),50.959,(2),49.654, ,49.654,15,42.007,25,902
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,48.610, ,48.155, ,47.543, ,52.778,(6),47.543,6,39.936,14,948
1,open,CSP,Jake Beggy,89 BMW/M3,51.589, ,71.529,(20),52.281,(2),50.474, ,50.474,23,42.348,29,894
2,open,CSP,Sean Martinez,66 Chevrolet /Chevelle,57.763,(2),52.822, ,52.095, ,58.560,(2),52.095,34,43.708,39,867
1,open,DSP,Ron Terrien,95 Honda/Prelude,51.937, ,50.582, ,49.808, ,49.875, ,49.808,16,40.743,17,930
1,open,ESP,Troy Bilse,00 Dodge/Dakota R/T,58.330, ,56.176, ,61.524,(6),56.297,(2),56.176,52,46.401,56,816
1,open,FSP,Chris Cathey,75 BMW/2002,53.499, ,69.257,(12),77.077,(14),51.865, ,51.865,32,42.270,27,896
1,open,AP,Greg Duncan,84 Pontiac/Fiero,46.684, ,45.819, ,45.858, ,47.547,(2),45.819,1,39.908,13,949
1,open,CP,Boris Adelman,88 Mazda/626T,57.836, ,53.059, ,52.937,(2),51.339, ,51.339,27,43.792,40,865
2,open,CP,Kenny Smith,68 Chevy/Camaro,56.483, ,55.378, ,54.220, ,52.667, ,52.667,38,44.925,48,843
3,open,CP,Jesse Smith,68 Chevy/Camaro,62.685,(6),59.138,(2),54.800, ,53.814, ,53.814,42,45.903,55,825
1,open,CM,Gene Sanders,72 Formula Ford/Caldwell,68.978,(20),51.617,(2),49.178, ,48.423, ,48.423,9,44.501,46,851
1,open,DM,Joe Curry,63 Triumph/Spitfire,48.158, ,47.805, ,47.270, ,47.908, ,47.270,4,42.118,26,899
2,open,DM,Rick Brown,64 MG/Midget,62.271, ,61.674, ,59.955, ,61.354, ,59.955,63,53.420,64,709
1,open,EM,Bill Schroeder,91 Ford/Mustang,50.316, ,49.389, ,53.930,(6),50.578,(2),49.389,14,44.401,45,853
