The Fall series for 2003 is a best 3 out of 4 event series.,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV ,DEC ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
POS,CLS,NAME,SEP,OCT,NOV,DEC,TOTAL,,,,,,,,,,
1,SS,Joel Schotz,967,978, ,915,2860,,,,,,,,,,
2,SS,Bob Francis,888, , ,776,1664,,,,,,,,,,
3,SS,Steve Burger, , ,943, ,943,,,,,,,,,,
4,SS,Ken Feeley, ,888, , ,888,,,,,,,,,,
1,AS,Paul Lialios,922,939,917,901,2778,,,,,,,,,,
2,AS,Dave Mccombs, , , ,991,991,,,,,,,,,,
3,AS,Marc Mccombs, , , ,961,961,,,,,,,,,,
4,AS,Bill Davis, , , ,898,898,,,,,,,,,,
5,AS,John Masterson, , ,713, ,713,,,,,,,,,,
6,AS,Sam Flores, , , ,699,699,,,,,,,,,,
1,BS,Brian Malm,876,847, ,873,2596,,,,,,,,,,
2,BS,Dave Mccombs,957,966, , ,1923,,,,,,,,,,
1,CS,Dawn Maxwell,963,953, , ,1916,,,,,,,,,,
2,CS,John Wisthoff, ,929,878, ,1807,,,,,,,,,,
3,CS,Mark Johnson, ,977, , ,977,,,,,,,,,,
1,DS,Kevin Gleaton,944, , , ,944,,,,,,,,,,
2,DS,Andy Mccutchen, ,902, , ,902,,,,,,,,,,
3,DS,Jim Barks,897, , , ,897,,,,,,,,,,
1,ES,Richard Harris, , , ,923,923,,,,,,,,,,
1,FS,Don Hyland,970,955, ,938,2863,,,,,,,,,,
2,FS,Jack Drummond,917,929,970,881,2816,,,,,,,,,,
1,GS,Chris Sparling,970,950,1000,954,2924,,,,,,,,,,
2,GS,Dane Campbell,965,945,968,977,2910,,,,,,,,,,
3,GS,Kris Tvedt, , ,952,956,1908,,,,,,,,,,
4,GS,Brian Caldwell, , ,908, ,908,,,,,,,,,,
5,GS,Mat Cable, , ,862, ,862,,,,,,,,,,
1,HS,Rick Brown, , ,714,813,1527,,,,,,,,,,
2,HS,John Wisthoff, , , ,943,943,,,,,,,,,,
1,ASP,Ted Lewis, ,1000, ,1000,2000,,,,,,,,,,
2,ASP,Mark Huffman,996, , , ,996,,,,,,,,,,
3,ASP,Bob Francis, ,845, , ,845,,,,,,,,,,
1,BSP,Newton Johnson,950,928,924, ,2802,,,,,,,,,,
2,BSP,Mark Eddy, , , ,917,917,,,,,,,,,,
1,CSP,Steve Shaw, ,862, , ,862,,,,,,,,,,
2,CSP,Mike Wilke, , ,814, ,814,,,,,,,,,,
1,DSP,Ben Clement,970,955,921, ,2846,,,,,,,,,,
2,DSP,Ron Terrien,930,915,922, ,2767,,,,,,,,,,
3,DSP,Gerry Reynolds, ,948, ,861,1809,,,,,,,,,,
4,DSP,Brian Peters, ,984, , ,984,,,,,,,,,,
1,ESP,Richard Rippy,958,949, , ,1907,,,,,,,,,,
1,AP,Greg Duncan,978,964,963,926,2905,,,,,,,,,,
2,AP,Merrill Niles, ,829, ,784,1613,,,,,,,,,,
1,CP,Kenny Smith,839,846,909,860,2615,,,,,,,,,,
2,CP,Jesse Smith,809,850,820, ,2479,,,,,,,,,,
3,CP,Boris Adelman,834,889, , ,1723,,,,,,,,,,
4,CP,Bob Walsh, ,838, , ,838,,,,,,,,,,
5,CP,Bud Adelman, , ,814, ,814,,,,,,,,,,
1,EP,Steve Burger, , , ,610,610,,,,,,,,,,
1,FP,Enrique Aviles, ,841, ,846,1687,,,,,,,,,,
1,CM,Gene Sanders,921, , ,841,1762,,,,,,,,,,
2,CM,Alan Wagstaffe, , , ,818,818,,,,,,,,,,
1,DM,Joe Curry,916,899,907,894,2722,,,,,,,,,,
2,DM,Ralph Prince,823, , , ,823,,,,,,,,,,
3,DM,Brandon Smith,811, , , ,811,,,,,,,,,,
4,DM,Nicholas Foster,780, , , ,780,,,,,,,,,,
1,EM,Tom Hill, ,909, , ,909,,,,,,,,,,
2,EM,Don Sattler, ,903, , ,903,,,,,,,,,,
3,EM,Bill Schroeder, , ,876, ,876,,,,,,,,,,
4,EM,David Lahey, ,860, , ,860,,,,,,,,,,
1,STS,David Rock,1000,970,975,962,2945,,,,,,,,,,
2,STS,Jonathan Eddy,959,904,994,991,2944,,,,,,,,,,
3,STS,Josh Randall,952, ,969, ,1921,,,,,,,,,,
4,STS,Kelly Randall,956, ,963, ,1919,,,,,,,,,,
5,STS,Ron Conrad,889,951, , ,1840,,,,,,,,,,
6,STS,Mark Eddy, ,964, , ,964,,,,,,,,,,
