"Here are the results! We had 119 racers for the Event, and 38 time onlies. ",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Marc McCombs,01 Chevrolet/Corvette Z06,71.999, ,74.055,(4),73.184,(4), , ,71.999,16,60.263,25,906
2,open,SS,Ken Feeley,93 Mazda/RX7,76.235, ,78.864,(2),74.732, , , ,74.732,36,62.551,43,873
3,open,SS,Joel Schotz,01 Chevrolet/Corvette Z06,85.071,(10),101.764,(26),86.670,(12), , ,85.071,95,71.204,99,767
1,open,AS,Steve Ryan,91 Chevrolet/Corvette,114.881,(26),69.029, ,67.908, , , ,67.908,6,56.228,5,971
1,open,BS,Dave Skull,91 Toyota/MR2,77.896, ,82.687,(6),76.557, , , ,76.557,46,63.160,48,865
2,open,BS,Paul Lialios,03 Nissan/350z,78.483,(22),91.813,(20),96.995,(24), , ,78.483,59,64.748,63,843
3,open,BS,Tom McNamee,97 Mazda/Miata,111.876,(8),92.400, ,92.210, , , ,92.210,107,76.073,107,718
4,open,BS,Janice McNamee,97 Mazda/Miata,DNF, ,111.394,(20),94.239,(4), , ,94.239,108,77.747,108,702
5,open,BS,Jay Felix,94 Mazda Miata,98.305, ,99.840,(22),107.925,(28), , ,98.305,111,81.102,112,673
1,open,CS,Mark Johnson,99 Mazda/Miata,71.480, ,70.791, ,72.008,(2), , ,70.791,14,57.624,7,948
2,open,CS,Dawn Maxwell,99 Mazda/Miata,73.483,(2),74.406,(2),72.221, , , ,72.221,17,58.788,14,929
3,open,CS,David Felix,94 Mazda/Miata,81.360, ,79.425, ,80.576, , , ,79.425,62,64.652,62,845
4,open,CS,William Sloan,96 Mazada Miata,97.640,(20),80.109, ,83.278,(2), , ,80.109,68,65.209,68,837
1,open,DS,Garry Morris,01 Acura Integra R,79.101,(4),80.085,(6),74.806, , , ,74.806,37,59.471,18,918
2,open,DS,Mike Quigley,02 Subaru/WRX,75.145,(2),75.613,(2),95.582,(22), , ,75.145,40,59.740,19,914
1,open,ES,Richard Harris,86 Toyota/MR2,81.245,(8),73.154, ,73.521, , , ,73.154,25,58.816,15,928
2,open,ES,Robert Love Ii,93 Toyota/MR2,114.615,(30),95.975,(20),77.336,(4), , ,77.336,52,62.178,38,878
3,open,ES,Rob Bittner,86 Toyota/MR2,81.081, ,80.797, ,81.632, , , ,80.797,76,64.961,65,841
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,74.578, ,73.328, ,82.907,(6), , ,73.328,28,59.102,16,924
2,open,FS,Kelly Lamont,02 Chevrolet/Camaro,80.553, ,78.108,(2),81.279,(4), , ,78.108,57,62.955,47,867
3,open,FS,Jack Drummond,01 Chevrolet/Z-28 Camaro,83.964, ,85.123,(4),81.230, , , ,81.230,77,65.471,72,834
4,open,FS,Randy Hasson,01 Ford/Lightning,91.822, ,87.748,(4),86.582, , , ,86.582,102,69.785,95,783
1,open,GS,Wiggy Greacen,95 Plymouth/Neon,80.304,(6),76.508,(2),75.020, , , ,75.020,39,58.666,13,931
2,open,GS,Kris Tvedt,95 Plymouth/Neon,76.638, ,79.328,(4),87.743,(6), , ,76.638,47,59.931,21,911
3,open,GS,Chris Sparling,02 Saab/9-3,81.371,(4),77.375,(2),80.429,(4), , ,77.375,53,60.507,27,903
4,open,GS,Kim Sparling,02 Saab/9-3,89.567,(2),90.757, ,80.265, , , ,80.265,73,62.767,46,870
5,open,GS,Tom McIntyre,98 Saturn,DNW, ,DNW, ,DNW, , , ,DNW,DNW,DNW,DNW,DNW
1,open,HS,Mark Leinhos,94 Volvo/850 Wagon,88.186, ,85.306, ,83.964, , , ,83.964,92,65.324,69,836
2,open,HS,Lee Mayer,95 VW/Jetta,DNF, ,87.250, ,85.650, , , ,85.650,99,66.636,84,820
1,open,ASP,Ted Lewis,65 lotus/elan,79.550,(8),68.461, ,78.240,(6), , ,68.461,7,57.918,9,943
2,open,ASP,Bob Francis,99 Miata/Miata,79.459, ,92.727,(4),77.311, , , ,77.311,51,65.405,70,835
3,open,ASP,Greg Mondeau,00 BMW/M Roadster,96.264, ,88.757, ,87.331, , , ,87.331,105,73.882,106,739
1,open,DSP,Jeff Makowski,94 Volkwagen/Jetta,104.185,(26),78.498,(2),75.822, , , ,75.822,42,62.022,36,880
2,open,DSP,Gerry Reynolds,88 BMW,77.748,(2),82.045,(4),75.914, , , ,75.914,43,62.098,37,879
3,open,DSP,Kim Stewart,96 VW/Gti,77.262, ,77.239, ,77.860, , , ,77.239,50,63.182,49,864
4,open,DSP,Fernando Ma,02 Volkswagen/GTI,90.900, ,90.116, ,93.026,(4), , ,90.116,106,73.715,105,741
1,open,ESP,Richard Rippy,98 Chevy/Camaro,72.715,(2),74.864,(4),93.617,(20), , ,72.715,19,60.063,22,909
2,open,ESP,Larry Petrucci,99 Formula,76.208,(2),72.895, ,117.344,(22), , ,72.895,21,60.211,23,907
3,open,ESP,Abraham Jones,00 Chevrolet/Camaro SS,74.360, ,81.237,(6),79.938,(6), , ,74.360,32,61.421,33,889
4,open,ESP,Dan Mackean,00 Camaro SS,DNF, ,80.479,(4),95.393,(20), , ,80.479,75,66.476,82,821
5,open,ESP,Matt Evans,78 Chevy/Malibu Wagon,86.690, ,82.408, ,81.853, , , ,81.853,82,67.611,88,808
1,open,FSP,Jim Harnish,95 Honda/Civic,72.958,(4),75.833, ,67.706, , , ,67.706,5,55.180,2,990
2,open,FSP,Audrey Harnish,95 Honda/Civic,74.682,(4),94.061,(24),71.590, , , ,71.590,15,58.346,12,936
1,open,AP,Greg Duncan,84 Pontiac/Fiero,72.159,(6),68.683,(2),66.172, , , ,66.172,1,57.636,8,947
2,open,AP,Bud Adelman,84 PONTIAC/FIERO,87.884,(10),96.991,(10),74.460,(2), , ,74.460,34,64.855,64,842
1,open,CP,Kenny Smith,68 Chevy/Camaro,78.668, ,80.349, ,77.584, , , ,77.584,55,66.182,80,825
2,open,CP,Mike Beggy,73 Mazda/Rx-2,79.870, ,DNF, ,DNF, , , ,79.870,66,68.129,91,802
3,open,CP,Jesse Smith,68 Chevy/Camaro,93.893,(8),85.419, ,83.534, , , ,83.534,90,71.255,100,766
1,open,EP,Joseph Stofan,86 Ford/Mustang,109.779,(20),DNS, ,DNS, , , ,109.779,116,94.739,117,576
1,open,CM,Ken Edney,76 Zink/Z10 Formula Ford,70.223,(2),66.200, ,67.978,(2), , ,66.200,2,60.838,29,898
2,open,CM,Gene Sanders,72 Formula Ford/Caldwell,72.497,(2),71.263,(2),68.751, , , ,68.751,8,63.182,50,864
3,open,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,72.584, ,155.381, ,69.223, , , ,69.223,10,63.616,53,858
1,open,DM,David Lahey,94 Mazda/Miata R,73.121,(2),68.912,(2),67.604, , , ,67.604,4,60.235,24,907
2,open,DM,Joe Curry,63 TRIUMPH/SPITFIRE,77.210,(2),70.228, ,78.648, , , ,70.228,12,62.573,44,873
3,open,DM,Ralph Prince,60 Austin-Healey/Bugeye,86.990, ,97.793,(20),75.743, , , ,75.743,41,67.487,86,809
1,open,EM,Tom Hill,88 Pontiac/Cadero,77.406, ,76.498,(4),68.900, , , ,68.900,9,61.941,35,882
2,open,EM,Bill Schroeder,91 Ford Mustang,77.557,(2),73.302, ,73.290, , , ,73.290,26,65.888,77,829
3,open,EM,Brian Malm,90 Kit Car/Corvarri,80.718,(4),78.527, ,77.723,(4), , ,77.723,56,69.873,96,782
1,open,STS,David Rock,00 Toyota/Celica GTS,71.070, ,69.655,.,73.440,(2), , ,69.655,11,54.610,1,1000
2,open,STS,Mark Eddy,00 subaru/impreza,102.202,(26),96.733,(20),70.709, , , ,70.709,13,55.436,3,985
3,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,81.290, ,DNF, ,72.965, , , ,72.965,22,57.205,6,955
1,open,STX,Mark Goerner,01 Acura/Integra Type R,92.453,(20),98.416,(26),74.967,(2), , ,74.967,38,59.824,20,913
2,open,STX,Zach Hancock,02 Subaru WRX,DNF, ,78.147, ,78.195, , , ,78.147,58,62.361,41,876
3,open,STX,Walter Stoss,66 Chevy/Corvair,83.498,(2),80.139, ,80.127, , , ,80.127,69,63.941,58,854
1,open,SM,Tage Evanson,95 Acura/Integra,69.639,(2),78.166,(10),67.034, , , ,67.034,3,55.906,4,977
2,open,SM,David Harsay,00 Ford/Mustang,72.742, ,104.349,(24),75.602,(2), , ,72.742,20,60.667,28,900
3,open,SM,Geren Smith,02 Subaru/Impreza WRX,77.249,(2),73.314, ,78.941,(4), , ,73.314,27,61.144,30,893
4,open,SM,Gary Howard,94 Ford/Mustang,80.947, ,74.321, ,73.585, , , ,73.585,29,61.370,32,890
1,open,SM2,Harry Berzes,94 Mazda/Miata,78.560, ,73.093, ,77.652,(4), , ,73.093,24,62.202,39,878
2,open,SM2,Enrique Aviles,82 Mazda/Rx-7,79.617, ,77.068, ,74.646, , , ,74.646,35,63.524,52,860
1,open,FJr,Kayla Smith,00 Emmick/Cobra,89.775,(4),79.791, ,83.745, , , ,79.791,64,65.429,71,835
1,ladies,ES,Susan Love,93 Toyota/MR2,87.891, ,80.260, ,83.404,(4), , ,80.260,72,64.529,61,846
2,ladies,ASP,Mindi Cross,65 Lotus Elan,80.966,(2),76.863, ,109.530,(6), , ,76.863,48,65.026,66,840
3,ladies,CP,Ronda Smith,68 Chevy/Camaro,112.700,(20),81.592, ,81.266, , , ,81.266,78,69.320,94,788
4,ladies,CM,Sheryl Zavion,82 Van Diemen/Formula Ford,124.105, ,80.835, ,80.027, , , ,80.027,67,73.545,104,743
5,ladies,SM2,Jennifer Aviles,82 Mazda/Rx-7,106.077, ,105.021, ,115.738,(20), , ,105.021,114,89.373,115,611
1,novice,STX,Todd Houser,03 Mini/Cooper S,79.148,(2),76.100, ,72.601, , , ,72.601,18,57.936,10,943
