"Here are the results! We had 92 racers for the Event, and 48 time onlies. ",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Steve Burger,98 Chevy/Corvette,DNF, ,56.840, ,61.617,(4),60.282,(4),56.840,8,47.575,14,943
2,open,SS,Joel Schotz,01 CHEVROLET/CORVETTE Z06,78.220,(20),57.944, ,57.597, ,57.033, ,57.033,10,47.737,16,940
3,open,SS,Ken Feeley,93 Mazda/RX7,62.641, ,64.173,(2),59.735, ,58.943, ,58.943,23,49.335,26,909
4,open,SS,Bob Francis,02 corvette/Z06,63.326, ,63.813,(2),62.438,(2),59.797, ,59.797,30,50.050,34,896
1,open,AS,Jason Isley,89 Chevy/Corvette,55.617, ,56.145, ,57.111,(2),54.779, ,54.779,2,45.357,5,989
2,open,AS,Bob Isley,89 Chevy/Corvette,61.351,(2),57.811, ,58.621,(2),57.891, ,57.811,18,47.868,17,937
1,open,BS,Dave McCombs,02 Honda/S2000,73.710,(12),58.284,(2),57.777,(2),55.714, ,55.714,4,45.964,6,976
2,open,BS,Paul Lialios,03 Nissan/350z,59.555, ,58.612, ,57.444, ,56.530, ,56.530,6,46.637,8,962
3,open,BS,Marc McCombs,02 Honda/S2000,58.461,(2),59.456,(2),57.677,(2),57.602,(2),57.602,16,47.522,13,944
4,open,BS,Dave Skull,91 Toyota/MR2,91.993,(20),61.480, ,59.694, ,60.171, ,59.694,29,49.248,25,911
1,open,CS,Jason Trible,00 Mazda/Miata,63.034, ,62.067, ,62.177, ,61.936, ,61.936,45,50.416,38,890
2,open,CS,William Sloan,96 Mazda/Miata,111.878,(40),83.224,(20),63.071, ,62.611, ,62.611,50,50.965,46,880
1,open,DS,Mike Quigley,02 Subaru/WRX,60.730, ,60.648, ,60.180, ,59.018, ,59.018,24,46.919,9,956
2,open,DS,Brian Kraemer,98 Acura/Integra Type R,65.072,(2),65.131,(2),64.278,(2),61.561, ,61.561,43,48.941,24,916
1,open,ES,Richard Harris,86 Toyota/MR2,60.685, ,60.509, ,59.550, ,60.770, ,59.550,27,47.878,18,937
2,open,ES,Rob Bittner,86 Toyota/MR2,66.728, ,65.781, ,64.633, ,64.074, ,64.074,62,51.515,54,871
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,60.092, ,58.463, ,58.407, ,86.125,(20),58.407,21,47.076,10,953
1,open,GS,Chris Sparling,02 Saab/9-3,60.633, ,62.584, ,60.834, ,63.558, ,60.633,36,47.415,12,946
2,open,GS,Kim Sparling,02 Saab/9-3,67.629, ,79.932,(2),66.730, ,67.365,(2),66.730,82,52.183,58,860
1,open,ASP,Marco Palmeri,88 Toyota MR2,68.189, ,63.917, ,76.069, ,67.749, ,63.917,60,54.074,77,829
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,60.913,(2),56.778, ,58.712,(2),57.036, ,56.778,7,47.694,15,940
1,open,CSP,Mike Beggy,73 Mazda/RX-2,64.314,(2),61.311, ,64.121, ,83.037,(20),61.311,41,51.440,52,872
1,open,DSP,Danny Foldes,95 Honda/Del Sol,67.972,(4),DNF, ,DNF, ,60.795, ,60.795,39,49.730,31,902
2,open,DSP,Jeff Makowski,94 Volkwagen/Jetta,62.920, ,63.224, ,60.989, ,62.431, ,60.989,40,49.889,32,899
3,open,DSP,Michael Oberstar,91 VW/GTI,64.574, ,67.566,(4),63.005, ,61.583, ,61.583,44,50.375,37,890
