"Here are the results! We had 67 competitors for the Event, and 34 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Paul Lialios,02 Chevrolet/Corvette ,51.760, ,53.549,(2),50.823, ,50.314, ,50.314,35,42.113,35,878
1,open,AS,Steve Ryan,91 Chevrolet/Corvette,47.480,(2),45.645, ,48.057,(2),45.164, ,45.164,3,37.396,3,989
2,open,AS,Steve Thompson,91 Chevrolet/Corvette,52.093, ,48.889, ,60.985, ,48.713, ,48.713,22,40.334,21,917
1,open,BS,Marc McCombs,02 Honda/S2000,45.300, ,45.545, ,45.361, ,44.824, ,44.824,1,36.980,1,1000
2,open,BS,Dave McCombs,02 Honda/S2000,45.881, ,47.860,(2),49.814,(4),47.004,(2),45.881,5,37.852,6,977
1,open,CS,John Wisthoff,01 toyota/Mr 2,52.264, ,54.421,(2),51.926, ,50.962, ,50.962,39,41.483,28,891
2,open,CS,Jason Trible,00 Mazda/Miata,56.144,(2),53.277, ,55.000,(2),52.524, ,52.524,48,42.755,41,865
1,open,DS,Jim Barks,02 Lexus/IS300,53.597, ,52.699, ,52.360, ,52.113, ,52.113,45,41.430,27,893
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,49.183, ,49.441, ,48.043, ,47.853, ,47.853,13,38.570,10,959
1,open,GS,Chris Sparling,02 Saab/9-3,50.914, ,53.424,(4),50.248, ,51.489,(2),50.248,34,39.294,12,941
1,open,ASP,Bob Francis,03 Chev/Z06,52.552, ,49.648, ,48.231, ,53.513,(4),48.231,17,40.803,22,906
2,open,ASP,Mark Johnson,89 Porsche/944,52.298, ,61.015,(6),49.863, ,49.187, ,49.187,25,41.612,29,889
3,open,ASP,David Webb,89 Porsche/944,60.399, ,53.137, ,52.461, ,74.684, ,52.461,47,44.382,55,833
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,49.525, ,49.811,(2),47.405, ,47.194, ,47.194,9,39.643,15,933
1,open,CSP,Sean Martinez,66 Chevrolet/Chevelle,54.799,(2),52.344, ,50.320, ,49.626, ,49.626,28,41.636,30,888
1,open,DSP,Gerry Reynolds,88 BMW/325,49.481, ,48.944, ,96.135,(40),48.157, ,48.157,16,39.392,13,939
2,open,DSP,Ron Terrien,95 Honda/Prelude,50.148, ,48.892, ,49.435, ,54.102,(6),48.892,23,39.994,19,925
