"Here are the results! We had 72 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Steve Burger,01 Chev/Corvette,52.532, ,52.933,(2),69.712,(6),50.433, ,50.433,7,42.212,15,943
1,open,AS,Paul Lialios,91 chevy/corvette,54.164, ,52.598, ,54.382,(2),52.440, ,52.440,22,43.420,27,917
2,open,AS,John Masterson,84 Chevrolet/Corvette,86.745,(24),81.721,(20),81.366,(20),67.394, ,67.394,69,55.802,70,713
1,open,CS,John Wisthoff,01 toyota/mr 2,56.465, ,81.980,(24),55.677,(2),59.612,(6),55.677,41,45.321,47,878
1,open,FS,Jack Drummond,01 Chevrolet/Z-28 Camaro,55.412, ,51.310, ,51.240, ,50.913, ,50.913,10,41.036,5,970
1,open,GS,Chris Sparling,02 Saab/9-3,51.659, ,51.716, ,52.127, ,50.898, ,50.898,9,39.802,1,1000
2,open,GS,Dane Campbell,03 MINI/CooperS,58.518, ,52.968, ,55.002,(2),52.596, ,52.596,23,41.130,7,968
3,open,GS,Kris Tvedt,95 Plymonth/Neon,74.918,(20),53.728, ,53.473, ,53.490, ,53.473,29,41.816,13,952
4,open,GS,Brian Caldwell,01 Toyota/Tacoma,DNF, ,57.625, ,56.208, ,56.048, ,56.048,44,43.830,33,908
5,open,GS,Mat Cable,01 Toyota/Tacoma,82.579,(22),59.060, ,61.284,(2),64.504,(6),59.060,64,46.185,53,862
1,open,HS,Rick Brown,78 Triumph/Spitfire,71.843, ,71.604, ,DNS, ,DNS, ,71.604,70,55.708,69,714
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,54.936,(2),51.267, ,55.141,(4),51.814, ,51.267,14,43.064,20,924
1,open,CSP,Mike Wilke,84 Honda Civic,58.269, ,82.608,(20),DNS, ,DNS, ,58.269,61,48.888,66,814
