"Here are the results! We had 100 competitors for the Event, and 51 time onlies.",,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Joel Schotz,01 CORVETTE/Z06,62.962,(6),58.580,(2),55.889, ,56.251, ,55.889,3,46.779,4,978
2,open,SS,Ken Feeley,93 Mazda/RX7,62.978, ,64.897,(2),63.483, ,61.555, ,61.555,34,51.522,45,888
1,open,AS,Paul Lialios,91 chevy/corvette,80.663,(20),61.222, ,58.832, ,59.080, ,58.832,16,48.713,21,939
1,open,BS,Dave Mccombs,02 honda/s2000,58.141, ,57.538, ,57.426, ,58.631,(2),57.426,8,47.376,7,966
2,open,BS,Brian Malm,86 Porsche/928S,71.076,(4),76.877,(10),71.848,(8),65.513, ,65.513,69,54.048,69,847
1,open,CS,Mark Johnson,99 Mazda/Miata,58.364, ,57.658, ,57.541, ,61.175,(4),57.541,9,46.838,5,977
2,open,CS,Dawn Maxwell,99 Mazda/Miata,65.841,(2),71.493,(4),58.964, ,59.817, ,58.964,18,47.997,12,953
3,open,CS,John Wisthoff,01 toyota/Mr2,62.434, ,73.886,(4),68.257,(6),60.529, ,60.529,26,49.271,25,929
1,open,DS,Andy Mccutchen,02 Acura/RSX-S,68.308, ,68.299, ,64.642, ,63.834, ,63.834,56,50.748,37,902
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,62.545, ,61.654, ,61.189, ,59.462, ,59.462,22,47.926,11,955
2,open,FS,Jack Drummond,01 Chev/Z-28 Camaro,63.257, ,62.427, ,61.844, ,61.128, ,61.128,30,49.269,24,929
1,open,GS,Chris Sparling,02 Saab/9-3,70.189,(6),63.547, ,62.629, ,61.584, ,61.584,35,48.159,15,950
2,open,GS,Dane Campbell,03 mini/cooperS,69.072,(8),64.008,(2),64.555,(2),61.935, ,61.935,38,48.433,20,945
1,open,ASP,Ted Lewis,65 Lotus/Elan,57.010, ,DNF, ,54.082, ,57.615,(4),54.082,1,45.753,1,1000
2,open,ASP,Bob Francis,02 Corvette/Z06,74.665,(2),69.475,(2),65.854, ,64.026, ,64.026,59,54.166,72,845
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,62.763,(2),59.867, ,59.380, ,58.666, ,58.666,15,49.279,26,928
1,open,CSP,Steve Shaw,85 Mazda/RX7,65.670, ,63.228, ,65.867,(2),65.825, ,63.228,49,53.048,59,862
1,open,DSP,Brian Peters,95 Acura/Integra,60.581, ,58.562, ,59.375,(2),56.864, ,56.864,6,46.515,2,984
2,open,DSP,Ben Clement,95 Acura/Integra GSR,64.236, ,62.841,(2),59.563, ,58.568, ,58.568,13,47.909,10,955
3,open,DSP,Gerry Reynolds,88 BMW,60.710, ,60.777, ,60.104, ,59.026, ,59.026,19,48.283,18,948
4,open,DSP,Ron Terrien,95 Honda/Prelude,65.687, ,62.827, ,61.367, ,61.138, ,61.138,31,50.011,28,915
1,open,ESP,Richard Rippy,98 Chevy/Camaro,70.041,(2),59.706, ,59.719, ,58.342, ,58.342,12,48.190,16,949
1,open,AP,Greg Duncan,84 Pontiac/Fiero,55.206, ,58.605,(4),56.561,(2),54.510, ,54.510,2,47.478,8,964
2,open,AP,Merrill Niles,65 ford/cobra,68.925, ,66.389,(2),64.469, ,63.401, ,63.401,52,55.222,80,829
1,open,CP,Boris Adelman,88 Mazda/626,75.876,(2),63.477,(2),60.312, ,65.965,(6),60.312,25,51.446,44,889
2,open,CP,Jesse Smith,68 chevy/camaro,68.129,(2),64.794,(2),64.384, ,63.138, ,63.138,45,53.857,68,850
3,open,CP,Kenny Smith,68 chevy/camaro,96.065,(20),65.311, ,64.515, ,63.395, ,63.395,51,54.076,70,846
4,open,CP,Bob Walsh,99 Ford/Mustang,85.089,(20),65.513, ,68.538,(4),64.044, ,64.044,60,54.630,75,838
1,open,FP,Enrique Aviles,82 Mazda/Rx-7,65.026, ,63.807, ,63.193, ,64.294,(2),63.193,47,54.409,74,841
1,open,DM,Joe Curry,65 Lotus/Elan,DNF, ,57.842,(2),59.953,(2),57.092, ,57.092,7,50.869,40,899
1,open,EM,Tom Hill,84 Pontiac/Fiero,58.594, ,59.396, ,57.530, ,56.005, ,56.005,4,50.348,30,909
2,open,EM,Don Sattler,94 Mazda/Miata,76.265,(20),58.674,(2),DNF, ,56.374, ,56.374,5,50.680,36,903
3,open,EM,David Lahey,94 Mazda/Miata R,60.467,(2),62.915,(6),59.151,(2),65.401,(4),59.151,20,53.177,60,860
1,open,STS,David Rock,03 Toyota/Celica GTS,61.973,(2),60.191, ,75.453,(8),72.209,(4),60.191,24,47.190,6,970
2,open,STS,Mark Eddy,00 Subaru/Impreza,63.637,(2),61.135, ,60.559, ,60.702, ,60.559,27,47.478,9,964
3,open,STS,Ron Conrad,86 Honda/Civic Si,63.414,(2),61.445, ,63.571,(2),61.365, ,61.365,32,48.110,14,951
4,open,STS,Rory Keeney,00 Toyota/Celica GT-S,66.560, ,64.503, ,63.844, ,62.664, ,62.664,41,49.129,23,931
5,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,72.558,(2),72.479, ,66.474, ,64.544,(4),64.544,63,50.602,34,904
6,open,STS,Matt Durban,98 BMW/318ti,74.809,(2),76.510,(2),68.192, ,75.671,(8),68.192,82,53.463,63,856
1,open,STX,Joshua Sortor,02 Subaru/Impreza ,69.463,(2),59.374, ,58.338, ,60.649,(2),58.338,11,46.554,3,983
2,open,STX,Fernando Ma,02 Volkswagen/GTI,65.656, ,65.441, ,73.148,(6),66.279,(2),65.441,68,52.222,49,876
3,open,STX,Jeff Braciak,01 Pontiac/Firebird,69.651,(2),66.457, ,67.393,(2),68.495,(2),66.457,74,53.033,58,863
