"Here are the results! We had 85 competitors for the Event, and 40 time onlies.",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS
1,open,SS,Joel Schotz,01 CHEVROLET/CORVETTE ZO6,78.394,(20),59.289, ,58.655, ,58.340, ,58.340,7,48.831,10,967
2,open,SS,Bob Francis,02 Corvette/Z06,DNF, ,86.653,(20),66.715, ,63.478, ,63.478,32,53.131,46,888
1,open,AS,Paul Lialios,91 chevy/corvette,62.515, ,62.898, ,62.209, ,61.846, ,61.846,21,51.208,30,922
1,open,BS,Dave Mccombs,02 HNDA/S2000,60.018, ,60.478, ,60.392, ,59.804, ,59.804,12,49.338,16,957
2,open,BS,Brian Malm,86 Porsche/928s,67.760, ,66.122, ,65.583, ,65.282, ,65.282,42,53.858,52,876
1,open,CS,Dawn Maxwell,99 Mazda/Miata,60.717, ,65.628,(2),60.232, ,60.647, ,60.232,17,49.029,12,963
1,open,DS,Kevin Gleaton,02 Nissan/Sentra Spec V,63.976, ,62.899, ,62.887, ,63.627, ,62.887,27,49.995,21,944
2,open,DS,Jim Barks,03 Lexus/IS300,67.055, ,66.873, ,66.183, ,67.140, ,66.183,52,52.615,41,897
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,61.417, ,61.165, ,60.529, ,60.372, ,60.372,18,48.660,8,970
2,open,FS,Jack Drummond,01 Chevrolet/Z-28 Camaro,64.295, ,63.833, ,67.759,(2),63.927, ,63.833,36,51.449,33,917
1,open,GS,Chris Sparling,02 Saab/9-3,64.817,(2),62.456, ,65.479,(2),62.257, ,62.257,24,48.685,9,970
2,open,GS,Dane Campbell,03 Mini/Cooper S,62.823, ,62.881, ,62.550, ,66.969,(4),62.550,25,48.914,11,965
1,open,ASP,Mark Huffman,66 Lotus/Elan,58.245, ,57.517, ,56.010, ,56.278, ,56.010,3,47.384,2,996
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,59.181, ,59.758, ,61.098,(2),59.157, ,59.157,8,49.692,20,950
1,open,DSP,Ben Clement,95 Acura/Integra GSR,61.120,(2),60.145, ,59.513, ,59.478, ,59.478,9,48.653,7,970
2,open,DSP,Ron Terrien,95 Honda/Prelude,62.420, ,63.198, ,62.885, ,62.016, ,62.016,22,50.729,24,930
1,open,ESP,Richard Rippy,98 Chevy/Camaro,DNF, ,61.329, ,59.631, ,64.363,(4),59.631,10,49.255,15,958
1,open,AP,Greg Duncan,84 Pontiac/Fiero,58.006,(2),57.059, ,55.718, ,55.399, ,55.399,1,48.253,5,978
1,open,CP,Kenny Smith,68 Chevy/Camaro,71.968, ,65.984,(2),66.920,(2),65.948, ,65.948,49,56.254,69,839
2,open,CP,Boris Adelman,88 mazda/626,66.322,(2),93.055,(24),87.203,(20),66.474, ,66.322,53,56.573,70,834
3,open,CP,Jesse Smith,68 Chevy/Camaro,68.417, ,DNF, ,82.025,(2),103.249,(20),68.417,70,58.360,80,809
1,open,CM,Gene Sanders,72 Formula Ford/caldwell`,87.138,(26),56.629, ,57.044, ,55.765, ,55.765,2,51.248,31,921
1,open,DM,Joe Curry,63 Triumph/Spitfire,58.703, ,58.388, ,57.819, ,57.928, ,57.819,4,51.517,35,916
2,open,DM,Ralph Prince,60 Austin-Healey/Bugeye,82.371, ,67.782,(2),64.368, ,65.392, ,64.368,39,57.352,74,823
3,open,DM,Brandon Smith,97 Honda/Civic,67.593,(2),65.541, ,66.458, ,65.306, ,65.306,43,58.188,79,811
4,open,DM,Nicholas Foster,81 BMW/320i,69.883,(2),67.907, ,72.859,(4),DNS, ,67.907,66,60.505,84,780
1,open,STS,David Rock,03 Toyota/Celica GTS,60.318, ,84.686,(22),60.207, ,60.257, ,60.207,15,47.202,1,1000
2,open,STS,Jonathan Eddy,00 Subaru/Impreza,63.241, ,63.106, ,62.752, ,62.908, ,62.752,26,49.198,13,959
3,open,STS,Kelly Randall,00 Subaru/Impreza 2.5 RS,66.340, ,63.735, ,63.399, ,62.993, ,62.993,29,49.387,17,956
4,open,STS,Josh Randall,00 Subaru/Impreza 2.5 RS,65.550, ,64.141, ,64.139, ,63.253, ,63.253,31,49.590,19,952
5,open,STS,Matt VanDeson,95 Acura/Integra,96.854,(20),DNF, ,66.404, ,67.194, ,66.404,55,52.061,36,907
6,open,STS,Ron Conrad,86 Honda/Civic Si,67.702,(2),DNF, ,DNS, ,DNS, ,67.702,64,53.078,44,889
7,open,STS,Rob Michaels,95 Nissan/240sx,92.413,(20),DNF, ,76.795, ,92.181,(20),76.795,84,60.207,83,784
1,open,STX,Joshua Sortor,02 Subaru/Impreza WRX,63.365,(2),61.309, ,59.708, ,61.333,(2),59.708,11,47.647,4,991
2,open,STX,Mike Quigley,02 Subaru/WRX,62.710, ,62.357, ,62.468, ,62.105, ,62.105,23,49.560,18,952
3,open,STX,Todd Houser,03 Mini/S,63.914, ,66.914,(2),65.728,(2),62.984, ,62.984,28,50.261,23,939
4,open,STX,Fernando Ma,02 Volkswagen/GTI,67.076, ,63.948, ,70.484,(6),63.697, ,63.697,34,50.830,26,929
5,open,STX,Jeff Braciak,01 Pontiac/Firebird,68.344, ,67.538, ,71.702,(2),68.673, ,67.538,62,53.895,53,876
1,open,SM,Larry Petrucci,95 Pontiac/Formula,61.800,(2),60.287, ,59.471, ,57.991, ,57.991,6,48.364,6,976
2,open,SM,Geren Smith,02 Subaru/Impreza WRX,60.657, ,62.295,(2),60.382, ,60.225, ,60.225,16,50.228,22,940
