The Spring series for 2003 is a best 3 out of 4 event series.,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,,,,,,
1,SS,Ken Feeley,909,873,891,899,2699,,,,,,,,,,
2,SS,Joel Schotz,940,767, ,947,2654,,,,,,,,,,
3,SS,Steve Burger,943, ,931, ,1874,,,,,,,,,,
4,SS,Steve Eymann, , , ,976,976,,,,,,,,,,
5,SS,Dave Mc Combs, , , ,959,959,,,,,,,,,,
6,SS,Marc McCombs, ,906, , ,906,,,,,,,,,,
7,SS,Bob Francis,896, , , ,896,,,,,,,,,,
1,AS,Jason Isley,989, , , ,989,,,,,,,,,,
2,AS,Steve Ryan, ,971, , ,971,,,,,,,,,,
3,AS,Bob Isley,937, , , ,937,,,,,,,,,,
1,BS,Paul Lialios,962,843,920, ,2725,,,,,,,,,,
2,BS,Dave Skull,911,865,924,889,2724,,,,,,,,,,
3,BS,Dave McCombs,976, , , ,976,,,,,,,,,,
4,BS,Marc McCombs,944, , , ,944,,,,,,,,,,
6,BS,Brian Malm, , ,879, ,879,,,,,,,,,,
7,BS,Jon Castillo, , ,793, ,793,,,,,,,,,,
8,BS,Tom McNamee, ,718, , ,718,,,,,,,,,,
9,BS,Janice McNamee, ,702, , ,702,,,,,,,,,,
10,BS,Jay Felix, ,673, , ,673,,,,,,,,,,
1,CS,Mark Johnson, ,948, ,909,1857,,,,,,,,,,
2,CS,William Sloan,880,837, , ,1717,,,,,,,,,,
3,CS,Dawn Maxwell, ,929, , ,929,,,,,,,,,,
4,CS,Jason Trible,890, , , ,890,,,,,,,,,,
5,CS,David Felix, ,845, , ,845,,,,,,,,,,
1,DS,Mike Quigley,956,914, ,919,2789,,,,,,,,,,
2,DS,Garry Morris, ,918, , ,918,,,,,,,,,,
3,DS,Brian Kraemer,916, , , ,916,,,,,,,,,,
1,ES,Richard Harris,937,928,940,878,2805,,,,,,,,,,
2,ES,Rob Bittner,871,841, , ,1712,,,,,,,,,,
3,ES,Robert Love II, ,878, , ,878,,,,,,,,,,
1,FS,Don Hyland,953,924,946,948,2847,,,,,,,,,,
2,FS,Jack Drummond, ,834, ,918,1752,,,,,,,,,,
3,FS,Kelly Lamont, ,867, ,875,1742,,,,,,,,,,
4,FS,Randy Hasson, ,783, , ,783,,,,,,,,,,
5,FS,Don Chantengco, , , ,783,783,,,,,,,,,,
1,GS,Chris Sparling,946,903,934,912,2792,,,,,,,,,,
2,GS,Kim Sparling,860,870, ,825,2555,,,,,,,,,,
3,GS,Dane Campbell, , , ,938,938,,,,,,,,,,
4,GS,Wiggy Greacen, ,931, , ,931,,,,,,,,,,
5,GS,Kris Tvedt, ,911, , ,911,,,,,,,,,,
6,GS,Chris Bunch, , , ,900,900,,,,,,,,,,
7,GS,Larry Bunch, , , ,882,882,,,,,,,,,,
8,GS,Kelly Randall, , , ,864,864,,,,,,,,,,
9,GS,Joe DiNunzio, , , ,805,805,,,,,,,,,,
1,HS,Lee Mayer, ,820,851, ,1671,,,,,,,,,,
2,HS,Mark Shaw, , , ,911,911,,,,,,,,,,
3,HS,Bud Adelman, , , ,866,866,,,,,,,,,,
4,HS,Mark Leinhos, ,836, , ,836,,,,,,,,,,
1,ASP,Ted Lewis, ,943, ,961,1904,,,,,,,,,,
2,ASP,Bob Francis, ,835, ,867,1702,,,,,,,,,,
3,ASP,Greg Mondeau, ,739,777, ,1516,,,,,,,,,,
4,ASP,Marco Palmeri,829, , , ,829,,,,,,,,,,
1,BSP,Newton Johnson,940, ,924,947,2811,,,,,,,,,,
1,CSP,Mike Beggy,872, ,853,837,2562,,,,,,,,,,
2,CSP,Travis Higdon, , , ,883,883,,,,,,,,,,
1,DSP,Jeff Makowski,899,880, ,868,2647,,,,,,,,,,
2,DSP,Ron Terrien,882, , ,908,1790,,,,,,,,,,
3,DSP,Gerry Reynolds, ,879, ,884,1763,,,,,,,,,,
4,DSP,Danny Foldes,902, ,854, ,1756,,,,,,,,,,
5,DSP,Larry Gowen,824, ,817, ,1641,,,,,,,,,,
6,DSP,Brian Caldwell, , ,657,839,1496,,,,,,,,,,
7,DSP,Brian Malm, , , ,891,891,,,,,,,,,,
8,DSP,Michael Oberstar,890, , , ,890,,,,,,,,,,
9,DSP,Kim Stewart, ,864, , ,864,,,,,,,,,,
10,DSP,Fernando Ma, ,741, , ,741,,,,,,,,,,
