"Here are the results! We had 71 competitors for the Event, and 43 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,open,AS,Dayron Vargas,02 BMW/M3 Convertible,63.484,(2),59.798, ,59.733, ,58.265, ,58.265,12,48.243,13,921,,,,
1,open,BS,Brian Malm,86 Porsche/928 S,64.360, ,63.152, ,71.867, ,62.633, ,62.633,36,51.735,40,859,,,,
1,open,DS,Brian Peters,03 Lexus/IS300,60.699,(2),60.300,(2),58.429, ,58.012, ,58.012,11,46.062,2,965,,,,
1,open,ES,Bryan Sears,87 Mazda/RX-7,75.520, ,68.760, ,66.745, ,66.998, ,66.745,59,53.663,52,828,,,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,59.454, ,59.104, ,60.944,(2),57.769, ,57.769,10,46.389,3,958,,,,
2,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,60.052, ,59.858, ,60.876, ,60.025, ,59.858,18,48.066,10,925,,,,
3,open,FS,Jack Drummond,1 Chev/Z-28 Camaro,84.025,(20),61.838, ,60.556, ,66.180,(2),60.556,27,48.626,15,914,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,61.165, ,61.398, ,60.892, ,60.545, ,60.545,26,47.286,5,940,,,,
1,open,HS,Rick Brown,78 Triumph/Spitfire,75.518, ,72.796, ,72.821, ,72.955, ,72.796,69,56.490,67,787,,,,
1,open,ASP,Steve Burger,01 Chev/Corvette,63.559,(4),63.694,(4),101.211,(22),DNF, ,63.559,40,53.898,55,825,,,,
2,open,ASP,Dave Koepp,65 Shelby/Cobra,66.720, ,65.906, ,66.568, ,70.205, ,65.906,54,55.888,62,795,,,,
1,open,BSP,Newton Johnson,91 Corvette/ZR - 1,56.811, ,57.654, ,59.284, ,57.928, ,56.811,6,47.664,6,932,,,,
1,open,CSP,David Lahey,85 Mazda/Miata,81.945,(20),81.168,(22),80.192,(20),62.177, ,62.177,33,52.042,43,854,,,,
1,open,DSP,Ben Clement,95 Acura/Integra GSR,60.330, ,59.299, ,58.729, ,60.437,(2),58.729,13,48.099,11,924,,,,
2,open,DSP,Ron Terrien,95 Honda/Prelude,63.039, ,61.085, ,60.929, ,60.165, ,60.165,23,49.275,16,902,,,,
3,open,DSP,Matt Durban,98 BMW/318ti,67.472,(4),69.886,(6),75.962,(2),68.440,(4),67.472,61,55.260,59,804,,,,
1,open,ESP,Jerimiah Taylor,95 Chevy/Camaro,DNF, ,66.598,(2),69.270,(6),63.877, ,63.877,44,52.635,48,844,,,,
1,open,FSP,Jim Harnish,95 Honda/Civic,57.637,(2),55.344, ,55.694, ,54.666, ,54.666,1,44.443,1,1000,,,,
1,open,CP,Kenny Smith,68 Chevy /Camaro,93.141,(20),60.797, ,61.701, ,59.652, ,59.652,17,50.943,35,872,,,,
2,open,CP,Jesse Smith,68 Chevy /Camaro,75.698, ,64.714, ,62.946, ,62.135, ,62.135,31,53.063,51,838,,,,
1,open,BM,Ken Edney,76 Zink/Z10,71.202, ,59.316, ,57.200, ,56.940, ,56.940,7,53.808,54,826,,,,
1,open,DM,Joe Curry,63 TRIUMPG/SPITFIRE,76.078,(20),56.927, ,56.178, ,56.135, ,56.135,3,49.736,20,894,,,,
2,open,DM,Ralph Prince,60 Austin Healey/Bugeye,95.628,(20),70.083,(2),82.624,(6),63.196, ,63.196,38,55.992,64,794,,,,
3,open,DM,Jason Piper,60 Austin Healey/Bugeye,87.836,(20),72.406, ,68.121, ,75.163,(4),68.121,63,60.355,69,736,,,,
4,open,DM,Jennifer Prince,60 Austin Healey/Bugeye,DNF, ,98.135,(20),95.188,(20),74.581, ,74.581,70,66.079,70,673,,,,
1,open,EM,Greg Duncan,84 Pontiac/Fiero,57.729,(2),57.208,(2),55.235, ,62.672, ,55.235,2,49.380,17,900,,,,
2,open,EM,Tom Hill,84 Pontiac /Fiero,58.084, ,57.247, ,58.008, ,56.291, ,56.291,4,50.324,26,883,,,,
3,open,EM,Bill Schroeder,91 Ford/Mustang GT,58.128, ,57.376, ,60.013,(2),79.918,(20),57.376,8,51.294,38,866,,,,
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,61.567,(2),59.592, ,79.627,(20),59.372, ,59.372,16,46.963,4,946,,,,
2,open,STS,Peter Femia,00 VW/GTI,86.713,(20),66.965, ,64.483, ,63.827, ,63.827,42,50.487,30,880,,,,
3,open,STS,Hunter McDonald,91 Honda/Civic,64.212, ,73.197,(4),65.001, ,64.041, ,64.041,45,50.656,32,877,,,,
4,open,STS,John Sandoval,02 VW/Jetta GLI,72.296, ,67.926, ,66.377, ,66.613, ,66.377,56,52.504,46,846,,,,
5,open,STS,Chris Piper,97 Honda/Civic,89.914,(22),70.547,(2),87.185,(20),66.527, ,66.527,57,52.623,47,845,,,,
6,open,STS,Dennis Lach,99 subaru/impeza rs,70.578,(2),69.598, ,66.905, ,66.593, ,66.593,58,52.675,49,844,,,,
1,open,STX,Mike Quigley,02 subaru/wrx,82.164,(22),61.747,(2),60.059, ,70.978,(10),60.059,20,47.747,7,931,,,,
2,open,STX,Fernando Ma,02 Volkswagen/GTI,81.142,(20),65.626,(4),60.188, ,62.361,(2),60.188,24,47.849,8,929,,,,
3,open,STX,Jeff Braciak,01 Pontiac/Firebird,62.920, ,64.542,(2),74.703,(4),62.327, ,62.327,35,49.550,19,897,,,,
4,open,STX,Lee Mayer,95 VW/Jetta,88.040,(22),65.780, ,67.109,(2),65.629,(2),65.629,53,52.175,44,852,,,,
5,open,STX,Greg Mondeau,89 BMW/M3,70.105, ,68.363, ,69.905,(2),74.020,(6),68.363,65,54.349,56,818,,,,
1,open,SM2,Keith Lensch,98 chevrolet/corvette,81.545,(22),57.103, ,57.500, ,56.404, ,56.404,5,47.887,9,928,,,,
2,open,SM2,Dave Skull,91 Toyota/MR2,60.730, ,60.770, ,59.487, ,59.120, ,59.120,15,50.193,23,885,,,,
3,open,SM2,Enrique Aviles,82 Mazda/Rx-7,82.090,(20),62.546, ,61.565, ,61.815, ,61.565,29,52.269,45,850,,,,
1,open,FJ4,Jamie Baker,Emmick/Cobra,80.911,(20),60.835, ,58.478, ,57.683, ,57.683,9,48.108,12,924,,,,
2,open,FJ4,Kayla Smith,Emmick/Cobra,68.253, ,64.357, ,DNF, ,DNS, ,64.357,49,53.674,53,828,,,,
1,ladies,GS,Kim Sparling,02 Saab/9-3,87.081,(22),74.118,(8),65.088, ,65.040, ,65.040,51,50.796,34,875,,,,
2,ladies,BP,Lori Ehman,65 Factory Five/Cobra,83.231,(6),67.152, ,70.406,(2),65.074, ,65.074,52,56.159,65,791,,,,
1,novice,SS,Nick Farkas,98 Chevy/Corvette,82.157,(20),62.075, ,60.105, ,59.968, ,59.968,19,50.133,22,887,,,,
2,novice,DS,Jamal Brewer,04 Dodge/SRT-4,69.922, ,66.321, ,63.254, ,65.254,(2),63.254,39,50.224,24,885,,,,
3,novice,STS,Christopher Lampe,98 Dodge/Neon,65.683, ,63.730, ,69.443, ,63.908, ,63.730,41,50.410,28,882,,,,
4,novice,DS,John Ellis,00 Toyota/Celica GTS,66.199, ,65.653, ,63.852, ,66.659, ,63.852,43,50.698,33,877,,,,
5,novice,STX,Gary Tang,00 Acura/Integra Type R,89.172,(24),85.625,(22),83.976,(20),64.345, ,64.345,48,51.154,37,869,,,,
6,novice,AS,Chris Groppi,04 Subaru/WRX STi,83.921,(20),64.258, ,62.156, ,62.659, ,62.156,32,51.465,39,864,,,,
7,novice,SM,Jimmy Cantano,98 Acura/Integra,67.367, ,64.639, ,62.847, ,61.924, ,61.924,30,51.892,42,856,,,,
8,novice,STS,Adam Stern,91 Honda/Prelude,71.317, ,67.870, ,69.971,(2),66.957, ,66.957,60,52.963,50,839,,,,
9,novice,CP,Jeff Eckart,88 Chevy/Camaro,88.735,(20),95.489,(26),64.589, ,64.193, ,64.193,47,54.821,58,811,,,,
