"Here are the results! We had 55 competitors for the Event, and 32 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,BS,Brian Malm,86 Porsche/928 S,57.700,(4),53.254, ,57.230,(4),54.921,(2),53.254,25,43.988,29,878,,,,
1,open,DS,Hisham Abukhzam,00 Toyota /Celica GT,59.471, ,57.270, ,57.412, ,57.749,(2),57.270,44,45.472,37,850,,,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,51.557, ,52.299, ,50.627, ,51.107, ,50.627,10,40.653,4,950,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,55.418,(2),53.941, ,52.956, ,52.772, ,52.772,21,41.215,7,937,,,,
1,open,HS,John Wisthoff,01 honda/civic,57.990, ,78.524,(20),55.723, ,57.225, ,55.723,37,43.241,21,894,,,,
2,open,HS,Greg Duncan,88 Pontiac/Fiero,60.296, ,60.064, ,59.769, ,60.825, ,59.769,50,46.381,42,833,,,,
1,open,ASP,Mark Johnson,65 Lotus/Elan,59.761, ,48.373, ,61.613,(6),48.058, ,48.058,1,40.753,5,948,,,,
2,open,ASP,Ted Lewis,65 Lotus/Elan,53.001,(4),68.937,(20),50.041,(2),60.089,(12),50.041,5,42.435,15,910,,,,
3,open,ASP,Bob Francis,02 Corvette/Z06,56.564, ,DNF, ,56.421,(2),56.531,(2),56.421,39,47.845,45,808,,,,
1,open,CSP,Drew Wood,92 Mazda/Miata,60.985,(2),59.999, ,57.443, ,67.957, ,57.443,45,48.080,47,804,,,,
1,open,DSP,Ron Terrien,95 Honda/Prelude,53.810, ,51.967, ,51.715, ,55.097,(2),51.715,15,42.355,13,912,,,,
2,open,DSP,Matt Durban,98 BMW/318ti,57.136, ,56.355,(2),53.605, ,65.324,(10),53.605,28,43.902,27,880,,,,
1,open,CP,Kenny Smith,69 Chevy /Camaro,55.450, ,52.923, ,52.701, ,51.635, ,51.635,14,44.096,31,876,,,,
2,open,CP,Jesse Smith,69 Chevy /Camaro,55.488, ,54.948, ,53.600, ,61.566, ,53.600,27,45.774,38,844,,,,
1,open,DM,Dylan Wiggins,79 Fiat/X1/9,59.010,(2),59.196,(2),56.594, ,56.860, ,56.594,40,50.142,52,771,,,,
1,open,STS,David Rock,03 Toyota/Celica GTS,50.259, ,49.130, ,50.280, ,50.995,(2),49.130,3,38.862,2,994,,,,
2,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,50.923, ,50.498, ,50.591, ,60.523,(2),50.498,7,39.944,3,967,,,,
3,open,STS,Dennis Lach,99 Subaru/Impreza,56.867, ,57.291, ,56.510, ,55.875, ,55.875,38,44.197,32,874,,,,
1,open,STX,Joshua Sortor,02 Subaru/Impreza WRX,50.304, ,50.004,(2),49.965,(2),48.600, ,48.600,2,38.637,1,1000,,,,
2,open,STX,Jeff Braciak,01 Pontiac/Firebird V6,55.623, ,54.135, ,55.755,(2),53.688, ,53.688,30,42.682,16,905,,,,
3,open,STX,Fernando Ma,02 Volkswagen/GTI,55.192, ,DNF, ,53.926, ,67.276,(4),53.926,33,42.871,19,901,,,,
4,open,STX,Lee Mayer,95 VW/jetta,57.448,(2),55.167, ,59.568,(4),55.303, ,55.167,36,43.858,26,881,,,,
5,open,STX,Greg Mondeau,89 BMW/M3,60.875, ,58.783, ,58.530, ,58.330, ,58.330,46,46.372,41,833,,,,
1,open,SM,John Raskob,90 Mitsubishi/eclipse gsx,56.013, ,55.470, ,53.988, ,54.953, ,53.988,34,45.242,36,854,,,,
1,open,SM2,Dave Skull,91 Toyota/MR2,51.800, ,49.940, ,50.442, ,49.774, ,49.774,4,42.258,12,914,,,,
2,open,SM2,Harry Berzes,94 Mazda/Miata,51.281, ,50.999, ,50.794, ,50.940, ,50.794,11,43.124,20,896,,,,
3,open,SM2,Keith Lensch,98 chevrolet/corvette,63.550, ,55.376,(4),52.622, ,50.950, ,50.950,12,43.257,22,893,,,,
4,open,SM2,Enrique Aviles,82 Mazda/RX-7,55.508,(2),53.202, ,51.858, ,52.515, ,51.858,17,44.027,30,878,,,,
1,open,KT,Ronda Smith,?? Emick Kart,54.725, ,53.573, ,51.801, ,52.090, ,51.801,16,48.589,48,795,,,,
1,open,FJ4,Kayla Smith,00 Emmick/Cobra,58.109, ,60.177,(2),55.464, ,53.618, ,53.618,29,44.717,35,864,,,,
1,ladies,CS,Dawn Maxwell,99 Mazda/Miata,51.476, ,51.122, ,50.621, ,51.087, ,50.621,9,41.054,6,941,,,,
