"Here are the rusults! We had 71 competitors for the Event, and 35 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,Kim Kemper,03 Chev/Corvette,60.598, ,58.812,(2),55.878, ,55.955, ,55.878,2,46.714,5,987,,,,
1,open,DS,Brian Peters,03 Lexus/IS300,58.819, ,58.386, ,58.612, ,58.065, ,58.065,11,46.104,1,1000,,,,
2,open,DS,Hisham Abukhzam,00 Toyota/Celica GT,91.271,(22),66.492, ,65.363, ,64.322, ,64.322,47,51.072,34,903,,,,
1,open,ES,Richard Harris,86 Toyota/MR2,61.866, ,61.019, ,63.296, ,62.363, ,61.019,30,49.059,20,940,,,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,80.684,(22),80.034,(20),61.585,(4),57.437, ,57.437,9,46.122,2,1000,,,,
2,open,FS,Thom Allen,96 Nissan/300ZX,70.871, ,69.232, ,68.021, ,68.696,(2),68.021,55,54.621,47,844,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,60.918, ,68.725,(6),59.869, ,59.824, ,59.824,24,46.723,6,987,,,,
2,open,GS,Harry Berzes,04 Mazda/3 Wagon,66.941, ,65.356, ,64.758, ,63.262, ,63.262,42,49.408,23,933,,,,
1,open,HS,David Webb,01 Ford/Focus,70.082, ,62.624, ,62.504, ,62.245, ,62.245,35,48.302,11,954,,,,
2,open,HS,Tad First,00 nissan/altima ,79.374,(4),71.980, ,70.578, ,68.918, ,68.918,58,53.480,42,862,,,,
1,open,ASP,Steve Burger,01 Chevy/Corvette,58.135, ,83.126,(22),78.059,(6),58.683, ,58.135,13,49.298,22,935,,,,
2,open,ASP,Bob Francis,02 Chevy/Corvette Z06,DNW, ,DNW, ,DNW, ,DNW, ,DNW, , , , ,,,,
1,open,CSP,Drew Wood,92 Mazda/Miata,72.363,(2),66.348, ,66.429,(2),69.137,(2),66.348,51,55.533,51,830,,,,
1,open,DSP,Ron Terrien,95 Honda/Prelude,81.524,(20),59.363, ,62.289, ,64.721,(4),59.363,23,48.618,13,948,,,,
1,open,ESP,Larry Petrucci,95 Pontiac/Firebird,58.140, ,56.564, ,56.694, ,57.103,(2),56.564,3,46.609,4,989,,,,
1,open,CP,Kenny Smith,69 Chevy /Camaro,59.620, ,59.376, ,58.344, ,56.975, ,56.975,7,48.657,14,948,,,,
2,open,CP,Jesse Smith,69 Chevy /Camaro,89.046,(20),64.382, ,61.235, ,60.245, ,60.245,25,51.449,36,896,,,,
3,open,CP,Ronda Smith,69 Chevy /Camaro,71.826, ,66.327, ,65.627, ,62.959, ,62.959,40,53.767,45,857,,,,
1,open,AM,Ian Bennett,04 FSAE,62.047, ,58.595,(2),56.842,(2),71.253,(2),56.842,6,56.842,55,811,,,,
2,open,AM,Cameron Damavandi,04 FSAE,62.105, ,93.936,(20),130.331,(20),58.182, ,58.182,14,58.182,58,792,,,,
3,open,AM,Jonathan Schwab,04 FSAE,DNF, ,62.837, ,59.430, ,58.545, ,58.545,16,58.545,59,787,,,,
4,open,AM,Chris Piper,04 FSAE,67.923, ,60.868, ,84.064,(20),58.756, ,58.756,19,58.756,60,785,,,,
5,open,AM,Dustin Wright,04 FSAE,74.391, ,60.670,(2),DNF, ,91.357,(20),60.670,28,60.670,66,760,,,,
1,open,DM,Ralph Prince,60 Austin healey/Frogeye,81.347, ,71.034, ,64.501, ,62.514, ,62.514,37,55.387,50,832,,,,
2,open,DM,Dylan Wiggins,79 Fiat/X1/9,70.588, ,69.143, ,69.238, ,68.738, ,68.738,56,60.902,67,757,,,,
3,open,DM,Rick Brown,64 MG/Midget,79.117,(2),75.730, ,75.238, ,74.339, ,74.339,68,65.864,68,700,,,,
4,open,DM,Jason Piper,60 Austin healey/Frogeye,DNF, ,92.127,(20),DNF, ,95.191,(22),92.127,69,81.625,69,565,,,,
