"Here are the results! We had 67 competitors for the Event, and 42 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,Joel Schotz,01 CHEVROLET/CORVETTE ZO6,64.837,(20),65.221,(20),42.888, ,42.757, ,42.757,2,35.745,6,967,,,,
2,open,SS,Kim Kemper,03 Chev/Corvette,47.248, ,46.037, ,45.067, ,45.045, ,45.045,12,37.658,21,918,,,,
1,open,AS,Dave Mccombs,04 Honda/S2000,44.971, ,46.210,(2),43.996, ,43.731, ,43.731,6,36.209,10,955,,,,
2,open,AS,Dayron Vargas,02 BMW/M3 Convertible,47.452, ,48.790,(2),48.315, ,48.659,(2),47.452,36,39.290,41,880,,,,
1,open,CS,Mark Johnson,99 Mazda/Miata,45.183, ,46.193, ,44.342, ,44.812, ,44.342,8,35.961,8,961,,,,
1,open,ES,Richard Harris,86 Toyota/MR2,46.785, ,51.232,(4),47.616, ,47.687, ,46.785,29,37.615,20,919,,,,
1,open,FS,Don Hyland,00 Chev./Camaro Z/28,46.249, ,44.906, ,44.660, ,45.842, ,44.660,10,35.862,7,964,,,,
1,open,GS,Dane Campbell,03 MINI/Cooper S,46.596, ,46.144, ,45.298, ,49.243,(4),45.298,15,35.378,4,977,,,,
2,open,GS,Harry Berzes,04 Mazda /3 Wagon,49.554, ,49.287, ,49.995, ,48.404, ,48.404,46,37.804,25,915,,,,
1,open,HS,John Wisthoff,01 honda/civic,53.808, ,53.028, ,53.603, ,52.797, ,52.797,65,40.970,54,844,,,,
1,open,ASP,Stephen Peterson,1 Chevrolet/Vette,67.773,(20),46.397, ,89.552,(20),45.822, ,45.822,20,38.857,39,890,,,,
2,open,ASP,Bob Francis,02 Chev./Z06,67.830,(20),49.143,(2),70.306,(20),47.744, ,47.744,39,40.487,52,854,,,,
1,open,DSP,Ron Terrien,95 Honda/Prelude,47.454, ,46.523, ,46.110, ,46.366, ,46.110,25,37.764,24,916,,,,
2,open,DSP,Kevin Gleaton,97 Nissan/200sx,47.211, ,47.235, ,47.124, ,47.147, ,47.124,32,38.595,34,896,,,,
3,open,DSP,Hisham Abukhzam,00 Toyota/Celica GT,73.130,(20),72.986,(20),51.046, ,50.495, ,50.495,56,41.355,56,836,,,,
1,open,ESP,Larry Petrucci,95 Pontiac/Firebird,46.985,(2),46.103,(2),43.858, ,43.333, ,43.333,4,35.706,5,968,,,,
2,open,ESP,Ted Lewis,95 pont/fbird,45.799, ,45.890, ,45.290, ,45.962, ,45.290,14,37.319,14,926,,,,
1,open,CP,Kenny Smith,68 Camaro,46.740, ,46.054, ,46.244, ,64.390,(4),46.054,22,39.330,42,879,,,,
2,open,CP,Jesse Smith,68 Camaro,48.752, ,47.662, ,47.237, ,46.971, ,46.971,30,40.113,50,862,,,,
1,open,AM,Ryan Kanto,04 FSAE/600cc,63.742, ,46.194, ,47.355, ,62.450, ,46.194,26,46.194,64,748,,,,
2,open,AM,Dustin Wright,04 FSAE/600cc,47.796, ,54.799, ,48.761, ,55.038, ,47.796,40,47.796,65,723,,,,
3,open,AM,Boris Adelman,84 Pontiac/Fiero,53.348,(4),52.042,(4),48.390,(2),85.811,(22),48.390,45,48.390,66,714,,,,
