"Here are the results! We had 71 competitors for the Event, and 36 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,,,
1,open,SS,Kim Kemper,03 Chev/Corvette,43.671, ,42.600, ,41.428, ,40.921, ,40.921,5,34.210,4,975,,,,
1,open,AS,Dennis Walsh,97 Acura/NSX,52.101, ,51.413, ,52.604,(2),47.912, ,47.912,56,39.671,57,841,,,,
1,open,BS,Brian Malm,86 Porsche/928s,47.275, ,47.455, ,46.140, ,46.859, ,46.140,41,38.112,44,875,,,,
1,open,CS,Jason Trible,00 Mazda/Miata,52.129, ,48.229, ,47.097, ,47.769, ,47.097,49,38.196,46,873,,,,
1,open,DS,Brian Peters,03 Lexus/IS300,42.920, ,42.427, ,42.243, ,43.958,(2),42.243,11,33.541,2,994,,,,
2,open,DS,David Vasquez,03 Lexus/IS300,50.717, ,47.905, ,46.100, ,45.283, ,45.283,34,35.955,19,928,,,,
3,open,DS,Travis Barnes,03 Subaru/WRX,55.708, ,49.392, ,56.927,(2),48.616, ,48.616,57,38.601,50,864,,,,
1,open,ES,Michael Martinez,85 Pontiac/Sunbird,52.911, ,51.694, ,52.324, ,51.783, ,51.694,66,41.562,66,802,,,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,45.735, ,44.178, ,42.783, ,43.513, ,42.783,14,34.355,5,971,,,,
2,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,44.952, ,44.124, ,44.362, ,44.046, ,44.046,21,35.369,14,943,,,,
3,open,FS,Jack Drummond,1 Chev/Z-28 Camaro,46.840, ,44.687, ,45.709,(2),44.316, ,44.316,24,35.586,16,937,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,46.885, ,45.384, ,45.939, ,45.197, ,45.197,33,35.299,13,945,,,,
1,open,HS,Rick Brown,78 Triumph/Spitfire,57.605, ,56.839, ,55.533, ,54.299, ,54.299,69,42.136,68,792,,,,
1,open,ASP,Ted Lewis,65 Lotus/Elan,42.515,(2),39.762, ,39.815, ,39.694, ,39.694,1,33.661,3,991,,,,
1,open,DSP,Ed Prather,96 Nissan/240,44.571, ,44.806, ,45.069, ,45.195, ,44.571,28,36.504,24,914,,,,
2,open,DSP,Ron Terrien,95 Honda/Prelude,46.554, ,46.500, ,48.959,(2),48.244,(2),46.500,43,38.084,43,876,,,,
