"Here are the results! We had 76 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,Kim Kemper,03 Chev/corvette,61.682, ,61.351, ,59.796, ,60.964, ,59.796,18,49.989,27,900,,,,
2,open,SS,Stephen Peterson,01 Chevrolet/Corvette,90.718,(20),68.270, ,DNF, ,64.196, ,64.196,56,53.668,58,839,,,,
1,open,AS,Steve Ryan,91 Chevrolet/Corvette,61.723,(2),60.406, ,80.455,(20),59.736, ,59.736,17,49.461,22,910,,,,
2,open,AS,Dayron Vargas,02 BMW/M3 Convertible,67.215,(6),61.860, ,61.479, ,63.060,(2),61.479,33,50.905,34,884,,,,
3,open,AS,Dennis Walsh,97 Acura/NSX,88.953,(20),86.905,(20),66.242, ,65.070, ,65.070,60,53.878,62,835,,,,
4,open,AS,Dirk Prather,02 Subaru/WRX,132.799,(20),72.474, ,69.281, ,70.193, ,69.281,74,57.365,75,785,,,,
1,open,ES,Richard Harris,86 Toyota/MR2,81.818,(20),62.672, ,61.839, ,61.410, ,61.410,31,49.374,21,912,,,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,61.260, ,59.517, ,58.775, ,58.398, ,58.398,11,46.894,6,960,,,,
2,open,FS,Jack Drummond,1 Chev/Z-28 Camaro,65.444, ,63.783, ,62.594, ,62.982, ,62.594,39,50.263,30,896,,,,
3,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,63.086, ,62.717, ,63.958,(2),88.126,(20),62.717,40,50.362,32,894,,,,
1,open,GS,Dane Campbell,03 MINI/Cooper S,59.931, ,60.207, ,59.265, ,58.789, ,58.789,12,45.914,4,980,,,,
2,open,GS,Chris Sparling,02 Saab/9-3,63.631, ,65.449,(2),64.422,(2),62.564, ,62.564,38,48.862,18,921,,,,
3,open,GS,Harry Berzes,04 Mazda/3,68.018, ,67.654, ,66.906, ,65.907, ,65.907,62,51.473,41,875,,,,
4,open,GS,Rob Michaels,95 Nissan/240SX,DNF, ,DNF, ,73.168, ,71.388, ,71.388,76,55.754,70,807,,,,
1,open,HS,Mark Johnson,02 MINI/Cooper,64.197,(2),61.634, ,61.260, ,64.382,(2),61.260,30,47.538,10,947,,,,
2,open,HS,David Webb,01 Ford/Focus,63.483,(2),61.815, ,61.802, ,62.131, ,61.802,36,47.958,13,939,,,,
1,open,ASP,Ted Lewis,65 Lotus/Elan,59.546, ,56.333, ,58.086,(2),57.876,(2),56.333,3,47.770,12,942,,,,
1,open,CSP,Drew Wood,92 Mazda/Miata,71.831, ,70.135, ,66.309, ,66.156, ,66.156,63,55.373,67,813,,,,
1,open,DSP,Brian Peters,95 Acura/Integra,60.764,(2),62.761, ,58.545, ,58.002, ,58.002,10,47.504,9,948,,,,
2,open,DSP,Ben Clement,95 Acura/Integra GSR,64.013,(4),61.365,(2),59.441, ,59.098, ,59.098,15,48.401,14,930,,,,
3,open,DSP,Hunter McDonald,91 Honda/Civic,66.150, ,65.416, ,64.147, ,64.453, ,64.147,55,52.536,48,857,,,,
1,open,ESP,Larry Petrucci,95 Pontiac/Firebird,59.080,(2),61.256,(4),59.833,(2),59.386,(2),59.080,14,48.682,17,925,,,,
2,open,ESP,Dennis Zygel,87 Toyota/Supra,89.943,(20),68.208, ,66.219, ,63.288, ,63.288,47,52.149,46,863,,,,
