"Here are the results! We had 50 competitors for the Event, and 29 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,open,SS,Kim Kemper,03 Chev/Corvette,54.901,(6),49.602,(2),49.965,(4),45.887, ,48.250,(2),45.887,6,38.362,13,931
2,open,SS,Elvis Presley,05 Lotus/Elise,48.668, ,70.842,(22),48.019, ,47.465, ,47.172, ,47.172,12,39.436,21,905
3,open,SS,Newton Johnson,04 Corvette/Z06,49.239, ,51.361,(4),47.196, ,49.444,(2),48.989,(2),47.196,13,39.456,22,905
1,open,BS,Rob Rockefeller,00 Honda/S2000,52.874,(2),49.544, ,49.470, ,54.113,(2),54.702, ,49.470,27,40.862,27,874
1,open,FS,Roy Coombes,93 FORD/MUSTANG,59.486,(6),48.617, ,48.210, ,46.918, ,DNS, ,46.918,11,37.675,9,948
2,open,FS,Don Hyland,00 Chevrole/Camar Z/28,52.662, ,51.902, ,49.930, ,50.972,(2),48.473, ,48.473,22,38.924,16,917
1,open,GS,Chris Sparling,02 Saab/9-3,50.764, ,48.410, ,47.920, ,48.187, ,49.536, ,47.920,20,37.426,7,954
1,open,HS,David Webb,01 Ford/Focus,52.614,(2),48.119, ,48.286, ,49.695,(2),48.390, ,48.119,21,37.340,6,956
1,open,ASP,Stephen Peterson,1 Chevy/vette,55.307, ,53.799, ,53.022, ,51.644, ,51.139, ,51.139,34,43.366,43,823
1,open,DSP,Brian Peters,95 Acura/Integra GS-R,62.204,(4),44.912, ,48.493,(4),44.089, ,43.590, ,43.590,1,35.700,1,1000
2,open,DSP,Ben Clement,95 Acura/Integra GSR,58.907,(10),46.515, ,45.722, ,49.303,(4),45.443, ,45.443,3,37.218,5,959
3,open,DSP,James Wood,99 Hyundai/Tiburon,67.205, ,57.096, ,54.918, ,57.388,(2),53.649, ,53.649,45,43.939,46,813
1,open,ESP,Richard Rippy,96 ford/mustang,52.770,(4),53.149,(6),53.476,(6),46.742, ,67.368,(20),46.742,9,38.515,14,927
1,open,BP,Keith Lensch,98 chevrolet/corvette,46.982, ,45.730, ,56.888,(4),52.163,(4),47.266, ,45.730,5,39.465,23,905
1,open,CP,Kenny Smith,68 Chevy/Camaro,52.678, ,56.859, ,50.076, ,49.813, ,49.266, ,49.266,26,42.073,36,849
