"Here are the results! We had 50 competitors for the Event, and 32 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,open,SS,Kim Kemper,03 Chev/Corvette,51.230,(2),46.505, ,46.084, ,48.001,(2),46.351, ,46.084,10,38.526,18,924
2,open,SS,Newton Johnson,04 Corvette/Z06,48.459, ,49.745,(2),46.595, ,46.704, ,47.680,(2),46.595,12,38.953,22,914
3,open,SS,Elvis Presley,05 Lotus/Elise,49.615,(2),46.671, ,46.845, ,46.627, ,49.279,(2),46.627,13,38.980,23,913
1,open,AS,Chris Lampe,05 Subaru/WRX STi,50.635, ,51.530,(2),48.669, ,49.509, ,47.263, ,47.263,18,39.134,24,909
1,open,BS,Rob Rockefeller,00 Honda/S2000,48.983, ,54.976, ,48.014, ,46.713, ,46.662, ,46.662,14,38.543,19,923
2,open,BS,Brian Malm,86 Porsche/928S,53.341,(4),52.033,(4),50.857,(2),53.104,(4),48.651, ,48.651,30,40.186,35,886
1,open,FS,Don Hyland,00 Chevrole/Camar Z/28,47.776, ,47.306, ,47.134, ,48.102,(2),45.822, ,45.822,9,36.795,7,967
2,open,FS,Roy Coombes,93 FORD/MUSTANG,48.270, ,48.719,(2),49.005,(2),47.789,(2),59.833,(8),47.789,24,38.375,16,927
1,open,GS,Chris Sparling,02 Saab/9-3,50.087, ,52.263,(2),48.137, ,49.685, ,49.004, ,48.137,26,37.595,9,947
1,open,HS,David Webb,01 Ford/Focus,47.174, ,46.555, ,46.467, ,46.706, ,46.755, ,46.467,11,36.058,3,987
1,open,ASP,Ted Lewis,65 Lotus/Elan,46.287,(4),48.524,(6),44.614,(2),43.900,(2),41.968, ,41.968,1,35.589,1,1000
1,open,DSP,Brian Peters,95 Acura/Integra GS-R,50.076,(6),44.037, ,45.249,(2),47.106,(4),45.212,(2),44.037,3,36.066,4,987
2,open,DSP,Ben Clement,95 Acura/Integra GSR,46.640, ,48.750,(4),45.475, ,44.179, ,44.075, ,44.075,4,36.097,5,986
1,open,BP,Keith Lensch,98 chevrolet/corvette,52.949,(6),47.963,(2),47.433,(2),48.344,(2),71.878,(20),47.433,19,40.935,39,869
1,open,CP,Kenny Smith,68 Chevy/Camaro,50.698, ,52.018,(2),50.279, ,49.149, ,66.620,(6),49.149,35,41.973,42,848
2,open,CP,Jesse Smith,68 Chevy/Camaro,60.014, ,52.019, ,51.136, ,49.943, ,49.436, ,49.436,38,42.218,43,843
1,open,EP,Robert Slocum,Mazda/RX7,53.510, ,53.086, ,53.083, ,52.133, ,52.057, ,52.057,45,44.821,50,794
1,open,FP,Enrique Aviles,82 Mazda/RX-7,51.230, ,49.813, ,49.252, ,49.289, ,65.642,(10),49.252,36,42.455,46,838
1,open,DM,David Lahey,94 Mazda/Miata,66.803,(20),46.421, ,56.931,(10),47.125,(2),45.012, ,45.012,6,39.881,32,892
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,50.395,(4),46.191, ,45.348, ,66.860,(20),48.209,(2),45.348,7,35.870,2,992
2,open,STS,David Rock,03 Toyota/Celica GTS,54.351, ,46.466, ,49.874,(4),50.978,(4),45.643, ,45.643,8,36.104,6,986
3,open,STS,Matt Durban,98 BMW/318ti,48.709, ,48.918,(2),52.762,(6),50.816,(2),47.625, ,47.625,23,37.671,10,945
4,open,STS,John Ellis,00 toyota/celica gts,49.832, ,51.832,(2),49.075, ,48.624, ,48.319, ,48.319,27,38.220,14,931
5,open,STS,Hisham Abukhzam,00 Toyota/Celica GT,58.008,(6),54.234, ,48.330, ,51.660,(2),49.345, ,48.330,28,38.229,15,931
6,open,STS,Rob Michaels,95 nissan/240sx,52.792, ,51.816, ,53.079,(2),52.257,(2),52.637,(2),51.816,44,40.986,40,868
1,open,STS2,Jimmy Cantano,94 Mazda/Miata,54.880, ,52.643, ,DNF, ,51.579, ,52.014, ,51.579,43,41.779,41,852
1,open,STX,Fernando Ma,02 Volkswagen/GTI,51.694,(2),49.390,(2),71.535,(20),49.502,(2),47.615, ,47.615,22,37.854,11,940
2,open,STX,Craig Meyer,01 Ford/Mustang GT,51.155, ,50.621, ,49.485, ,49.265, ,48.445, ,48.445,29,38.514,17,924
3,open,STX,Jeff Braciak,01 Pontiac/Firebird V6,52.988,(4),49.135, ,49.953, ,49.066, ,48.882, ,48.882,33,38.861,20,916
1,open,SM,John Raskob,90 Mitsubishi/Eclipse GSX,49.408, ,47.950, ,49.614,(2),48.403, ,48.979, ,47.950,25,40.182,34,886
1,open,SM2,Dave Skull,91 Toyota/MR2,46.854, ,46.323, ,45.466, ,44.870, ,47.270,(2),44.870,5,38.095,12,934
2,open,SM2,Harry Berzes,94 Mazda/Miata,49.077, ,48.351, ,49.163,(2),46.769, ,48.623,(2),46.769,15,39.707,27,896
3,open,SM2,Mark Eddy,7? Nissan/240Z,50.218, ,48.799, ,48.360, ,49.915,(2),46.930, ,46.930,16,39.844,30,893
1,open,FJ4,Jamie Baker,Kart,69.030,(20),47.609, ,49.659,(2),47.059, ,47.194, ,47.059,17,39.247,25,907
2,open,FJ4,Kayla Smith,Emick/Kart,61.363,(2),57.853, ,61.753,(4),56.253, ,50.663, ,50.663,41,42.253,44,842
1,ladies,ASP,Mindi Cross,65 Lotus/Elan,47.351,(2),44.624, ,43.904, ,44.579, ,44.187, ,43.904,2,37.231,8,956
