"Here are the results! We had 97 competitors for the Event, and 39 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,Tage Evanson,03 Chevy/Z06,DNF, ,70.829,(6),64.189, ,63.659, ,63.659,3,53.219,1,1000,,,,
2,open,SS,Steve Eymann,03 Chevrolet/Corvette Z06,89.833,(22),64.803, ,64.825, ,64.226, ,64.226,4,53.693,4,991,,,,
3,open,SS,Kim Kemper,03 Chev/Corvette,90.160,(20),67.646, ,66.661, ,65.332, ,65.332,6,54.618,8,974,,,,
4,open,SS,Joel Schotz,01 Chevrolet/ Corvette ZO6,DNF, ,70.874,(4),66.317, ,68.604,(2),66.317,8,55.441,12,960,,,,
5,open,SS,Newton Johnson,04 Corvette/Z06,71.526, ,72.800,(4),68.869, ,88.307,(20),68.869,20,57.574,27,924,,,,
6,open,SS,Elvis Presley,05 Lotus/Elise,117.708,(8),69.360, ,70.891,(2),70.206,(2),69.360,24,57.985,30,918,,,,
7,open,SS,Darrell Covert,03 Chevrolet/Corvette,96.974,(20),84.722, ,71.891, ,70.120, ,70.120,30,58.620,39,908,,,,
1,open,AS,Dave McCombs,04 honda/s2000,69.547,(2),87.040,(20),68.199,(2),66.386, ,66.386,10,54.968,9,968,,,,
2,open,AS,Steve Ryan,91 Chevrolet/Corvette,71.967,(2),70.223, ,71.765,(2),71.851,(2),70.223,31,58.145,33,915,,,,
3,open,AS,Chris Groppi,04 Subaru/WRX STi,77.852,(2),73.200, ,72.660, ,75.354,(2),72.660,53,60.162,53,885,,,,
1,open,BS,Rob Rockefeller,00 Honda/S2000,77.321,(4),77.075, ,81.557, ,71.807, ,71.807,47,59.313,47,897,,,,
1,open,CS,Ralph Prince,99 mazda/miata,87.506, ,98.233,(20),87.348,(4),81.689, ,81.689,88,66.250,83,803,,,,
1,open,DS,Brian Peters,03 Lexus/IS300,76.874,(8),70.441,(2),71.592,(4),68.667, ,68.667,19,54.522,7,976,,,,
1,open,ES,Richard Harris,86 Totota/MR2,73.558, ,73.508, ,73.641, ,DNS, ,73.508,58,59.100,43,900,,,,
2,open,ES,Ian Bennett,91 Mazda/RX-7,101.233,(20),98.986,(20),80.912, ,79.160, ,79.160,84,63.645,68,836,,,,
1,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,78.712,(2),72.408,(2),71.129, ,70.362, ,70.362,33,56.501,21,942,,,,
