"Here are the results! We had 74 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,Kim Kemper,03 Chev/Corvette,58.244, ,57.458, ,58.937,(2),56.565, ,56.565,6,47.288,7,963,,,,
2,open,SS,Jim Barks,3 Chevy/Corvette,60.820, ,61.767, ,60.706, ,60.384, ,60.384,25,50.481,34,902,,,,
3,open,SS,Elvis Presley,05 Lotus/Elise,64.173, ,62.141,(2),61.078, ,60.432, ,60.432,27,50.521,35,901,,,,
4,open,SS,Newton Johnson,04 Corvette/Z06,66.325,(6),61.292, ,62.766,(2),60.851, ,60.851,30,50.871,41,895,,,,
1,open,BS,Brian Malm,86 Porsche/928 S,66.064,(2),61.877, ,62.491, ,62.064, ,61.877,38,51.110,45,891,,,,
2,open,BS,Rob Rockefeller,00 Honda/S2000,62.879, ,62.261, ,67.890, ,62.854, ,62.261,41,51.428,47,885,,,,
1,open,CS,Ralph Prince,99 Mazda/Miata,70.542, ,66.161, ,88.220,(20),65.017, ,65.017,59,52.729,55,863,,,,
1,open,DS,Brian Peters,03 Lexus/IS300,58.318, ,58.797, ,57.783, ,57.344, ,57.344,12,45.531,1,1000,,,,
1,open,FS,Don Hyland,00 Chev./Camaro Z/28,62.272, ,61.026, ,62.930,(2),59.247, ,59.247,19,47.575,8,957,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,66.075,(4),60.952, ,64.823,(4),62.645,(2),60.952,32,47.604,9,956,,,,
1,open,HS,David Webb,01 Ford/Focus,62.878, ,62.269, ,62.330, ,62.327, ,62.269,42,48.321,12,942,,,,
2,open,HS,Tom Evans,79 Fiat/Spider,70.699, ,67.433, ,67.304, ,69.712,(2),67.304,70,52.228,52,872,,,,
1,open,ASP,Ted Lewis,65 Lotus/Elan,53.878, ,54.656, ,60.367,(2),54.002, ,53.878,1,45.689,4,997,,,,
2,open,ASP,Bob Francis,02 Chev/Corvette,DNF, ,67.109, ,63.203, ,65.861,(2),63.203,50,53.596,62,850,,,,
1,open,CSP,Mike Wilke,84 honda/civic,DNF, ,67.202, ,63.348, ,63.644, ,63.348,51,53.022,57,859,,,,
1,open,DSP,Ron Terrien,95 Honda/Prelude,61.492, ,62.645,(2),60.786, ,62.332,(2),60.786,29,49.784,24,915,,,,
2,open,DSP,Hisham Abukhzam,00 Toyota/Celica GT,64.431, ,64.412, ,69.646,(2),67.012,(2),64.412,55,52.753,56,863,,,,
1,open,ESP,Richard Rippy,98 Chevy/Camaro,56.917, ,56.603, ,55.289, ,56.126, ,55.289,3,45.558,2,999,,,,
2,open,ESP,Larry Petrucci,95 Pontiac/Firebird,64.536,(6),57.114, ,56.792, ,58.173,(2),56.792,8,46.797,6,973,,,,
3,open,ESP,Dennis Zygel,87 Toyota/Supra,71.813, ,71.506, ,66.380, ,69.363,(2),66.380,66,54.697,67,832,,,,
1,open,FSP,Fernando Ma,91 Volkswagen/GTI,68.154, ,66.283, ,67.129, ,67.863, ,66.283,64,53.888,64,845,,,,
1,open,AP,Stephen Peterson,01 Chevy/Corvette,94.773,(22),67.682, ,67.179, ,64.539, ,64.539,56,56.020,73,813,,,,
1,open,CP,Kenny Smith,68 Chev/Camaro,63.378, ,62.921, ,62.407, ,60.720, ,60.720,28,51.855,50,878,,,,
2,open,CP,Jesse Smith,68 Chev/Camaro,63.642, ,63.751, ,62.641, ,62.456, ,62.456,43,53.337,58,854,,,,
1,open,CM,Gene Sanders,72 Formula Ford/Caldwell,58.101, ,58.570, ,66.099,(2),57.008, ,57.008,9,52.048,51,875,,,,
2,open,CM,Alan Wagstaffe,82 Van Diemen/Formula Ford,92.209,(20),58.116, ,57.259, ,70.887, ,57.259,11,52.277,53,871,,,,
1,open,DM,Don Sattler,94 Mazda/Miata,58.895,(2),55.812, ,58.424,(2),56.201, ,55.812,4,49.449,20,921,,,,
2,open,DM,Joe Curry,63 Triumph/Spitfire,60.799, ,64.126, ,70.129,(4),56.741, ,56.741,7,50.273,30,906,,,,
3,open,DM,David Lahey,94 Mazda/Miata,57.675,(2),58.683, ,57.362, ,58.328,(2),57.362,13,50.823,39,896,,,,
1,open,EM,Greg Duncan,88 Pontiac/Cadero,57.281, ,55.744, ,55.039, ,62.336,(8),55.039,2,49.205,18,925,,,,
2,open,EM,Tom Hill,88 Pontiac/Cadero,57.100, ,56.136, ,56.315, ,56.102, ,56.102,5,50.155,28,908,,,,
1,open,STS,David Rock,03 Toyota/Celica GTS,57.627, ,58.933,(2),59.115,(2),57.685, ,57.627,15,45.583,3,999,,,,
2,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,80.775,(20),65.888,(2),60.881, ,61.146, ,60.881,31,48.157,11,945,,,,
3,open,STS,John Ellis,00 Toyota/Celica GTS,62.474, ,62.834, ,62.150, ,61.126, ,61.126,33,48.351,13,942,,,,
4,open,STS,Adam Moore,87 BMW/325is,61.897, ,73.464,(4),62.513, ,87.865,(26),61.897,39,48.961,17,930,,,,
5,open,STS,Dennis Lach,99 Subaru/Impreza 2.5 RS,66.655, ,66.059, ,66.142, ,63.925, ,63.925,53,50.565,37,900,,,,
1,open,STX,Mike Quigley,02 subaru/wrx,62.026,(2),58.764, ,61.326,(2),59.537,(2),58.764,17,46.717,5,975,,,,
2,open,STX,Jeff Braciak,02 VW/Golf GTI,65.693, ,65.300, ,63.559, ,62.680, ,62.680,44,49.831,26,914,,,,
3,open,STX,Jamal Brewer,04 Dodge/SRT-4,64.263, ,63.433, ,63.604, ,62.734, ,62.734,46,49.874,27,913,,,,
4,open,STX,Lee Mayer,95 VW/Jetta,65.326, ,64.288, ,67.290,(2),68.305,(4),64.288,54,51.109,44,891,,,,
