The Spring series for 2004 is a best 3 out of 4 event series.,,,,,,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL,,,,,
,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,
POS,CLS,NAME,JAN,FEB,MAR,APR,TOTAL,,,,,
1,SS,Kim Kemper,905,932,975, ,2812,,,,,
2,SS,Joel Schotz, ,921, , ,921,,,,,
3,SS,Bob Francis,873, , , ,873,,,,,
1,AS,Dayron Vargas, , , ,921,921,,,,,
2,AS,Paul Lialios,884, , , ,884,,,,,
3,AS,Dennis Walsh, , ,841, ,841,,,,,
1,BS,Brian Malm, , ,875,859,1734,,,,,
1,CS,Ralph Prince,840,846, , ,1686,,,,,
2,CS,Jason Trible, , ,873, ,873,,,,,
1,DS,Brian Peters, , ,994,965,1959,,,,,
2,DS,David Vasquez, , ,928, ,928,,,,,
3,DS,Travis Barnes, , ,864, ,864,,,,,
1,ES,Richard Harris,887, , , ,887,,,,,
2,ES,Bryan Sears, , , ,828,828,,,,,
3,ES,Michael Martinez, , ,802, ,802,,,,,
1,FS,Don Hyland,914,923,971,958,2852,,,,,
2,FS,Roy Coombes,895,946,943,925,2814,,,,,
3,FS,Jack Drummond, , ,937,914,1851,,,,,
4,FS,Barbara Leroy-Boehme, ,952, , ,952,,,,,
5,FS,Don Chantengco, ,845, , ,845,,,,,
1,GS,Chris Sparling, ,952,945,940,2837,,,,,
2,GS,Skip Campbell, ,900, , ,900,,,,,
1,HS,Rick Brown,729, ,792,787,2308,,,,,
2,HS,David Webb,931, , , ,931,,,,,
1,ASP,Ted Lewis,929, ,991, ,1920,,,,,
2,ASP,Keith Lensch,874, , , ,874,,,,,
3,ASP,Steven Dalbec,870, , , ,870,,,,,
4,ASP,Steve Burger, , , ,825,825,,,,,
5,ASP,Robert Slocum, ,812, , ,812,,,,,
6,ASP,Dave Koepp, , , ,795,795,,,,,
1,BSP,Newton Johnson,906,889, ,932,2727,,,,,
2,BSP,Jeff Bunims,843, , , ,843,,,,,
1,CSP,David Lahey, , , ,854,854,,,,,
1,DSP,Ron Terrien, , ,876,902,1778,,,,,
2,DSP,Ben Clement, , , ,924,924,,,,,
3,DSP,Ed Prather, , ,914, ,914,,,,,
4,DSP,Jon Scholtz, , ,820, ,820,,,,,
5,DSP,Matt Durban, , , ,804,804,,,,,
1,ESP,Larry Petrucci,918,969,924, ,2811,,,,,
2,ESP,Nic Foster, ,899,906, ,1805,,,,,
3,ESP,Joshua Sortor, ,1000, , ,1000,,,,,
4,ESP,Wiggy Greacen, ,994, , ,994,,,,,
5,ESP,Jerimiah Taylor, , , ,844,844,,,,,
6,ESP,Stephen Peterson, ,830, , ,830,,,,,
1,FSP,Chris Cathey,859,918, , ,1777,,,,,
2,FSP,Jim Harnish, , , ,1000,1000,,,,,
3,FSP,Nic Foster,866, , , ,866,,,,,
4,FSP,Jon Legrand, , ,838, ,838,,,,,
1,CP,Kenny Smith,806,847,915,872,2634,,,,,
2,CP,Jesse Smith,798,797,875,838,2511,,,,,
3,CP,Dave Mccombs, ,910, , ,910,,,,,
4,CP,Mike Beggy, , ,865, ,865,,,,,
5,CP,Bud Adelman, , ,860, ,860,,,,,
6,CP,Bob Walsh,844, , , ,844,,,,,
1,DP,Dane Campbell,832,871,859, ,2562,,,,,
1,EP,Enrique Aviles, , ,825, ,825,,,,,
1,FP,Enrique Aviles, ,860, , ,860,,,,,
1,AM,Ryan Kanto, , ,515, ,515,,,,,
1,BM,Ken Edney, , ,847,826,1673,,,,,
1,CM,Alan Wagstaffe, ,842,908, ,1750,,,,,
2,CM,Gene Sanders, , ,872, ,872,,,,,
1,DM,Joe Curry,898,943,922,894,2763,,,,,
2,DM,Rink Reinking,823,895, , ,1718,,,,,
3,DM,Kai Gerkey, ,896, , ,896,,,,,
4,DM,Ralph Prince, , , ,794,794,,,,,
5,DM,Jason Piper, , , ,736,736,,,,,
6,DM,Jennifer Prince, , , ,673,673,,,,,
1,EM,Greg Duncan,893, ,934,900,2727,,,,,
2,EM,Bill Schroeder,847, , ,866,1713,,,,,
3,EM,Mark Eddy, ,897, , ,897,,,,,
4,EM,Tom Hill, , , ,883,883,,,,,
1,FM,Terry Murray, ,837, , ,837,,,,,
1,STS,David Rock,969,984,967, ,2920,,,,,
2,STS,Jonathan Eddy,932,970,961,946,2877,,,,,
3,STS,Dennis Lach,905,921, ,844,2670,,,,,
4,STS,Peter Femia, , ,903,880,1783,,,,,
5,STS,Hunter McDonald, , ,883,877,1760,,,,,
6,STS,Chris Piper,904, , ,845,1749,,,,,
