"Here are the results! We had 24 competitors for the Event, and no time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Run 6 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,open,SS,David Rock,05 Lotus/Elise,DNS, ,DNS, ,DNS, ,DNS, ,112.995,(10),109.772,(4),109.772,19,91.879,21,845
1,open,AS,Steve Ryan,91 Chevrolet/Corvette,98.198, ,99.864,(2),98.116, ,97.770, ,97.825, ,100.692,(2),97.770,2,80.954,2,959
2,open,AS,Gene Sanders,89 Chevy/Corvette,DNF, ,108.271,(4),105.247, ,105.084, ,105.374, ,104.284, ,104.284,9,86.347,12,899
1,open,BSP,Keith Lensch,98 chevrolet/corvette,101.920,(2),98.985, ,101.487,(2),105.430,(6),106.384,(6),107.942,(8),98.985,3,83.048,6,935
2,open,BSP,Jamal Brewer,91 Nissan/300zx TT,104.917, ,125.334,(24),122.992,(22),104.684,(2),101.535, ,102.811, ,101.535,6,85.188,11,911
3,open,BSP,Gregory Brewer,90 Nissan/300ZX,111.693, ,108.857, ,129.376,(20),108.202, ,107.352,(2),107.923,(6),107.352,16,90.068,17,862
1,open,CSP,Steve Ashcraft,90 Mazda/Miata,103.090,(2),99.062, ,99.561,(2),99.558,(2),101.614,(4),DNF, ,99.062,4,83.014,5,935
1,open,DSP,Jeremy Hayes,95 Volkswagen/GTI,111.742, ,109.665, ,110.035, ,108.732, ,109.854,(2),108.487,(2),108.487,17,89.176,16,870
1,open,FSP,Stuart Anderson,98 FORD/COBRA,113.816, ,111.665, ,111.421,(2),113.761, ,113.702, ,DNS, ,111.421,23,90.362,18,859
1,open,CP,Kenny Smith,Chevy Camaro,114.865,(4),110.557,(2),109.821, ,DNS, ,DNS, ,DNS, ,109.821,20,93.897,23,827
2,open,CP,Jesse Smith,Chevy Camaro,118.216,(4),113.556, ,126.980,(2),111.353, ,158.579,(4),116.818,(2),111.353,22,95.207,24,815
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,105.183,(2),103.075, ,103.737, ,105.551,(2),104.146,(2),104.876,(2),103.075,7,82.357,3,943
2,open,STS,Matt Durban,98 BMW/318ti,126.104,(22),109.144,(6),110.690,(4),104.423, ,104.470, ,103.677, ,103.677,8,82.838,4,937
3,open,STS,David Rock,00 Subaru/RS,107.864, ,105.263, ,104.782, ,108.267,(2),DNS, ,DNS, ,104.782,10,83.721,8,927
