"Here are the results! We had 61 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,,,
1,open,SS,Newton Johnson,04 Corvette/Z06,69.134,(2),68.835,(2),65.996, ,65.996,3,55.239,3,943,,,,,,
1,open,AS,Rob Rockefeller,00 Honda/S2000,70.137,(2),76.054,(8),67.423, ,67.423,4,55.826,10,933,,,,,,
2,open,AS,Scott Krogh,03 Mitsubishi/Lancer Evolution,73.965,(2),72.663,(2),71.192, ,71.192,25,58.947,31,884,,,,,,
1,open,BS,Greg Mondeau,89 BMW/M Coupe,81.241,(4),78.919,(2),77.153, ,77.153,57,63.343,51,823,,,,,,
1,open,CS,Ralph Prince,99 MADZA/MIATA,83.888,(4),76.064,(2),80.092,(6),76.064,51,61.612,41,846,,,,,,
1,open,DS,Ron Terrien,03 BMW/330i,73.136, ,71.403, ,74.043,(2),71.403,29,56.837,15,917,,,,,,
2,open,DS,David Vasquez,03 BMW/330i,81.173,(6),71.968, ,74.963,(4),71.968,33,57.287,19,910,,,,,,
1,open,FS,Don Hyland,00 Chev./Z/28 Camaro,70.793, ,71.821,(2),69.457, ,69.457,12,55.913,11,932,,,,,,
2,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,70.122, ,70.718, ,70.191, ,70.122,17,56.448,14,923,,,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,72.613, ,70.731, ,70.888, ,70.731,22,55.312,5,942,,,,,,
1,open,HS,David Webb,01 Ford/Focus,74.284,(4),71.328,(2),80.631,(12),71.328,28,55.422,6,940,,,,,,
1,open,BSP,Gregory Brewer,90 Nissan/300ZX,77.697,(2),94.300,(22),71.160, ,71.160,24,59.703,35,873,,,,,,
1,open,CSP,Steve Ashcraft,90 Mazda/Miata,70.324,(2),75.070,(6),81.679,(6),70.324,19,58.932,30,884,,,,,,
1,open,FSP,Fernando Ma,91 Volkswagen/GTI,79.751,(2),78.812,(2),76.335, ,76.335,54,61.908,45,842,,,,,,
1,open,BP,Keith Lensch,98 chevrolet/corvette,68.211, ,81.380,(8),67.849, ,67.849,7,58.418,27,892,,,,,,
2,open,BP,Stuart Anderson,04 Porsche/Boxster,80.288, ,77.114, ,75.552, ,75.552,49,65.050,58,801,,,,,,
1,open,CP,Jesse Smith,Chevy Camaro,76.000, ,74.482, ,76.068, ,74.482,42,63.682,52,818,,,,,,
2,open,CP,Kenny Smith,Chevy Camaro,74.790, ,77.616,(4),77.520,(6),74.790,44,63.945,53,815,,,,,,
1,open,EP,Carlos Murphy,88 Honda/CRX,93.394,(4),78.331,(2),75.045, ,75.045,46,64.389,56,809,,,,,,
1,open,FP,Enrique Aviles,82 Mazda/RX-7,73.902, ,74.969, ,71.800, ,71.800,31,61.892,44,842,,,,,,
1,open,EM,Brian Malm,90 Corvarri/Kit,75.788,(2),75.121,(2),84.962,(6),75.121,47,66.557,60,783,,,,,,
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,69.153, ,69.488, ,69.222, ,69.153,11,55.253,4,943,,,,,,
2,open,STS,Matt Durban,98 BMW/318ti,72.247, ,73.936,(4),69.564, ,69.564,13,55.582,8,937,,,,,,
3,open,STS,John Ellis,00 Toyota/Celica GTS,73.646, ,72.321, ,71.922, ,71.922,32,57.466,20,907,,,,,,
4,open,STS,Jeff Williams,02 Honda/Civic,73.362, ,74.223,(4),74.767,(4),73.362,36,58.616,28,889,,,,,,
