"Here are the results! We had 68 competitors for the Event, and 35 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,open,SS,Joel Schotz,01 Chevrolet Corvette/Z06,32.684,(2),31.201,(2),28.834, ,32.939,(4),33.379,(4),28.834,2,24.134,2,985,,
2,open,SS,Dave Mccombs,1 chevy/z06,29.766, ,31.471,(2),29.032, ,29.022, ,DNS, ,29.022,3,24.291,5,979,,
3,open,SS,David Rock,01 Corvette/Z06,29.807, ,29.850, ,29.531, ,29.444, ,29.235, ,29.235,5,24.470,6,972,,
4,open,SS,Newton Johnson,04 Corvette/Z06,32.751, ,31.078, ,32.205,(2),30.859, ,29.596, ,29.596,8,24.772,9,960,,
5,open,SS,Don Hyland,05 Lotus/Elise,30.976, ,30.365, ,38.953, ,30.644, ,30.051, ,30.051,12,25.153,14,945,,
6,open,SS,Elvis Presley,05 Lotus/Elise,31.602, ,30.683, ,30.493, ,30.220, ,31.970,(2),30.220,13,25.294,16,940,,
7,open,SS,Kim Kemper,03 Chev/Corvette,31.526, ,30.353, ,32.842,(2),31.186, ,30.997, ,30.353,14,25.405,18,936,,
1,open,AS,Rob Rockefeller,00 Honda/S2000,51.904,(22),35.194,(4),34.390,(4),29.959, ,40.830,(10),29.959,11,24.806,10,959,,
2,open,AS,John Sawyer,00 Honda/S2000,35.787, ,33.783, ,32.502, ,39.519,(6),37.056,(4),32.502,32,26.912,33,884,,
3,open,AS,Alan Wagstaffe,89 Chevrolet/Corvette Z51,38.448, ,54.491,(20),35.967, ,33.755, ,32.651, ,32.651,34,27.035,36,880,,
4,open,AS,Mike Selland,01 Honda/S2000,38.619,(2),37.995,(4),36.032,(2),42.268, ,42.660, ,36.032,63,29.834,62,797,,
1,open,BS,Brian Malm,86 Porsche/928S,53.661,(20),35.679,(2),35.974,(2),33.433, ,35.488,(2),33.433,43,27.448,42,866,,
1,open,DS,David Vasquez,03 BMW/330i,32.452, ,33.928,(2),32.084, ,31.569, ,33.590,(2),31.569,21,25.129,13,946,,
2,open,DS,Ron Terrien,03 BMW/330i,33.804, ,34.536, ,33.681, ,56.949,(20),33.710, ,33.681,46,26.810,32,887,,
1,open,GS,Chris Sparling,02 Saab/9-3,33.474, ,33.765, ,32.189, ,33.183, ,34.765,(2),32.189,27,25.172,15,945,,
2,open,GS,Ben Clement,01 Nissan/Sentra,35.330, ,34.113, ,33.887, ,33.016, ,33.037, ,33.016,37,25.819,21,921,,
3,open,GS,Brad Owen,01 Nissan/Sentra,34.876,(2),35.372,(2),33.299, ,33.062, ,36.407,(4),33.062,38,25.854,23,920,,
1,open,HS,David Webb,01 Ford/Focus,33.793,(2),31.781, ,31.808, ,33.366,(2),31.875, ,31.781,23,24.694,8,963,,
1,open,ASP,Mark Huffman,66 Lotus/Elan,30.671,(2),32.023,(4),30.158,(2),28.029, ,27.974, ,27.974,1,23.778,1,1000,,
2,open,ASP,Ted Lewis,65 lotus/elan,35.775, ,29.357, ,29.191, ,44.282,(4),33.542,(4),29.191,4,24.812,11,958,,
3,open,ASP,Gregory Brewer,90 Nissan/300ZX TT,DNF, ,DNF, ,36.542, ,35.139, ,34.472, ,34.472,51,29.301,59,812,,
1,open,BSP,Robert Butcher,98 Chevy/Camaro Z28,57.275,(20),54.196,(20),53.504,(20),35.962, ,35.876, ,35.876,62,30.100,63,790,,
1,open,DSP,Jeremy Hayes,95 Volkswagen/Golf,35.958, ,35.601, ,35.225, ,34.205, ,33.394, ,33.394,42,27.450,43,866,,
1,open,ESP,Chris Carroll,68 FORD/MUSTANG,36.469, ,35.180, ,36.165, ,34.583, ,37.344, ,34.583,52,28.566,56,832,,
1,open,FSP,Jim Harnish,95 Honda/Civic,50.246,(20),30.355, ,30.144, ,35.398,(2),29.877, ,29.877,9,24.230,4,981,,
2,open,FSP,William Skiles,73 MG,57.196,(20),37.503, ,36.172, ,34.663, ,35.843, ,34.663,53,28.112,51,846,,
1,open,BP,Keith Lensch,98 chevy/corvette,33.799, ,32.049, ,33.071, ,31.867, ,31.974, ,31.867,24,27.437,41,867,,
1,open,CP,Bob Helmig,68 camaro/rs/ss,41.621,(4),35.666, ,36.333,(2),39.679,(6),36.516,(2),35.666,61,30.494,66,780,,
