"Here are the results! We had 47 competitors for the Event, and 44 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,David Rock,01 Chevrolet/Corvette Z06,53.289,(2),45.597, ,44.618, ,44.465, ,44.465,4,37.217,6,972,,,,
2,open,SS,Don Hyland,5 Lotus/Elise,66.679,(20),56.306, ,46.002, ,45.566, ,45.566,9,38.139,12,949,,,,
3,open,SS,Elvis Presley,05 Lotus/Elise,46.986, ,47.536, ,46.223, ,45.577, ,45.577,10,38.148,13,948,,,,
1,open,AS,Dave Mccombs,4 honda/s2000,45.904, ,44.687, ,44.000, ,45.612,(2),44.000,1,36.432,2,993,,,,
2,open,AS,Joel Schotz,04 HONDA/S2000,46.395, ,DNF, ,44.083, ,46.095,(2),44.083,2,36.501,3,991,,,,
3,open,AS,Rob Rockefeller,00 Honda/S2000,53.989,(6),47.109, ,48.294,(2),51.147,(4),47.109,13,39.006,17,927,,,,
1,open,BS,Brian Malm,86 Porsche/928S,50.967, ,72.810,(22),52.138, ,52.521,(2),50.967,30,41.844,32,865,,,,
1,open,DS,Ron Terrien,03 BMW/330i,48.178, ,47.322, ,49.436,(2),46.602, ,46.602,11,37.095,4,975,,,,
1,open,FS,Roy Coombes,93 Ford/Mustang Cobra,52.205, ,51.257, ,50.742, ,49.576, ,49.576,23,39.909,24,906,,,,
1,open,GS,Chris Sparling,95 Saab/900SE,52.028, ,49.296, ,48.960, ,49.072, ,48.960,20,38.287,14,945,,,,
1,open,CSP,David Lahey,91 Mazda/Miata,DNF, ,45.647, ,45.622, ,44.954, ,44.954,6,37.671,7,960,,,,
1,open,CP,Kenny Smith,Chevy Camaro,60.297, ,52.349, ,50.489, ,49.688, ,49.688,25,42.483,34,852,,,,
2,open,CP,Jesse Smith,Chevy Camaro,52.797, ,58.016,(4),52.523, ,52.690, ,52.523,37,44.907,42,806,,,,
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,58.992,(2),47.342, ,51.985,(2),47.933, ,47.342,14,37.826,9,956,,,,
2,open,STS,Clint Child,02 Ford/Focus,52.385,(4),50.736,(2),47.654, ,47.449, ,47.449,15,37.912,10,954,,,,
3,open,STS,David Webb,02 Ford/Focus,50.397, ,48.873, ,49.176, ,50.054, ,48.873,19,39.050,18,926,,,,
4,open,STS,John Ellis,00 toyota/celica gts,49.830, ,49.652, ,49.068, ,49.310, ,49.068,21,39.205,19,923,,,,
5,open,STS,Matt Durban,98 BMW/318ti,51.463, ,50.079, ,50.186, ,49.596, ,49.596,24,39.627,21,913,,,,
1,open,STS2,Bob Francis,94 Mazda/Miata,56.283, ,75.220,(20),53.925, ,72.589,(20),53.925,43,43.302,37,835,,,,
1,open,STU,Jamal Brewer,04 Dodge/SRT4,53.723,(2),53.405,(2),51.706,(2),49.715, ,49.715,27,40.667,28,890,,,,
1,open,STX,Mike Quigley,02 subaru/wrx,47.329, ,47.307, ,48.045,(2),45.106, ,45.106,7,36.175,1,1000,,,,
2,open,STX,Gary Ray,88 BMW/M3,49.491, ,48.622, ,47.461, ,48.269, ,47.461,16,38.064,11,950,,,,
1,open,SM2,Keith Lensch,06 chevrolet/corvette,45.889, ,45.335, ,44.269, ,47.637,(2),44.269,3,37.717,8,959,,,,
2,open,SM2,Mark Eddy,71 datsun/240z,47.625, ,46.277, ,45.499, ,46.764,(2),45.499,8,38.765,16,933,,,,
3,open,SM2,Greg Mondeau,00 BMW/M coupe,52.513, ,54.236, ,53.801, ,52.273, ,52.273,35,44.537,41,812,,,,
4,open,SM2,Jeff Braciak,06 Pontiac/PT Cruiser,53.179, ,54.274, ,53.919, ,54.295, ,53.179,39,45.309,43,798,,,,
5,open,SM2,Fernando Ma,06 Pontiac/PT Cruiser,78.308,(20),58.257, ,56.103, ,53.469, ,53.469,40,45.556,44,794,,,,
1,open,FJ4,Jamie Baker,Emmick/Kart,51.336, ,48.647, ,48.327, ,48.553, ,48.327,18,40.208,25,900,,,,
2,open,FJ4,Kayla Smith,Emmick/Kart,54.760, ,52.125, ,52.890, ,53.830, ,52.125,34,43.368,38,834,,,,
1,ladies,GS,Kim Sparling,95 Saab/900SE,54.111, ,52.137, ,50.999, ,51.704,(2),50.999,31,39.881,23,907,,,,
2,ladies,CP,Ronda Smith,Chevy Camaro,57.788, ,61.780, ,53.586, ,55.464, ,53.586,41,45.816,45,790,,,,
1,novice,STU,Michael Oswald,05 Subaru/WRX STi,50.337,(2),48.048, ,48.333, ,46.865, ,46.865,12,38.336,15,944,,,,
2,novice,DS,Jon Matthias,95 Mitsubishi/Eclipse,52.508, ,51.663, ,51.172, ,49.748, ,49.748,28,39.599,20,914,,,,
3,novice,GS,Manfred Reysser,01 Toyota/Celica GT,54.495,(2),61.451,(4),52.817, ,54.439,(2),52.817,38,41.303,29,876,,,,
4,novice,ES,Mike Woodard,95 Mazda/Miata,51.871, ,51.858, ,53.341, ,53.332, ,51.858,33,41.746,31,867,,,,
5,novice,STS,Derek Low,02 Acura/RSX-S,56.447, ,52.405, ,54.538,(2),54.050,(2),52.405,36,41.872,33,864,,,,
6,novice,SM2,Jeremy Stein,71 datsun/240z,51.744, ,51.618, ,50.981, ,50.494, ,50.494,29,43.021,35,841,,,,
