The Fall series for 2005 is a best 3 out of 5 event series (Note the two NOV columns).,,,,,,,,,,,,
,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV ,NOV ,DEC ,TOTAL,,,,
1,SS,David Rock,1000,1000,1000,1000,972,3000,,,,
2,SS,Don Hyland,933,979,946,958,949,2886,,,,
3,SS,Newton Johnson, ,998,940,946, ,2884,,,,
4,SS,Elvis Presley,920,938,931,946,948,2832,,,,
5,SS,Todd Lydic, , ,915,931, ,1846,,,,
6,SS,Kim Kemper, ,980, , , ,980,,,,
7,SS,Joel Schotz,955, , , , ,955,,,,
8,SS,Art Ehman,890, , , , ,890,,,,
1,AS,Dave Mccombs, ,970, ,999,993,2962,,,,
2,AS,Joel Schotz, ,980, ,983,991,2954,,,,
3,AS,Rob Rockefeller,978,941,951,953,927,2882,,,,
4,AS,Gene Sanders, ,973, ,951, ,1924,,,,
5,AS,Mike Selland, , ,924,981, ,1905,,,,
6,AS,Wesley Green, ,881, , , ,881,,,,
1,BS,Ed Prather, , ,940, , ,940,,,,
2,BS,Brian Malm, , , , ,865,865,,,,
1,CS,Brad Owen, , ,933,951, ,1884,,,,
1,DS,David Vasquez,955,946,954,898, ,2855,,,,
2,DS,Ron Terrien, , , ,992,975,1967,,,,
3,DS,Doug Rowse, ,984, , , ,984,,,,
4,DS,Ben Clement, ,941, , , ,941,,,,
5,DS,Bryan Kuhn,878, , , , ,878,,,,
6,DS,Christopher Beaver, , , ,784, ,784,,,,
1,ES,Mark Johnson, ,951, ,952, ,1903,,,,
1,FS,Roy Coombes,922,925, , ,906,2753,,,,
2,FS,Keith Beaver, , , ,703, ,703,,,,
1,GS,Chris Sparling,934, ,942,958,945,2845,,,,
1,HS,David Webb, ,954, , , ,954,,,,
2,HS,Carlos Murphy, ,867, , , ,867,,,,
1,ASP,Ted Lewis, ,975, ,963, ,1938,,,,
1,BSP,Bob Walsh, ,910, , , ,910,,,,
1,CSP,David Lahey, , ,955,969,960,2884,,,,
2,CSP,Brian Peters, , ,995,999, ,1994,,,,
3,CSP,Don Sattler, , ,968,978, ,1946,,,,
4,CSP,Joel Rhode, , ,819,760, ,1579,,,,
5,CSP,Collin Mechler, , ,746, , ,746,,,,
1,DSP,Clint Child, ,992, , , ,992,,,,
2,DSP,Jeremy Hayes, , ,868, , ,868,,,,
1,ESP,Rob Love, ,970, ,958, ,1928,,,,
2,ESP,Larry Petrucci, , , ,964, ,964,,,,
3,ESP,Bob Butcher, ,849, , , ,849,,,,
1,FSP,David Thomas, , ,775,772, ,1547,,,,
2,FSP,Robert Slocum, , ,45,895, ,940,,,,
3,FSP,Roger Velasco, , , ,875, ,875,,,,
4,FSP,Fernando Ma,830, , , , ,830,,,,
5,FSP,Justin Souza, , ,504, , ,504,,,,
1,AP,Dave Koepp, ,896, , , ,896,,,,
1,CP,Kenny Smith, ,901,875,886,852,2662,,,,
2,CP,Jesse Smith, ,863,844,867,806,2574,,,,
1,FP,Mike Nieto,867,879,886,881, ,2646,,,,
2,FP,Enrique Aviles, , ,878, , ,878,,,,
1,AM,Robert Slocum, ,693, , , ,693,,,,
1,CM,Alan Wagstaffe, , , ,910, ,910,,,,
