"Here are the results! We had 54 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,open,SS,Newton Johnson,04 Corvette/Z06,56.741, ,55.860, ,55.130, ,55.640, ,55.130,6,46.144,10,951,,
2,open,SS,Kim Kemper,03 Chev/Corvette,58.613, ,56.840, ,60.073,(4),55.642, ,55.642,9,46.572,14,942,,
1,open,AS,Rob Rockefeller,00 Honda/S2000,59.191,(2),57.886,(2),55.481, ,56.024, ,55.481,8,45.938,6,955,,
1,open,BS,Brian Malm,86 Porsche/928 S,64.279,(2),63.050,(4),59.984, ,60.337,(2),59.984,30,49.247,30,891,,
1,open,DS,Doug Rowse,03 BMW/330i,58.457,(2),55.116, ,57.178,(2),DNF, ,55.116,5,43.872,1,1000,,
2,open,DS,David Vasquez,03 BMW/330i,60.992, ,59.031, ,59.497,(2),57.081, ,57.081,14,45.436,5,966,,
3,open,DS,Mike Rogers,94 BMW/325is,68.619, ,59.619, ,58.295, ,57.841, ,57.841,20,46.041,9,953,,
1,open,ES,Tony Edward,83 Mazda/RX-7,DNF, ,72.179,(2),66.706, ,68.172,(2),66.706,49,53.698,45,817,,
2,open,ES,Anita Sappingfield,83 Mazda/RX-7,DNF, ,76.707, ,72.060, ,72.077, ,72.060,53,58.008,52,756,,
1,open,FS,Don Hyland,00 Chev/Camaro Z28,61.360,(2),59.087, ,58.579, ,58.092, ,58.092,21,46.764,15,938,,
2,open,FS,Dennis Zygel,87 toyota/supra,67.393,(2),65.464, ,65.257,(2),62.514,(2),62.514,39,50.324,32,872,,
1,open,GS,Chris Sparling,02 Saab/9-3,70.775, ,61.487,(4),57.145, ,60.787,(2),57.145,15,44.687,2,982,,
2,open,GS,Gregory Brewer,91 BMW/318is,69.954, ,69.627, ,67.138, ,87.153,(20),67.138,50,52.502,41,836,,
1,open,CSP,Steve Ashcraft,90 mazda/miata,56.724,(2),53.839, ,53.766, ,56.227,(2),53.766,2,45.056,4,974,,
2,open,CSP,Bob Francis,94 mazda/miata,DNF, ,81.136,(22),61.919, ,DNS, ,61.919,37,51.888,38,846,,
1,open,ESP,Stuart Anderson,98 FORD/COBRA,70.748, ,69.465, ,66.635, ,65.832, ,65.832,48,54.377,46,807,,
1,open,FSP,Fernando Ma,91 Volkswagen/GTI,64.777,(2),61.534, ,61.636, ,70.383,(4),61.534,35,49.904,31,879,,
