"Here are the results! We had 54 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,Newton Johnson,04 Corvette/Z06,55.364,(2),53.297, ,52.733, ,51.897, ,51.897,4,43.438,4,955,,,,
2,open,SS,Elvis Presley,05 Lotus/Elise,55.894, ,55.796,(2),56.826,(2),53.558, ,53.558,6,44.828,9,926,,,,
3,open,SS,Kim Kemper,03 Chev/Corvette,55.424, ,53.876, ,60.929, ,53.971, ,53.876,7,45.094,12,920,,,,
1,open,AS,Dave Mccombs,4 HONDA/S2000,54.208,(2),50.882, ,50.211, ,50.126, ,50.126,1,41.504,1,1000,,,,
2,open,AS,Joel Schotz,04 Honda/S2000,52.571, ,52.987, ,60.396,(8),51.224, ,51.224,2,42.413,2,979,,,,
3,open,AS,Rob Rockefeller,00 Honda/S2000,56.986,(4),51.824, ,57.244, ,55.067,(4),51.824,3,42.910,3,967,,,,
4,open,AS,Gene Sanders,89 Chevy/Corvette,54.996, ,54.496, ,53.999, ,54.107,(2),53.999,9,44.711,8,928,,,,
1,open,BS,Greg Mondeau,00 BMW/M coupe,61.771, ,58.864, ,61.570,(2),69.395, ,58.864,28,48.327,29,859,,,,
1,open,DS,Ron Terrien,03 BMW/330i,59.171, ,57.382, ,63.643,(6),61.603,(4),57.382,17,45.676,13,909,,,,
1,open,FS,Don Hyland,00 Chev./Camaro Z/28,54.692, ,55.247, ,54.003, ,53.970, ,53.970,8,43.446,5,955,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,59.726,(2),56.927, ,59.278,(2),81.629,(26),56.927,13,44.517,6,932,,,,
1,open,HS,Carlos Murphy,88 honda/crx hf,68.418, ,70.563,(4),70.868,(4),65.676, ,65.676,52,51.030,43,813,,,,
2,open,HS,Samuel Rolfe,88 Honda/CRX,72.011, ,66.402, ,66.827, ,67.890,(2),66.402,53,51.594,48,804,,,,
1,open,ASP,Gregory Brewer,90 Nissan/300ZX TT,DNF, ,82.413,(20),73.416, ,65.539, ,65.539,51,55.708,54,745,,,,
1,open,CSP,Steve Ashcraft,85 Toyota/MR2,60.505, ,57.687, ,60.301,(4),57.056, ,57.056,14,47.813,25,868,,,,
1,open,DSP,Michael Sanchez,86 Toyota/Corolla,DNF, ,DNF, ,59.675,(2),58.292, ,58.292,24,47.916,27,866,,,,
2,open,DSP,Jimmy Cantano,86 Toyota/Corolla,64.331, ,61.037, ,60.585, ,59.290, ,59.290,32,48.736,31,852,,,,
1,open,FSP,Fernando Ma,91 Volkswagen/GTI,90.750,(20),63.370, ,62.460, ,61.361, ,61.361,41,49.764,38,834,,,,
1,open,CP,Kenny Smith,Chevy Camaro,60.324, ,60.694,(2),74.124,(2),77.406,(4),60.324,34,51.577,47,805,,,,
2,open,CP,Jesse Smith,Chevy Camaro,69.676,(4),65.393,(2),63.421, ,77.987,(2),63.421,45,54.225,52,765,,,,
1,open,FP,Enrique Aviles,82 Mazda/RX-7,61.749,(2),57.465, ,86.595,(20),58.952,(2),57.465,18,49.535,37,838,,,,
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,69.739,(8),63.187,(4),57.482, ,57.345, ,57.345,16,45.819,14,906,,,,
2,open,STS,Dennis Lach,99 subaru/impreza,67.050, ,63.275, ,63.258, ,61.576, ,61.576,43,49.199,35,844,,,,
1,open,STU,Chris Lampe,05 Subaru/Impreza WRX STi,62.502, ,59.881,(2),58.051, ,57.734, ,57.734,22,47.226,21,879,,,,
2,open,STU,Chris Groppi,04 Subaru/WRX STi,61.532, ,60.476, ,59.732, ,58.535, ,58.535,25,47.882,26,867,,,,
3,open,STU,Jack Drummond,4 Dodge/SRT-4,79.263, ,61.168, ,60.341, ,60.742, ,60.341,35,49.359,36,841,,,,
4,open,STU,Jamal Brewer,04 Dodge/SRT-4,69.493,(4),63.476, ,63.465, ,61.544, ,61.544,42,50.343,41,824,,,,
1,open,STX,Mike Quigley,02 subaru/wrx,61.479, ,59.541,(2),65.222,(6),57.141, ,57.141,15,45.827,15,906,,,,
2,open,STX,Gary Ray,88 BMW/M3,61.161,(2),66.177,(8),60.144, ,57.878, ,57.878,23,46.418,17,894,,,,
3,open,STX,Kevin Cote,04 Infiniti/G35c,60.682, ,58.695, ,58.753, ,58.791,(2),58.695,26,47.073,20,882,,,,
4,open,STX,Jeff Braciak,01 Pontiac/Firebird V6,74.627,(10),66.378,(2),61.319, ,65.110,(4),61.319,40,49.178,33,844,,,,
1,open,SM,Lee Mayer,95 VW/jetta,62.263, ,60.284, ,59.806, ,60.054, ,59.806,33,50.357,42,824,,,,
