"Here are the results! We had 44 competitors for the Event, and 22 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,open,SS,Kim Kemper,03 Chev/Corvette,57.177, ,61.152,(4),56.971, ,56.900, ,56.448, ,56.448,6,47.247,10,952
2,open,SS,Newton Johnson,04 Corvette/Z06,60.264, ,62.096,(2),58.937, ,57.692, ,57.634, ,57.634,11,48.240,17,933
1,open,AS,Rob Rockefeller,00 Honda/S2000,60.440,(4),56.238, ,66.048,(8),59.783,(4),58.628,(2),56.238,4,46.565,5,966
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,64.180,(4),60.922,(2),59.100, ,57.874, ,57.489, ,57.489,10,46.279,3,972
2,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,58.263, ,63.027,(6),58.733,(2),63.891,(6),62.051,(4),58.263,14,46.902,7,959
3,open,FS,Chris Addison,05 ford/Mustang Mach 1,60.703, ,61.568,(2),92.514,(30),58.941, ,60.702,(2),58.941,18,47.448,13,948
1,open,GS,Chris Sparling,02 Saab/9-3,66.523,(2),61.068, ,59.902, ,61.297, ,59.964, ,59.902,23,46.843,6,960
1,open,ASP,Stephen Peterson,1 Chev/Vette,90.485,(20),65.498, ,92.119,(20),61.347, ,61.101, ,61.101,29,51.936,35,866
1,open,CSP,Bob Francis,94 Mazda/Miata,90.052,(20),67.927,(2),66.485, ,68.499,(4),67.470,(4),66.485,42,55.714,42,808
1,open,ESP,Rob Love,04 Mitsubishi/EVO,60.483,(2),59.094, ,62.145, ,59.729,(2),57.251, ,57.251,9,47.289,11,951
1,open,AP,Dave Koepp,65 Cobra,65.197, ,70.577,(6),62.990, ,62.238, ,61.279, ,61.279,30,53.006,39,849
1,open,BP,Keith Lensch,98 chevrolet/corvette,89.000,(20),59.579, ,59.033, ,58.067, ,57.770, ,57.770,12,49.740,22,905
2,open,BP,Keith Lensch,98 chevrolet/corvette,62.002, ,79.447,(22),58.733, ,58.762, ,58.699, ,58.699,15,50.540,25,890
1,open,CP,Kenny Smith,Chevy Camaro,61.922, ,68.525,(8),60.968, ,61.030, ,59.462, ,59.462,22,50.840,28,885
2,open,CP,Jesse Smith,Chevy Camaro,67.510, ,66.857, ,68.789,(2),63.811, ,71.306, ,63.811,36,54.558,41,825
1,open,EM,Greg Duncan,84 Pontiac/Fiero,53.559, ,53.849, ,52.649, ,52.490, ,56.114,(4),52.490,1,46.506,4,967
2,open,EM,Dave Skull,84 Pontiac/Fiero,57.681, ,55.908, ,63.177,(2),56.410, ,55.511, ,55.511,3,49.183,20,915
3,open,EM,Brian Berlemann,75 DATSUN/260Z,66.389,(2),59.378, ,58.860, ,63.467,(4),59.834, ,58.860,17,52.150,37,863
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,57.981, ,81.440,(24),56.892, ,56.621, ,56.311, ,56.311,5,44.992,1,1000
2,open,STS,Rob Michaels,95 nissan/240sx,DNF, ,66.736,(4),63.265,(2),90.877,(22),65.394,(4),63.265,35,50.549,26,890
1,open,STS2,David Rock,79 Mazda/RX-7,64.599, ,63.377, ,DNF, ,62.920, ,84.408,(20),62.920,34,50.525,24,890
1,open,STU,Chris Groppi,04 Subaru/WRX STi,82.925,(20),60.694, ,59.560, ,57.885, ,61.147,(2),57.885,13,47.350,12,950
2,open,STU,Jack Drummond,4 Dodge/SRT 4,97.773,(20),62.910, ,62.860, ,60.986, ,59.958, ,59.958,24,49.046,18,917
1,open,STX,Mike Quigley,02 subaru/wrx,60.580, ,62.429,(4),57.613, ,61.599,(4),57.203, ,57.203,7,45.877,2,981
2,open,STX,Adam Moore,87 BMW/325is,62.272,(2),63.380,(4),86.896,(26),59.403, ,59.217, ,59.217,21,47.492,14,947
3,open,STX,Jeff Braciak,01 Pontiac/Firebird V6,61.281, ,61.472, ,81.957,(20),61.934, ,60.018, ,60.018,25,48.134,16,935
1,open,SM,Lee Mayer,95 VW/jetta,84.542,(20),63.493, ,60.519, ,65.584,(4),63.452,(2),60.519,26,50.957,29,883
2,open,SM,John Raskob,90 mitsubishi/eclipse gsx,62.159, ,89.186,(8),60.867, ,61.267, ,63.673,(2),60.867,27,51.250,31,878
1,open,SM2,Dan MacKean,71 datsun/240z,77.604,(22),58.996,(4),59.606,(4),59.273,(2),55.230, ,55.230,2,47.056,9,956
1,open,FJ4,Kayla Smith,Emick Kart,60.924, ,64.941,(4),60.919, ,60.158, ,59.195, ,59.195,20,49.250,21,914
1,ladies,EM,Debbie Donaldson,74 DATSUN/260Z,73.440, ,62.224, ,63.022,(2),60.142, ,58.740, ,58.740,16,52.044,36,864
1,novice,STS,Shea Burns,00 Subaru/Impreza 2.5RS,82.340,(20),84.862,(24),65.685,(2),61.436, ,62.987,(2),61.436,31,49.087,19,917
2,novice,STU,Morgan Sowerby,05 Mitsubishi/Evolution,DNF, ,63.318, ,62.376, ,62.734, ,61.959, ,61.959,32,50.682,27,888
3,novice,BSP,Ken Voell,72 Datsun/240z,67.190,(4),63.170, ,62.244, ,60.993, ,63.113,(2),60.993,28,51.173,30,879
4,novice,GS,James Carter,02 Subaru/Impreza 2.5RS,67.183,(2),68.343,(2),65.681, ,66.214,(2),66.591,(2),65.681,39,51.363,32,876
5,novice,GS,Chris Crook,92 Acura/Integra,70.094, ,68.718,(2),66.514, ,65.874, ,67.563,(2),65.874,41,51.513,33,873
6,novice,DS,David VerPlanck,05 Infiniti/G35,67.253, ,70.671,(6),70.543,(6),87.374,(22),65.704, ,65.704,40,52.300,38,860
7,novice,AS,Lamar Jordan,01 BMW/M3,82.267, ,75.806, ,70.829,(2),68.878, ,70.749, ,68.878,43,57.031,43,789
8,novice,AS,Kris Wiedeman,04 Honda/S2000,DNF, ,75.629, ,DNF, ,89.222,(20),69.442,(2),69.442,44,57.498,44,782
1,street,DS,Jamal Brewer,04 Dodge/SRT-4,64.105, ,60.831, ,61.868, ,59.440, ,59.000, ,59.000,19,46.964,8,958
2,street,SS,Elvis Presley,05 Lotus/Elise,79.664,(22),62.867,(4),59.950, ,58.152, ,57.247, ,57.247,8,47.916,15,939
3,street,HS,Tom Evans,79 Fiat/Spyder,65.861, ,64.747, ,66.285,(2),69.259,(4),65.563, ,64.747,37,50.308,23,894
4,street,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,99.004,(24),64.352, ,63.880, ,62.387, ,82.869,(20),62.387,33,51.532,34,873
5,street,FSP,Stuart Anderson,98 FORD/COBRA,DNF, ,69.749, ,67.072, ,66.060, ,65.585, ,65.585,38,53.189,40,846
1,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,56.851, ,55.606, ,55.993, ,61.776,(6),56.506, ,55.606, ,44.429, ,1013
2,TO,STX,Mike Quigley,02 subaru/wrx,57.011, ,59.163,(2),63.365,(4),57.082, ,60.870,(4),57.011, ,45.723, ,984
3,TO,AS,Rob Rockefeller,00 Honda/S2000,60.971,(4),56.715,(2),55.499, ,57.461,(2),59.006, ,55.499, ,45.953, ,979
4,TO,EM,Greg Duncan,84 Pontiac/Fiero,52.429, ,72.811,(6),70.005,(8),75.877,(22),52.560, ,52.429, ,46.452, ,969
5,TO,FS,Chris Addison,05 ford/Mustang Mach 1,57.861, ,61.920,(4),85.267,(24),63.925,(4),58.043, ,57.861, ,46.578, ,966
6,TO,SS,Newton Johnson,04 Corvette/Z06,56.855, ,63.484,(2),55.879, ,55.987, ,57.513,(2),55.879, ,46.771, ,962
7,TO,STX,Jeff Braciak,01 Pontiac/Firebird V6,81.593,(20),59.333, ,61.025,(2),62.145, ,58.808, ,58.808, ,47.164, ,954
8,TO,DS,Jamal Brewer,04 Dodge/SRT-4,60.129, ,61.992,(2),60.546, ,59.410, ,64.719,(4),59.410, ,47.290, ,951
9,TO,STX,Adam Moore,87 BMW/325is,59.218, ,59.099, ,59.151, ,DNF, ,60.630, ,59.099, ,47.397, ,949
10,TO,GS,Chris Sparling,02 Saab/9-3,64.455, ,62.196, ,61.465, ,60.978, ,60.950, ,60.950, ,47.663, ,944
11,TO,STU,Chris Groppi,04 Subaru/WRX STi,58.947, ,58.852, ,58.524,(2),62.614,(4),59.890,(2),58.524, ,47.873, ,940
12,TO,STS,Shea Burns,00 Subaru/Impreza 2.5RS,63.619,(2),60.453, ,61.965,(2),60.334, ,63.600,(2),60.334, ,48.207, ,933
13,TO,GS,James Carter,02 Subaru/Impreza 2.5RS,67.057,(2),65.529,(2),66.823,(2),62.848, ,62.108, ,62.108, ,48.568, ,926
14,TO,STU,Morgan Sowerby,05 Mitsubishi/Evolution,62.069, ,62.014, ,61.143, ,59.704, ,59.561, ,59.561, ,48.721, ,923
15,TO,STS2,David Rock,79 Mazda/RX-7,62.242, ,67.272,(4),74.276,(4),DNF, ,61.646, ,61.646, ,49.502, ,909
16,TO,ESP,Jim Knibloe,97 Mitsubishi/Eclipse,61.690, ,62.951, ,61.605, ,60.455, ,62.241,(2),60.455, ,49.936, ,901
17,TO,STS,Rob Michaels,95 nissan/240sx,63.961,(2),63.604,(2),66.282,(4),65.458,(4),64.989,(4),63.604, ,50.820, ,885
18,TO,ASP,Stephen Peterson,1 Chev/Vette,60.529, ,59.866, ,62.481, ,62.530,(2),60.141,(2),59.866, ,50.886, ,884
19,TO,SM,Lee Mayer,95 VW/jetta,62.886,(2),61.860, ,61.082, ,62.936,(2),65.259,(4),61.082, ,51.431, ,875
20,TO,CSP,Bob Francis,94 Mazda/Miata,63.829, ,84.747,(22),63.679,(2),63.479,(2),65.961,(2),63.479, ,53.195, ,846
21,TO,DS,David VerPlanck,05 Infiniti/G35,73.031,(2),85.771,(20),68.128,(4),87.076,(20),69.681,(6),68.128, ,54.230, ,830
