"Here are the results! We had 61 competitors for the Event, and 26 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,open,SS,David Rock,01 Chevy/Z06,44.187, ,44.538,(2),42.658, ,42.457, ,42.457,1,35.537,1,1000,,,,
2,open,SS,Don Hyland,05 Lotus/Elise,45.903, ,45.017, ,44.325, ,44.488, ,44.325,14,37.100,16,958,,,,
3,open,SS,Newton Johnson,04 Corvette/Z06,47.788, ,46.110, ,45.941, ,44.861, ,44.861,18,37.549,26,946,,,,
4,open,SS,Elvis Presley,05 Lotus/Elise,45.528, ,44.893, ,49.065,(2),45.516, ,44.893,19,37.575,27,946,,,,
5,open,SS,Todd Lydic,01 Chevy/Z06,45.682, ,48.665,(2),48.162, ,45.607, ,45.607,26,38.173,32,931,,,,
1,open,AS,Dave Mccombs,4 honda/s2000,47.548,(2),43.649, ,45.223,(2),42.963, ,42.963,3,35.573,2,999,,,,
2,open,AS,Joel Schotz,04 Honda/S2000,44.576, ,56.935,(4),43.663, ,44.149, ,43.663,8,36.153,6,983,,,,
3,open,AS,Mike Selland,01 Honda/S2000,45.455, ,44.190, ,43.766, ,50.968, ,43.766,9,36.238,7,981,,,,
4,open,AS,Rob Rockefeller,00 Honda/S2000,46.488, ,45.044, ,47.524,(2),46.923,(2),45.044,23,37.296,19,953,,,,
5,open,AS,Gene Sanders,89 Chevy/Corvette,45.431, ,47.668, ,45.118, ,45.170, ,45.118,24,37.358,21,951,,,,
1,open,CS,Brad Owen,99 Mazda/Miata,63.284, ,48.694, ,46.147, ,48.035,(2),46.147,28,37.379,23,951,,,,
1,open,DS,Ron Terrien,03 BMW/330i,45.718, ,44.991, ,46.989,(2),45.256, ,44.991,21,35.813,5,992,,,,
2,open,DS,David Vasquez,03 BMW/330i,51.233, ,51.261, ,50.413, ,49.688, ,49.688,48,39.552,42,898,,,,
3,open,DS,Christopher Beaver,03 Toyota/Celica GTS,64.041, ,59.991, ,57.709, ,56.911, ,56.911,60,45.301,58,784,,,,
1,open,ES,Mark Johnson,94 Mazda/Miata,52.176,(4),46.878, ,46.366, ,46.550, ,46.366,29,37.325,20,952,,,,
1,open,FS,Keith Beaver,05 Toyota/X Runner,105.854,(20),67.839, ,62.836, ,64.570, ,62.836,61,50.583,61,703,,,,
1,open,GS,Chris Sparling,02 Saab/9-3,49.056, ,47.428, ,47.590, ,47.825, ,47.428,36,37.089,14,958,,,,
1,open,ASP,Ted Lewis,65 elan/lotus,43.398, ,46.305,(2),52.206,(4),47.300,(4),43.398,7,36.888,13,963,,,,
1,open,CSP,Brian Peters,93 Mazda/Miata,44.271, ,45.576,(2),42.648, ,42.465, ,42.465,2,35.586,3,999,,,,
