"Here are the results! We had 64 competitors for the Event, and 37 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,open,SS,David Rock,01 Chevrolet/Corvette Z06,76.164,(20),56.745,(2),54.264, ,53.606, ,53.986, ,53.606,1,45.029,1,1000
2,open,SS,Newton Johnson,04 Corvette/Z06,59.572, ,57.301, ,56.227, ,55.032, ,55.679, ,55.032,3,46.227,6,974
3,open,SS,Elvis Presley,05 Lotus/Elise,65.056,(4),61.035,(2),59.587, ,58.378, ,57.894, ,57.894,14,48.631,20,926
4,open,SS,Zack Heidepriem,94 Mazada RX7,60.838, ,59.879, ,60.579, ,61.245,(2),60.437,(2),59.879,25,50.298,35,895
1,open,AS,Dave Mccombs,04 honda/s2000,57.111, ,76.594,(20),55.609, ,54.729, ,55.240, ,54.729,2,45.480,3,990
2,open,AS,Rob Rockefeller,00 Honda/S2000,56.332, ,57.189,(2),57.290,(2),55.118, ,56.797,(2),55.118,4,45.803,4,983
3,open,AS,Joel Schotz,04 Honda/S2000,77.254,(20),56.385, ,57.502, ,56.207, ,55.800, ,55.800,7,46.370,8,971
4,open,AS,Gene Sanders,89 Chevy/Corvette,58.770, ,57.234, ,57.294, ,62.240,(4),57.153, ,57.153,10,47.494,13,948
1,open,CS,John Ellis,03 Mazda/Miata,86.109,(20),85.941,(20),64.324, ,DNF, ,63.329, ,63.329,47,51.486,42,875
1,open,DS,Doug Rowse,03 BMW/330i,60.675,(4),56.814, ,56.782, ,60.555,(4),58.378,(2),56.782,9,45.312,2,994
2,open,DS,David Vasquez,03 BMW/330i,64.106, ,60.432, ,59.054, ,60.726,(2),58.552, ,58.552,20,46.724,9,964
1,open,ES,Greg Toy,95 Toyota/MR2 #182,62.150,(2),61.769,(2),61.550,(2),80.025,(20),60.333, ,60.333,29,48.628,19,926
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,59.539, ,58.953, ,58.033, ,57.791, ,57.273, ,57.273,11,46.105,5,977
2,open,FS,Chris Addison,04 Ford Mustang,62.424, ,61.627, ,61.685, ,68.711,(8),60.218, ,60.218,27,48.475,18,929
1,open,GS,Chris Sparling,02 Saab/9-3,62.795, ,64.878,(2),60.920, ,61.160, ,61.399, ,60.920,31,48.370,17,931
2,open,GS,Kris Tvedt,03 /,61.258, ,61.255, ,61.863, ,82.664,(20),61.465, ,61.255,34,48.636,21,926
1,open,ASP,Keith Lensch,98 CHEVROLET/CORVETTE,60.132, ,60.204,(2),58.203, ,57.574, ,57.555, ,57.555,12,49.037,23,918
1,open,CSP,Joel Rhode,84 Honda/CRX,66.539, ,65.110,(2),62.959,(2),60.980, ,61.141, ,60.980,32,51.101,39,881
2,open,CSP,Carlos Murphy,84 honda/CRX dx,88.969,(20),DNS, ,87.753,(22),66.540, ,67.889,(2),66.540,59,55.761,61,808
1,open,CP,Kenny Smith,Chevy Camaro,65.074, ,62.321, ,61.959, ,60.727, ,61.003, ,60.727,30,51.982,45,866
2,open,CP,Jesse Smith,Chevy Camaro,82.922,(20),63.778, ,74.263, ,62.699, ,63.596, ,62.699,43,53.670,54,839
1,open,DM,Ralph Prince,60 Bugeye,79.228,(20),65.748,(2),65.732,(2),62.554, ,83.025,(20),62.554,40,55.360,60,813
1,open,EM,Greg Duncan,84 Pontiac/Fiero,80.217,(20),76.435,(20),55.974, ,55.971, ,55.638, ,55.638,6,49.017,22,919
2,open,EM,Bill Bradley,05 brunton/stalker (lotus 7 type),78.939,(20),66.510, ,56.770, ,56.448, ,77.952,(20),56.448,8,49.731,30,905
1,open,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,59.654, ,58.044, ,58.059, ,58.545, ,60.277,(2),58.044,16,46.261,7,973
2,open,STS,Zach Fellows,05 Honda/Civic,64.732, ,63.583, ,67.564,(2),65.632,(2),62.956, ,62.956,44,50.176,33,897
3,open,STS,Michael Lindt,04 Chevy/Cavalier,68.837, ,71.451,(2),66.867, ,65.663, ,71.481,(6),65.663,55,52.333,48,860
1,open,STU,Chris Groppi,04 Subaru/WRX STi,79.558,(20),58.810, ,78.375,(20),58.126, ,57.929, ,57.929,15,47.502,14,948
2,open,STU,Mike Oswald,05 Subaru/WRX STi,81.728,(22),64.196,(4),58.521, ,58.774, ,63.368,(4),58.521,19,47.987,15,938
3,open,STU,Jack Drummond,04 Dodge/SRT-4,65.654, ,63.847, ,63.375, ,63.641, ,62.488, ,62.488,39,51.240,40,879
1,open,STX,Mike Quigley,02 subaru/wrx,60.080, ,58.931, ,58.299, ,58.727, ,58.447, ,58.299,17,46.872,10,961
2,open,STX,Gary Ray,88 BMW/M3,59.543, ,DNF, ,59.182, ,58.394, ,DNF, ,58.394,18,46.949,11,959
3,open,STX,James Carter,04 Subaru/WRX,60.538, ,63.450,(4),61.658,(2),60.262, ,59.948, ,59.948,26,48.198,16,934
4,open,STX,Brandon Guerra,04 VW/R32,91.366,(20),63.010, ,63.196, ,63.807, ,61.519, ,61.519,35,49.461,27,910
1,open,SM2,Mark Eddy,71 datsun/240z,58.665,(2),58.113,(2),55.733, ,55.379, ,55.218, ,55.218,5,47.156,12,955
2,open,SM2,Dave Skull,91 Toyota/MR2,60.460, ,59.026, ,58.070, ,62.040,(4),57.583, ,57.583,13,49.176,24,916
3,open,SM2,Greg Mondeau,00 BMW/M coupe,69.600, ,68.723, ,67.737, ,67.652, ,66.508, ,66.508,58,56.798,64,793
1,open,FJ4,Kayla Smith,Kart,62.030, ,60.398, ,60.593, ,60.909, ,59.078, ,59.078,22,49.448,26,911
1,ladies,CP,Ronda Smith,Chevy Camaro,71.939, ,68.039, ,65.380, ,64.520, ,63.477, ,63.477,48,54.336,56,829
1,novice,AS,Chris Sugar,06 Subaru/WRX STI,61.844, ,63.424,(2),63.071,(2),60.794, ,59.661, ,59.661,23,49.578,28,908
2,novice,DS,Amro Habib,05 INFINITI/G35 SEDAN,65.377,(2),63.602, ,62.144, ,62.286,(2),62.741,(2),62.144,37,49.591,29,908
3,novice,DS,Tom Fellows,05 BMW/325i,85.952,(20),64.554, ,63.110, ,62.682, ,64.729,(2),62.682,42,50.020,31,900
4,novice,BS,Derek Low,05 Mazda/RX-8,64.513, ,62.800, ,61.000, ,62.290, ,74.904,(2),61.000,33,50.142,32,898
5,novice,GS,Manfred Reysser,01 Toyota/Celica GT,64.983, ,63.393, ,63.226, ,83.152,(20),63.390, ,63.226,46,50.201,34,897
6,novice,SM2,Jeremy Stein,71 Datsun/240Z,62.998, ,61.412, ,61.910, ,60.268, ,81.180,(20),60.268,28,51.469,41,875
7,novice,AS,Chris Sugar,06 Subaru Sti,68.868,(2),62.247, ,66.686,(4),80.794,(20),68.018,(6),62.247,38,51.727,43,871
8,novice,SS,Troy Bilse,03 Chevy/Corvette,69.293,(4),61.887, ,62.912, ,63.636, ,94.847,(22),61.887,36,51.985,46,866
9,novice,ES,Mike Woodard,95 Mazda/Miata,68.623,(2),72.424,(2),65.560, ,64.866, ,65.532, ,64.866,53,52.282,47,861
10,novice,ESP,Matt Evans,98 Ford/Mustang,65.315, ,64.851, ,64.379, ,65.480, ,63.557, ,63.557,49,52.625,49,856
11,novice,DS,Scott Douglas,06 Subaru/Impreza WRX,77.869, ,67.429,(2),67.959,(2),68.197,(2),66.278, ,66.278,56,52.890,50,851
12,novice,HS,Chris Elofson,85 Isuzu/Impulse,71.631, ,68.474, ,91.581,(22),67.811, ,69.081,(2),67.811,60,52.893,51,851
13,novice,HS,Sheila Rigg,04 Honda/Civic EX,74.190, ,70.406, ,68.393, ,89.972,(22),67.910, ,67.910,61,52.970,52,850
14,novice,AS,Mark Wilson,00 Chevrolet/Camaro,74.247,(2),72.286,(4),66.666,(2),65.443, ,68.715,(4),65.443,54,54.383,57,828
15,novice,GS,Michael Cirello,97 Mitsubishi/Eclipse,DNF, ,72.811, ,69.594, ,68.542, ,70.587, ,68.542,64,54.422,58,827
16,novice,ES,Mike King,96 Mazda Miata,75.503, ,78.588, ,70.427, ,89.690,(20),68.122, ,68.122,62,54.906,59,820
17,novice,SM2,Tommy Olsen,92 Toyota MR2,91.546,(20),69.646, ,66.633, ,68.818, ,66.386, ,66.386,57,56.694,62,794
18,novice,AS,Nigel Flahart,06 BMW/M3,DNF, ,68.280, ,89.503,(22),DNF, ,DNS, ,68.280,63,56.741,63,794
1,street,SS,Tom Evans,05 Lotus/Elise,63.002,(2),61.292, ,60.072, ,59.354, ,58.756, ,58.756,21,49.355,25,912
