"Here are the results! We had 67 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,,,
1,PAX,ASP,Dave Mccombs,6 CHEVY/CORVETTE,57.461, ,57.851, ,55.680, ,55.680,2,47.439,1,1000,,,,
2,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,60.602,(2),57.042, ,57.041, ,57.041,7,47.914,3,990,,,,
3,PAX,ASP,Ted Lewis,65 lotus/elan,59.256,(2),57.954,(2),56.387, ,56.387,6,48.042,4,987,,,,
4,PAX,SS,Elvis Presley,05 Lotus/Elise,67.299,(8),59.321, ,57.894, ,57.894,10,48.631,5,975,,,,
5,PAX,HS,David Webb,01 Ford/Focus,68.355,(6),62.786, ,62.763, ,62.763,30,48.955,6,969,,,,
6,PAX,DM,Mark Huffman,65 Lotus/Elan,75.461,(20),76.361,(22),55.536,(2),55.536,1,49.149,9,965,,,,
7,PAX,ASP,Joel Schotz,06 Chevrolet/Corvette Z06,60.704,(2),58.829, ,57.809, ,57.809,9,49.253,11,963,,,,
8,PAX,STX,Mike Quigley,02 subaru/wrx,63.191,(2),61.302, ,65.832,(4),61.302,22,49.287,12,963,,,,
9,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,64.856,(2),61.863, ,61.883, ,61.863,26,49.305,13,962,,,,
10,PAX,AS,Rob Rockefeller,00 Honda/S2000,60.392, ,66.977,(6),62.814,(4),60.392,20,50.186,17,945,,,,
11,PAX,SM2,Mark Eddy,71 datsun/,60.734, ,59.479, ,59.886, ,59.479,17,50.795,20,934,,,,
12,PAX,SM2,Larry Petrucci,86 chevrolet/Corvette,79.366,(20),60.458, ,59.511, ,59.511,18,50.822,21,933,,,,
1,open,SS,Newton Johnson,04 Corvette/Z06,59.235, ,58.999, ,58.350, ,58.350,13,49.014,7,968,,,,
2,open,SS,Tom Evans,05 Lotus/Elise,61.122, ,59.187, ,59.056, ,59.056,14,49.607,14,956,,,,
