"Here are the results! We had 52 competitors for the Event, and 46 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event V,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,PAX,AS,Dave Mccombs,4 honda/s2000,49.545,(2),48.436,(2),DNF, ,47.084, ,47.084,1,39.127,1,1000,,
2,PAX,STX,Mike Quigley,02 subaru/wrx,50.590, ,49.529, ,49.187, ,49.678, ,49.187,6,39.546,2,989,,
3,PAX,AS,Rob Rockefeller,00 Honda/S2000,57.770,(8),77.444,(22),48.483, ,49.939,(2),48.483,4,40.289,3,971,,
4,PAX,STS,Jonathan Eddy,00 Subaru Impreza 2.5RS,50.978, ,51.205, ,52.486,(2),52.322,(2),50.978,17,40.629,7,963,,
5,PAX,SS,David Rock,01 Chevrolet/Corvette,57.809, ,50.341, ,53.021,(4),54.943,(4),50.341,12,42.286,19,925,,
1,open,AS,Joel Schotz,04 Honda/S2000,59.655,(8),51.041,(2),50.792,(2),49.811,(2),49.811,7,41.393,12,945,,
1,open,CS,Brad Owen,99 Mazda/Miata,52.118, ,51.662, ,53.268,(2),50.429, ,50.429,14,40.999,10,954,,
2,open,CS,John Ellis,03 mazda/miata,57.950,(2),53.177, ,79.693,(24),53.508, ,53.177,29,43.233,25,905,,
1,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,53.164, ,51.338, ,53.212,(2),50.205, ,50.205,10,40.415,5,968,,
2,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,54.046, ,51.932, ,52.298, ,50.910, ,50.910,16,40.983,9,955,,
1,open,GS,Kris Tvedt,03 Toyota/Celica,51.938, ,51.824, ,51.492, ,51.184, ,51.184,20,40.640,8,963,,
2,open,GS,Chris Sparling,02 Saab/9-3,53.768, ,55.617,(2),54.377, ,53.134, ,53.134,27,42.188,18,927,,
1,open,ASP,Kim Kemper,06 Chev/Corvette,52.630, ,51.534,(2),48.703, ,49.338, ,48.703,5,41.495,14,943,,
1,open,BSP,Rob Love,04 Mitsubishi/EVO,49.943, ,48.084, ,52.494,(2),49.724,(2),48.084,3,40.535,6,965,,
1,open,CSP,Zach Heidepriem,94 Mazda/Miata,52.219,(2),50.430,(2),50.059,(2),51.024,(2),50.059,9,41.949,16,933,,
1,open,CP,Jesse Smith,Chevy Camaro,52.919, ,56.581, ,52.862, ,51.065, ,51.065,18,43.712,30,895,,
2,open,CP,Kenny Smith,Chevy Camaro,54.698, ,DNS, ,DNS, ,DNS, ,54.698,34,46.821,43,836,,
1,open,STS,Manfred Reysser,01 Toyota/Celica GT,53.372, ,53.564, ,51.978, ,52.654, ,51.978,22,41.426,13,945,,
2,open,STS,Erich Eikenberry,00 Honda/Civic Si,54.304, ,58.157,(2),59.001, ,56.726,(4),54.304,32,43.280,26,904,,
1,open,STU,Chris Groppi,04 Subaru/WRX STi,50.374, ,50.684, ,50.596, ,50.531, ,50.374,13,41.307,11,947,,
1,open,STX,Gary Ray,88 BMW/M3,54.320,(2),52.105, ,53.274,(2),52.282, ,52.105,23,41.892,15,934,,
2,open,STX,Shea Burns,00 Subaru/Impreza,56.889,(2),52.990, ,52.434, ,52.745, ,52.434,24,42.157,17,928,,
1,open,SM,Matthew Evans,98 Ford/Mustang GT,52.694, ,51.772, ,50.981, ,50.045, ,50.045,8,42.288,20,925,,
1,open,SM2,Dave Skull,91 Toyota/MR2 /T,52.089, ,51.832, ,50.261, ,50.358, ,50.261,11,42.923,23,912,,
1,open,F125,Keith Lensch,06 SDDI/Kart,47.732, ,52.037, ,60.579, ,DNS, ,47.732,2,44.725,34,875,,
1,open,FJ4,Kayla Smith,Kart,56.762, ,60.314, ,55.664, ,54.490, ,54.490,33,45.608,35,858,,
1,ladies,ASP,Kat Kemper,06 Chev/Corvette,58.060, ,54.247, ,51.081, ,52.609, ,51.081,19,43.521,27,899,,
2,ladies,BSP,Susan Love,04 Mitsubishi/EVO,61.258, ,53.753, ,52.578, ,53.088,(2),52.578,25,44.323,32,883,,
3,ladies,GS,Kim Sparling,02 Saab/9-3,58.842, ,56.805, ,56.063, ,57.662, ,56.063,40,44.514,33,879,,
1,novice,ES,Michael Woodard,95 Mazda/Miata,53.564, ,73.456,(20),52.791, ,53.747,(2),52.791,26,42.550,21,920,,
2,novice,AS,Andrew Garnham,02 Honda/S2000,54.629, ,55.063,(2),54.297,(2),51.817, ,51.817,21,43.060,24,909,,
3,novice,STU,Adrian Schumacher,05 Subaru/WRX STi,55.112, ,54.176, ,53.145, ,54.378,(2),53.145,28,43.579,28,898,,
4,novice,AS,Bruce Patterson,03 Honda/S2000,60.343,(2),57.303, ,56.477, ,55.241, ,55.241,35,45.905,36,852,,
5,novice,BS,Bryan Clodfelter,88 BMW/M3,63.279, ,57.321, ,56.163, ,56.621, ,56.163,41,46.166,37,848,,
6,novice,AS,Doug Rasmussen,03 Honda/S2000,79.000,(20),56.983, ,58.662,(2),55.636, ,55.636,37,46.234,38,846,,
7,novice,AS,Robb King,00 Honda/S2000,80.834,(20),79.778,(20),55.729, ,71.084,(4),55.729,38,46.311,39,845,,
8,novice,STX,Ben Reidy,87 BMW/325is,67.640, ,61.277, ,76.943,(20),58.043, ,58.043,46,46.667,41,838,,
9,novice,STS,Daniel Estrada,99 VW,79.650,(20),59.518, ,58.731, ,59.387, ,58.731,47,46.809,42,836,,
10,novice,AS,Mark Wilson,00 Chevrolet/Camaro,79.770,(20),57.171,(2),60.963,(6),56.839,(2),56.839,43,47.233,44,828,,
11,novice,ASP,Bob Belman,05 Lotus/Elise,58.005, ,55.494, ,57.438, ,62.209, ,55.494,36,47.281,45,828,,
12,novice,ES,Ryan Mahadown,88 Mazda/RX-7,82.404,(20),66.146,(6),86.951,(6),59.474, ,59.474,48,47.936,46,816,,
13,novice,SM,Melinda Evans,98 Ford/Mustang GT,79.243,(20),59.991, ,57.116, ,56.818, ,56.818,42,48.011,47,815,,
14,novice,STX,Tyler Clodfelter,89 BMW/325is,64.283, ,60.186, ,60.196, ,59.788, ,59.788,49,48.070,48,814,,
15,novice,SM,Derreck Dixon,00 Acura/Integra Type R,61.896, ,59.007, ,89.126,(20),57.199, ,57.199,45,48.333,50,810,,
16,novice,CS,Andy Mceldowney,06 Mazda/MX5,70.315, ,62.632, ,61.553, ,59.843, ,59.843,50,48.652,51,804,,
17,novice,GS,Mark Maxwell,04 Mini/Cooper S,87.279,(20),DNF, ,65.407, ,DNF, ,65.407,52,51.933,52,753,,
1,street,DS,Mark Eddy,06 Mazda/Mazdaspeed 6,51.061, ,50.584, ,51.449, ,50.559, ,50.559,15,40.346,4,970,,
2,street,DS,Amro Habib,05 INFINITI/G35 SEDAN,53.964, ,53.621, ,58.685,(2),53.897, ,53.621,31,42.790,22,914,,
3,street,HS,Dan Hawrylkiw,99 Toyota/Corolla,58.660, ,57.605, ,55.906, ,56.088, ,55.906,39,43.607,29,897,,
4,street,AS,William Myers,00 Honda/S2000,55.364,(4),58.379,(4),53.221,(2),54.861,(2),53.221,30,44.227,31,885,,
5,street,CS,Ralph Prince,99 /miata,60.599, ,60.194, ,61.689,(2),56.976, ,56.976,44,46.321,40,845,,
6,street,GS,Corey Hass,93 Mitsubishi/3000GT SL,69.480, ,62.049, ,61.106, ,60.635, ,60.635,51,48.144,49,813,,
1,TO,AS,Dave Mccombs,4 honda/s2000,46.390, ,46.994, ,48.158, ,46.808, ,46.390, ,38.550, ,1015,,
2,TO,STX,Mike Quigley,02 subaru/wrx,51.670,(2),48.942, ,49.418, ,48.912, ,48.912, ,39.325, ,995,,
3,TO,STS,Jonathan Eddy,00 Subaru Impreza 2.5RS,51.928,(2),49.929, ,51.327,(2),50.489, ,49.929, ,39.793, ,983,,
4,TO,AS,Joel Schotz,04 Honda/S2000,48.260, ,47.924, ,48.912, ,53.425, ,47.924, ,39.825, ,982,,
5,TO,DS,Mark Eddy,06 Mazda/Mazdaspeed 6,50.937, ,50.003, ,50.282, ,52.569,(2),50.003, ,39.902, ,981,,
6,TO,CSP,Zach Heidepriem,94 Mazda/Miata,50.116,(2),47.760, ,53.713,(4),DNS, ,47.760, ,40.023, ,978,,
7,TO,GS,Kris Tvedt,03 Toyota/Celica,54.531, ,50.897, ,51.187, ,DNS, ,50.897, ,40.412, ,968,,
8,TO,STX,Shea Burns,00 Subaru/Impreza,50.978, ,50.307, ,DNS, ,DNS, ,50.307, ,40.447, ,967,,
9,TO,STS,Manfred Reysser,01 Toyota/Celica GT,52.368, ,51.528, ,65.353, ,50.947, ,50.947, ,40.605, ,964,,
10,TO,CS,Brad Owen,99 Mazda/Miata,50.229, ,50.139, ,80.949,(24),50.429, ,50.139, ,40.763, ,960,,
11,TO,ASP,Kim Kemper,06 Chev/Corvette,50.078,(2),48.255, ,DNS, ,DNS, ,48.255, ,41.113, ,952,,
12,TO,STU,Chris Groppi,04 Subaru/WRX STi,50.613, ,50.477, ,56.267,(4),66.918,(4),50.477, ,41.391, ,945,,
