"Here are the results! We had 45 competitors for the Event, and 38 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,PAX,STX,Mike Quigley,02 subaru/wrx,37.043, ,35.958, ,37.172,(2),35.024, ,35.024,8,28.159,1,1000,,
2,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,43.403,(4),36.511, ,35.966, ,36.012, ,35.966,10,28.665,3,982,,
3,PAX,STU,Jay Balducci,05 Subaru/WRX-STI,38.015, ,37.326,(2),34.976, ,36.596,(2),34.976,6,28.680,4,982,,
4,PAX,SS,Elvis Presley,05 Lotus/Elise,40.481,(2),35.619, ,35.358, ,34.247, ,34.247,2,28.767,5,979,,
5,PAX,AS,Rob Rockefeller,00 Honda/S2000,41.330,(4),39.194,(2),35.111, ,34.740, ,34.740,5,28.869,6,975,,
6,PAX,ASP,Dave Mccombs,06 CHEVY/CORVETTE,36.146, ,35.827, ,34.399, ,34.689, ,34.399,3,29.308,8,961,,
7,PAX,CSP,Brian Peters,93 Mazda/Miata,36.913,(2),35.441,(2),54.090,(20),35.001,(2),35.001,7,29.331,9,960,,
8,PAX,ASP,Joel Schotz,06 Chevrolet/Corvette Z06,42.947,(6),37.567,(2),35.007, ,34.726, ,34.726,4,29.587,10,952,,
9,PAX,BS,Elliot Speidell,04 Mazda/Rx-8,41.804,(2),37.942, ,36.558, ,36.165, ,36.165,11,29.728,12,947,,
10,PAX,HS,David Rock,02 Chevy/S10,64.795,(20),43.668, ,49.020,(6),42.472, ,42.472,33,33.128,30,850,,
11,PAX,HS,Keith Lensch,02 Chevy/S10,46.379, ,46.638,(2),44.869, ,44.861,(2),44.861,41,34.992,38,805,,
1,open,SS,Tom Evans,05 Lotus/Elise,38.433, ,36.589, ,36.173, ,37.536,(2),36.173,12,30.385,17,927,,
2,open,SS,Newton Johnson,04 Corvette/Z06,40.904, ,38.205, ,37.754, ,39.060,(2),37.754,19,31.713,22,888,,
1,open,BS,Brian Malm,86 Porsche/928s,43.936,(2),59.646,(20),40.379, ,42.911,(2),40.379,30,33.192,31,848,,
1,open,CS,Ralph Prince,99 Mazda/Miata,47.701,(2),43.902, ,45.233, ,47.311,(2),43.902,39,35.692,40,789,,
1,open,DS,David Vasquez,03 BMW/330i,60.816,(20),42.019,(2),37.833, ,37.089, ,37.089,14,29.597,11,951,,
2,open,DS,Amro Habib,05 Infiniti/G35 sedan,40.317, ,37.510, ,40.875,(2),37.465, ,37.465,16,29.897,14,942,,
1,open,ASP,Kim Kemper,03 chev/corvette,45.580, ,41.082, ,38.417, ,39.131, ,38.417,21,32.731,28,860,,
2,open,ASP,Jamal Brewer,90 Nissan/300zx,47.538, ,44.150, ,44.089, ,44.002,(2),44.002,40,37.490,43,751,,
1,open,ESP,Larry Petrucci,95 Pontiac/Firechicken,56.646,(20),40.503,(6),34.099, ,37.050,(4),34.099,1,28.234,2,997,,
1,open,FP,Enrique Aviles,82 Mazda/RX-7,41.775, ,38.000, ,42.404,(2),37.722, ,37.722,18,32.554,25,865,,
1,open,STS,Manfred Reysser,01 Toyota/Celica GT,44.764,(6),38.879, ,37.315, ,68.181,(24),37.315,15,29.740,13,947,,
2,open,STS,Kris Chang,96 Honda/Accord,42.982, ,39.494, ,38.585, ,38.520, ,38.520,23,30.700,18,917,,
3,open,STS,Erich Eikenberry,00 Honda/Civic Si,41.615,(2),59.120,(20),40.084,(2),38.887, ,38.887,24,30.993,19,909,,
4,open,STS,Zach Fellows,05 Honda/Civic,66.820,(22),64.588,(20),43.027, ,42.753, ,42.753,35,34.074,34,826,,
1,open,STU,Chris Sugar,06 Subaru/STi,59.030,(20),39.491, ,DNF, ,38.421, ,38.421,22,31.505,21,894,,
2,open,STU,Mike Oswald,05 Subaru/WRX STi,40.007, ,39.401, ,41.108,(2),41.132, ,39.401,26,32.309,24,872,,
3,open,STU,Chris Lampe,05 Subaru/Impreza WRX STi,39.746, ,40.346,(2),68.570,(4),39.783,(2),39.746,27,32.592,26,864,,
1,open,F125,Peter Drubin,05 KGB/Espionage,DNF, ,46.190, ,DNF, ,DNF, ,46.190,44,43.280,45,651,,
1,ladies,HS,Sheila Rigg,04 Honda/Civic EX,52.158,(2),45.592, ,67.636,(22),43.777, ,43.777,38,34.146,35,825,,
1,novice,DS,Tom Fellows,05 bmw/325I,43.490, ,42.281, ,40.137, ,42.443,(2),40.137,29,32.029,23,879,,
2,novice,STU,Scott Douglas,06 Subaru/WRX,44.953, ,41.181, ,40.077, ,42.061,(2),40.077,28,32.863,29,857,,
3,novice,GS,Ruben Rodriguez,00 Toyota/Celica,47.635, ,43.270, ,43.696, ,42.639, ,42.639,34,33.855,33,832,,
4,novice,STS,Tyler Powell,97 Saturn/SL2,45.723, ,43.267, ,43.186, ,43.846,(2),43.186,36,34.419,36,818,,
5,novice,FS,Matthew White,06 FORD/MUSTANG GT,45.970, ,75.352,(20),43.466, ,45.105,(2),43.466,37,34.990,37,805,,
6,novice,HS,Andreea Danielescu,04 Mazda/3,53.397, ,46.841, ,65.476,(20),45.542, ,45.542,42,35.523,39,793,,
7,novice,SM2,Frank Peebles,93 Toyota/MR2,67.839,(20),43.270, ,44.028, ,42.300, ,42.300,32,36.124,41,780,,
8,novice,STS,Conan Song,95 Nissan/200SX,52.234, ,51.952,(2),45.760, ,47.914, ,45.760,43,36.471,42,772,,
9,novice,FS,Shaddrick Holt,06 pontiac/GTO,52.444, ,66.279,(20),64.477,(20),66.020,(20),52.444,45,42.217,44,667,,
1,street,BS,Carey Kriger,99 BMW/M Coupe,39.012,(2),36.672, ,35.405, ,37.294,(2),35.405,9,29.103,7,968,,
2,street,DS,Michael Whitehouse,03 MazdaSpeed/Protege,40.360, ,38.605, ,37.877, ,37.823, ,37.823,20,30.183,15,933,,
3,street,STX,Shea Burns,00 Subaru/Impreza,45.652,(4),39.139, ,38.457, ,37.676, ,37.676,17,30.292,16,930,,
4,street,SM2,Siho Lee,00 Toyota/MR2 Spyder,42.922,(2),38.572, ,37.555, ,36.557, ,36.557,13,31.220,20,902,,
5,street,SS,Zach Heidepriem,94 Mazda/RX7,44.880,(2),41.034,(2),38.929, ,41.475,(2),38.929,25,32.700,27,861,,
6,street,GS,Ian Whitehouse,93 Mazda/MX-6 LS,43.676,(2),66.940,(24),42.053,(2),44.004,(4),42.053,31,33.390,32,843,,
1,TO,CSP,Brian Peters,93 Mazda/Miata,32.122, ,DNS, ,DNS, ,DNS, ,32.122, ,26.918, ,1046,,
