"Here are the results! We had 52 competitors for the Event, and 25 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,PAX,FM,Chuck Voboril,86 Zink/Z19,39.923, ,39.920, ,39.453, ,41.649,(2),39.453,1,34.995,1,1000,,
2,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,48.009, ,46.407, ,45.862, ,45.482, ,45.482,10,36.249,2,965,,
3,PAX,STX,Mike Quigley,02 subaru/wrx,49.298,(2),47.571,(2),45.448, ,45.327, ,45.327,8,36.443,3,960,,
4,PAX,DS,Doug Rowse,03 BMW/330i,46.619, ,47.646,(2),45.680, ,49.457,(4),45.680,11,36.453,4,960,,
5,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,44.140, ,43.629, ,43.817, ,43.711, ,43.629,4,36.648,5,955,,
6,PAX,ASP,Keith Lensch,06 CHEVROLET/CORVETTE,45.599, ,44.397, ,43.451, ,43.521, ,43.451,3,37.020,7,945,,
7,PAX,SS,Elvis Presley,05 Lotus/Elise,45.640, ,46.045, ,45.619, ,44.593, ,44.593,6,37.458,10,934,,
8,PAX,AS,Rob Rockefeller,00 Honda/S2000,45.415, ,46.270,(2),48.193,(4),48.884,(4),45.415,9,37.740,12,927,,
1,open,SS,Newton Johnson,04 Corvette/Z06,DNF, ,47.644,(2),45.544, ,44.243, ,44.243,5,37.164,8,942,,
1,open,DS,David Vasquez,03 BMW/330i,48.965, ,47.575, ,47.524, ,46.850, ,46.850,14,37.386,9,936,,
2,open,DS,Ron Terrien,03 BMW/330,49.671, ,48.550, ,47.565, ,49.429,(2),47.565,19,37.957,14,922,,
1,open,FS,Don Hyland,00 Chev./Camaro Z/28,48.465, ,47.662, ,46.418, ,45.925, ,45.925,12,36.970,6,947,,
1,open,GS,Chris Sparling,02 Saab/9-3,47.706, ,51.518,(4),48.044, ,47.902, ,47.706,23,37.879,13,924,,
