"Here are the results! We had 27 competitors for the Event, and 26 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,53.054, ,56.404,(4),51.629, ,52.754,(2),51.629,2,43.368,2,992,,
2,PAX,AS,Rob Rockefeller,00 Honda/S2000,77.460,(22),54.183, ,53.575, ,54.073, ,53.575,5,44.521,3,966,,
3,PAX,SS,Elvis Presley,05 Lotus/Elise,54.218, ,75.668,(20),54.310, ,53.174, ,53.174,3,44.666,5,963,,
4,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,57.866, ,62.840,(6),58.857,(2),56.543, ,56.543,10,45.065,7,954,,
1,open,SS,Tom Evans,05 Lotus/Elise,57.478, ,59.516,(4),56.322,(2),54.901, ,54.901,6,46.117,11,933,,
1,open,AS,Van Baucum,06 BMW/M3,58.948,(2),66.151, ,57.110, ,64.912,(8),57.110,14,47.458,15,906,,
2,open,AS,Stuart Anderson,04 Porsche/Boxster,64.773, ,57.777, ,58.810, ,61.304,(2),57.777,17,48.013,16,896,,
3,open,AS,Bruce Patterson,03 Honda/S2000,64.530, ,60.163, ,61.380, ,63.448,(2),60.163,23,49.995,23,860,,
4,open,AS,Al Blankenship,03 Honda/S2000,94.464,(20),72.052, ,67.918, ,67.237, ,67.237,27,55.874,26,770,,
1,open,DS,David Vasquez,03 BMW/330i,59.198, ,56.717, ,55.905, ,58.588,(2),55.905,9,44.612,4,964,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,60.138, ,57.955, ,56.999, ,56.556, ,56.556,11,45.528,10,945,,
1,open,GS,Kris Tvedt,03 Toyota/Celica,61.038,(2),57.328, ,58.179, ,57.547, ,57.328,15,45.518,9,945,,
1,open,BSP,Andy Lieber,04 Mitsubishi/EVO,52.583, ,70.345,(20),70.192,(20),51.016, ,51.016,1,43.006,1,1000,,
2,open,BSP,Rob Love,04 Mitsubishi/EVO,55.306, ,53.246, ,DNF, ,75.343,(22),53.246,4,44.886,6,958,,
3,open,BSP,Susan Love,04 Mitsubishi/EVO,60.418, ,58.338, ,56.722, ,55.669, ,55.669,8,46.929,13,916,,
4,open,BSP,Jamal Brewer,90 Nissan/300ZX,62.246, ,58.779, ,69.414,(2),58.130, ,58.130,18,49.004,19,878,,
5,open,BSP,Gregory Brewer,90 Nissan/300ZX,63.612, ,60.723, ,60.651, ,61.097, ,60.651,24,51.129,25,841,,
1,open,ESP,Matthew White,06 FORD/MUSTANG GT,81.227,(20),61.023, ,59.451, ,59.391, ,59.391,22,49.176,21,875,,
1,open,STS,Jon Matthias,95 Dodge/Neon ACR,62.069, ,61.828, ,85.335,(22),61.497, ,61.497,25,49.013,20,877,,
1,open,STU,Chris Groppi,04 Subaru/WRX STi,79.881,(20),56.505,(2),54.990, ,56.422,(2),54.990,7,45.092,8,954,,
1,open,SM2,Dave Skull,91 Toyota/MR2 - Turbo,56.796, ,58.362,(4),75.401,(20),56.576,(2),56.576,12,48.316,17,890,,
1,novice,AS,Nigel Flahart,06 BMW/M3,59.771, ,58.146, ,78.068,(20),56.979, ,56.979,13,47.350,14,908,,
2,novice,SM,Curtis Christensen,66 ford/mustang,63.567,(2),60.446, ,59.275, ,62.290,(2),59.275,21,50.087,24,859,,
3,novice,SM,Melinda Evans,98 Ford/Mustang GT,DNF, ,99.260,(24),66.739, ,DNF, ,66.739,26,56.394,27,763,,
1,street,DS,Amro Habib,05 INFINITI/G35 SEDAN,60.826, ,59.491, ,78.800,(20),58.300, ,58.300,19,46.523,12,924,,
2,street,ASP,Greg Toy,05 Lotus/Elise,58.639, ,57.517, ,59.705,(2),58.222, ,57.517,16,49.004,18,878,,
3,street,SM,Matt Evans,98 Ford/Mustang GT,59.240, ,71.218, ,60.074, ,59.012, ,59.012,20,49.865,22,862,,
1,TO,SS,David Rock,01 Chevrolet/Corvette Z06,50.154, ,53.883, ,DNS, ,DNS, ,50.154, ,42.129, ,1021,,
2,TO,AS,Rob Rockefeller,00 Honda/S2000,52.806, ,60.218,(4),80.383,(2),55.943,(2),52.806, ,43.882, ,980,,
3,TO,BSP,Rob Love,04 Mitsubishi/EVO,DNS, ,DNS, ,52.065, ,DNS, ,52.065, ,43.891, ,980,,
4,TO,STU,Chris Groppi,04 Subaru/WRX STi,54.589, ,56.911,(2),DNS, ,DNS, ,54.589, ,44.763, ,961,,
5,TO,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,58.293,(2),57.769, ,58.895,(2),56.461, ,56.461, ,44.999, ,956,,
6,TO,DS,David Vasquez,03 BMW/330i,56.681, ,56.620, ,DNS, ,DNS, ,56.620, ,45.183, ,952,,
7,TO,FS,Don Hyland,00 Chevrolet/Camaro Z/28,56.433, ,56.719, ,56.342, ,DNS, ,56.342, ,45.355, ,948,,
8,TO,GS,Kris Tvedt,03 Toyota/Celica,57.272, ,57.569, ,58.518,(2),60.347,(4),57.272, ,45.474, ,946,,
9,TO,DS,Amro Habib,05 INFINITI/G35 SEDAN,58.618, ,58.242, ,58.334, ,57.164, ,57.164, ,45.617, ,943,,
