"Here are the results! We had 69 competitors for the Event, and 41 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,PAX,STX,Mike Quigley,02 subaru/wrx,42.150, ,41.576, ,40.596, ,40.440, ,40.440,11,32.514,1,1000,,
2,PAX,DM,Mark Huffman,65 Lotus/Elan,41.979,(4),38.941,(2),60.339,(22),36.990, ,36.990,1,32.736,2,993,,
3,PAX,SS,Elvis Presley,05 Lotus/Elise,43.279,(2),40.010, ,39.164, ,40.131, ,39.164,3,32.898,3,988,,
4,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,42.871,(2),40.536, ,39.209, ,39.558, ,39.209,4,32.936,4,987,,
5,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5 RS,42.852, ,41.685, ,42.409, ,42.122, ,41.685,22,33.223,6,979,,
6,PAX,ASP,Ted Lewis,65 lotus/elan,39.676, ,41.091,(2),39.052, ,39.104, ,39.052,2,33.272,7,977,,
7,PAX,CSP,Brian Peters,99 Mazda/Miata,40.122, ,48.092,(6),39.839, ,41.490,(2),39.839,7,33.385,8,974,,
8,PAX,ESP,Larry Petrucci,95 Pontiac/Firechicken,45.818,(2),40.984, ,44.205,(4),40.330, ,40.330,9,33.393,9,974,,
9,PAX,ASP,Dave Mccombs,6 CHEVY/Z06,41.144, ,40.229, ,39.434, ,39.213, ,39.213,5,33.409,10,973,,
10,PAX,ASP,Joel Schotz,06 Chevrolet/Corvette Z06,41.158, ,40.591, ,44.808,(4),39.501, ,39.501,6,33.655,11,966,,
11,PAX,AS,Rob Rockefeller,00 Honda/S2000,43.700,(2),40.548, ,41.072, ,40.967, ,40.548,12,33.695,12,965,,
12,PAX,BS,Elliot Speidell,04 Mazda/RX-8,41.747, ,41.156, ,45.143,(4),42.094, ,41.156,16,33.830,13,961,,
13,PAX,STU,Jay Balducci,05 Subaru/WRX-STI,62.176,(20),62.094,(20),42.079, ,50.159,(8),42.079,23,34.505,22,942,,
14,PAX,CP,Richard Rippy,96 chevy/camaro,67.002,(24),62.260,(20),DNF, ,42.318, ,42.318,26,36.224,38,898,,
15,PAX,CP,Steve Steele,96 Chevie/Camaro,45.379,(4),60.827,(20),42.801,(2),DNF, ,42.801,31,36.638,42,887,,
1,open,SS,Newton Johnson,04 Corvette/Z06,46.221,(2),43.020, ,42.180, ,40.297, ,40.297,8,33.849,14,961,,
2,open,SS,Tom Evans,05 Lotus/Elise,44.602,(2),44.218,(2),41.897, ,40.949, ,40.949,13,34.397,20,945,,
1,open,AS,Stuart Anderson,04 Porsche/Boxster,46.045, ,44.825, ,42.922, ,44.100, ,42.922,33,35.668,33,912,,
1,open,BS,Doug Rowse,03 BMW/330i,42.695, ,41.922, ,41.264, ,47.699,(6),41.264,18,33.919,15,959,,
1,open,CS,Brad Owen,99 Mazda/Miata,53.708, ,62.804,(20),44.460, ,42.149, ,42.149,25,34.267,18,949,,
1,open,DS,David Vasquez,03 BMW/330i,43.898, ,43.569, ,42.778, ,45.388,(2),42.778,30,34.137,16,952,,
2,open,DS,Tom Fellows,05 BMW/324i,48.426,(2),45.141, ,46.313, ,45.190, ,45.141,48,36.023,36,903,,
1,open,FS,Roy Coombes,93 FORD/MUSTANG COBRA,47.105,(2),44.201, ,43.395, ,42.615, ,42.615,29,34.305,19,948,,
1,open,GS,Chris Sparling,02 Saab/9-3,45.659, ,43.394, ,43.790, ,46.952,(4),43.394,38,34.455,21,944,,
2,open,GS,Kris Tvedt,02 Toyota/Celica,44.620, ,46.936,(2),44.857, ,46.838,(2),44.620,45,35.428,30,918,,
1,open,ASP,Kim Kemper,03 Chev/Corvette,45.019,(2),47.384,(6),41.127, ,41.135, ,41.127,15,35.040,28,928,,
2,open,ASP,Keith Lensch,06 Chevrolet/Corvette Z06,66.272,(20),43.130, ,62.601,(20),62.726,(20),43.130,34,36.747,43,885,,
3,open,ASP,Gregory Brewer,90 Nissan/300ZX TT,DNF, ,47.901, ,67.425,(20),66.318,(20),47.901,62,40.812,63,797,,
1,open,BSP,Mike Oswald,05 Subaru/WRX STi,42.191, ,DNF, ,41.083, ,43.488, ,41.083,14,34.633,24,939,,
2,open,BSP,Francis Miller,05 Mitsubishi/EVO VIII RS,52.875,(2),42.116, ,42.398,(2),41.257, ,41.257,17,34.780,26,935,,
1,open,CSP,Kevin Gleaton,99 mazda/miata,47.109, ,42.448, ,42.644, ,43.926,(2),42.448,27,35.571,32,914,,
1,open,ESP,Michael Starr,92 Toyota/MR2,71.626,(20),48.974, ,47.957, ,46.645, ,46.645,57,38.622,57,842,,
1,open,CP,Jesse Smith,Chevy Camaro,46.780,(2),44.190,(2),44.620,(2),42.464, ,42.464,28,36.349,40,894,,
