"Here are the results! We had 56 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
1,PAX,SS,David Rock,01 Chevrolet/Corvette,71.941,##,50.907, ,49.664, ,49.355, ,49.355,1,41.458,1,1000,,
2,PAX,SS,Elvis Presley,05 Lotus/1,73.305,(22),52.207, ,51.518, ,51.518, ,51.518,3,43.275,2,958,,
3,PAX,STX,Mike Quigley,02 subaru/wrx,55.832, ,55.827, ,54.271, ,53.942, ,53.942,10,43.369,3,956,,
4,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,57.451,(2),55.204, ,54.735, ,55.066, ,54.735,11,43.624,4,950,,
5,PAX,AS,Rob Rockefeller,00 Honda/S2000,75.064,(22),53.228, ,55.068,(2),52.674, ,52.674,6,43.772,5,947,,
6,PAX,STU,Chris Sugar,06 Subaru/STi,86.060,(28),58.075, ,76.169,(20),55.739, ,55.739,16,45.706,13,907,,
1,open,SS,Tom Evans,05 Lotus/Elise,54.647, ,53.609, ,52.524, ,53.037, ,52.524,5,44.120,7,940,,
1,open,AS,Gene Sanders,89 Chevy/Corvette,55.844, ,60.048,(4),57.030,(2),58.912,(2),55.844,17,46.406,18,893,,
2,open,AS,Stuart Anderson,04 Porsche/Boxster,70.754, ,58.991, ,62.843, ,59.155, ,58.991,34,49.022,34,846,,
1,open,CS,John Ellis,03 mazda/miata,82.621,(20),62.879, ,63.332, ,62.050, ,62.050,43,50.447,40,822,,
1,open,DS,David Vasquez,03 BMW/330i,58.143, ,55.363, ,55.242, ,58.783,(4),55.242,12,44.083,6,940,,
2,open,DS,Tom Fellows,05 bmw/325i,80.684,(20),59.305, ,58.985, ,59.271, ,58.985,33,47.070,23,881,,
1,open,FS,Don Hyland,00 Chevrolet/Camaro Z/28,57.720, ,58.255,(2),58.149,(2),56.458, ,56.458,19,45.449,11,912,,
1,open,GS,Chris Sparling,02 Saab/9-3,58.775, ,57.047, ,60.985,(2),57.598, ,57.047,23,45.295,9,915,,
2,open,GS,Kris Tvedt,02 Toyota/Celica,59.341, ,58.857, ,59.404, ,58.309, ,58.309,28,46.297,17,895,,
1,open,ASP,Bill Schroeder,06 Chevy/Corvette Z06,56.401, ,DNF, ,54.207, ,53.367, ,53.367,9,45.469,12,912,,
1,open,BSP,Mike Oswald,05 Subaru/WRX STi,54.896, ,55.573, ,53.802, ,53.297, ,53.297,8,44.929,8,923,,
1,open,FSP,Steven Parsons,93 Volkswagen/Golf GL,91.269,(20),67.799, ,64.624, ,74.615, ,64.624,51,52.604,49,788,,
1,open,CP,Kenny Smith,Chevy Camaro,79.352,(20),60.132, ,62.720,(2),58.555, ,58.555,29,50.123,39,827,,
2,open,CP,Jesse Smith,Chevy Camaro,70.265,(8),79.407,(6),60.981, ,59.502, ,59.502,36,50.934,41,814,,
