The Spring series for 2006 is a best 3 out of 4 event series.,,,,,,,
Note that the first April event was an SSCC event that also counted for this series.,,,,,,,
OPEN CLASSES,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,APR,,
(SSCC) ,APR ,TOTAL,,,,,
1,SS,David Rock,1000,991,976,1000,2991
2,SS,Elvis Presley,963,939,943,926,2845
3,SS,Newton Johnson, ,918,933,974,2825
4,SS,Kim Kemper,933, , , ,933
5,SS,Fred Zust,906, , , ,906
6,SS,Zack Heidepriem, , , ,895,895
7,SS,David Lee, ,843, , ,843
1,AS,Rob Rockefeller,930, ,927,983,2840
2,AS,Gene Sanders,903, ,952,948,2803
3,AS,Dave Mccombs,938, , ,990,1928
4,AS,Joel Schotz,944, , ,971,1915
5,AS,Craig Meyer, ,910, , ,910
1,BS,Edward Prather,945, , , ,945
2,BS,Brian Malm,858, , , ,858
1,CS,Brad Owen,910,907,965, ,2782
2,CS,John Ellis, , ,844,875,1719
3,CS,Brian Peters, , ,1000, ,1000
4,CS,Ralph Prince, ,821, , ,821
1,DS,Ron Terrien,958,948,944, ,2850
2,DS,Doug Rowse, , ,957,994,1951
3,DS,David Vasquez, , , ,964,964
1,ES,Greg Toy,918, ,934,926,2778
1,FS,Don Hyland,942,920,881,977,2839
2,FS,Chris Addison, , , ,929,929
3,FS,Roy Coombes,879, , , ,879
1,GS,Kris Tvedt,916,906,931,926,2773
2,GS,Chris Sparling, ,908,932,931,2771
3,GS,Chris Linrud, ,809, , ,809
1,ASP,Keith Lensch,933,927,908,918,2778
2,ASP,Kim Kemper, , ,905, ,905
1,BSP,Rob Love,961,930,956, ,2847
2,BSP,Andy Lieber, ,955, , ,955
1,CSP,Brian Peters, ,977, , ,977
2,CSP,Joel Rhode, , , ,881,881
3,CSP,Carlos Murphy, , , ,808,808
1,DSP,Zach Fellows,839,868, , ,1707
2,DSP,Clint Child, ,974, , ,974
3,DSP,Jeremy Hayes, , ,866, ,866
4,DSP,Ross Jackson, , ,863, ,863
5,DSP,Chad Mckulsky,740, , , ,740
1,ESP,Larry Petrucci,942, , , ,942
2,ESP,Paul Lemke,888, , , ,888
1,CP,Kenny Smith,844, ,837,866,2547
2,CP,Jesse Smith,845, ,820,839,2504
3,CP,Steve Steele,906, , , ,906
4,CP,Richard Rippy,895, , , ,895
1,FP,Fred Zust, ,918, , ,918
1,BM,Alan Wagstaffe, , ,862, ,862
1,DM,Ralph Prince, , , ,813,813
1,EM,Greg Duncan,903,898, ,919,2720
2,EM,Bill Bradley, ,796,860,905,2561
3,EM,Bill Schroeder,808,838, , ,1646
4,EM,Tom Hill,908, , , ,908
5,EM,Ken Edney, ,813, , ,813
6,EM,Dave Jameson, , ,764, ,764
1,FM,Chuck Voboril, , ,974, ,974
2,FM,Kurt Cramer,786, , , ,786
1,STS,Jonathan Eddy,918,972,968,973,2913
2,STS,Erich Eikenberry, ,900,888, ,1788
3,STS,Ron Huber, ,966, , ,966
4,STS,Britt Dollmeyer,909, , , ,909
5,STS,Zach Fellows, , , ,897,897
6,STS,Rich Damp,887, , , ,887
7,STS,John Ellis,867, , , ,867
8,STS,Michael Lindt, , , ,860,860
9,STS,Matt Durban,804, , , ,804
1,STS2,Joel Rhode, ,883,901, ,1784
1,STU,Mike Oswald,919,936,915,938,2793
2,STU,Christopher Groppi,912,933, ,948,2793
3,STU,Jack Drummond,843,846,873,879,2598
4,STU,Jay Balducci,960,960, , ,1920
5,STU,Tim Bergstrom,894,855, , ,1749
6,STU,Patric Coggin, , ,830, ,830
1,STX,Mike Quigley,942,959,971,961,2891
2,STX,Gary Ray,906,931,940,959,2830
3,STX,James Carter, ,908,932,934,2774
4,STX,Brandon Guerra, ,893, ,910,1803
5,STX,Jon Roesch, ,905,869, ,1774
6,STX,Jeff Braciak,874,887, , ,1761
7,STX,Joshua Sortor, ,1000, , ,1000
8,STX,Craig Meyer, , ,883, ,883
9,STX,David Patenaude,834, , , ,834
1,SM,Greg Rubenstein,956, , , ,956
2,SM,Tage Evanson, ,941, , ,941
1,SM2,Mark Eddy,919,942,936,955,2833
2,SM2,Dave Skull,891,920, ,916,2727
3,SM2,Greg Mondeau, ,793,780,793,2366
4,SM2,Harry Berzes,874,886, , ,1760
1,FSAE,Chris Bunch, ,803, , ,803
1,FJ4,Kayla Smith,774, , ,911,1685
,,,,,,,
LADIES CLASSES,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,APR,,
(SSCC) ,APR ,TOTAL,,,,,
1,BSP,Susan Love,924,895,883, ,2702
2,SM,Diane Deanovic,845,900, , ,1745
3,CP,Ronda Smith,792, , ,829,1621
4,SS,Kat Kemper,839, , , ,839
,,,,,,,
STREET CLASSES,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,APR,,
(SSCC) ,APR ,TOTAL,,,,,
1,BSP/DSP,John Lawson, ,877,888,895,2660
2,SS,Tom Evans, ,856,881,912,2649
3,SS,Paul Lialios,886,860, , ,1746
4,SM,Todd Houser,874, ,863, ,1737
5,AS,Stuart Anderson, ,855, ,836,1691
6,AS,Lamar Jordan,797, ,810, ,1607
7,DS ,Mike Whitehouse, , ,922, ,922
8,AS,Matt Francis, ,907, , ,907
9,GS,Ian Whitehouse, , ,900, ,900
10,GS,Jeff Deerinwater, ,895, , ,895
11,DS,William Blocker, , , ,895,895
12,AS ,Jim Hayden, , ,884, ,884
13,FSP,Siho Lee, , , ,883,883
14,FSP,Shea Burns, , , ,870,870
15,FS,Brenda Dixon, , ,867, ,867
16,ES ,Andrew Gardner, , ,848, ,848
17,ESP,Larry Peth, , , ,845,845
18,CS,Collin Mechler,838, , , ,838
19,SM,Joel Funk, , ,831, ,831
