"Here are the results! We had 51 competitors for the Event, and no time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,DSP,Clint Child,00 acura/integra,48.185,(2),47.674,(2),45.692, ,45.478, ,45.499, ,45.478,2,38.020,1,1000
2,PAX,AS,Rob Rockefeller,00 Honda/S2000,47.380, ,46.023, ,45.555, ,47.386,(2),49.359,(4),45.555,3,38.175,2,996
3,PAX,XP,Fred Zust,05 Lotus/Elise,68.285,(20),47.632,(2),60.701,(14),45.212, ,45.068, ,45.068,1,39.389,5,965
4,PAX,STX,Mike Quigley,02 Subaru/WRX,50.390, ,48.989, ,49.095, ,49.547, ,49.272, ,48.989,10,39.583,6,961
5,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,72.141,(20),50.844, ,49.298, ,69.680,(20),49.702, ,49.298,12,39.685,7,958
1,open,AS,Mena Tawadros,07 Subaru/WRX Sti,76.353,(20),72.397,(20),70.919,(20),75.402,(20),54.563, ,54.563,37,45.724,38,832
1,open,BS,Bryan Clodfelter,99 BMW/M3,55.144, ,54.637, ,52.842, ,53.167, ,52.125, ,52.125,28,43.160,26,881
1,open,DS,David Vasquez,03 bmw/330i,53.723, ,50.923, ,50.707, ,50.243, ,50.184, ,50.184,18,40.348,10,942
1,open,ES,Jamal Brewer,95 Mazda/Miata,53.765, ,50.661, ,49.979, ,50.894, ,49.272, ,49.272,11,40.009,8,950
2,open,ES,Greg Brewer,95 Mazda/Miata,56.165, ,50.660, ,57.066, ,52.498, ,76.646,(20),50.660,23,41.136,14,924
1,open,BSP,Rob Love,04 Mitsubishi/EVO,49.221, ,50.685,(2),48.477, ,48.630, ,48.814, ,48.477,8,41.351,16,919
1,open,CSP,Zach Heidepriem,94 Mazda/Miata,49.669,(2),50.915,(4),46.697, ,51.515,(4),46.259, ,46.259,4,39.089,4,973
2,open,CSP,Derrick Disharoom,91 Mazda/Miata,51.654, ,50.270, ,50.088, ,54.238,(4),54.306,(4),50.088,15,42.324,21,898
1,open,CP,Matt Evans,98 Ford/Mustang GT,51.022, ,50.932, ,59.456,(2),51.075, ,50.144, ,50.144,17,43.324,27,878
2,open,CP,Kenny Smith,Chevy Camaro,53.967, ,73.347,(20),51.368, ,52.132, ,51.069, ,51.069,24,44.124,31,862
3,open,CP,Jesse Smith,Chevy Camaro,54.232, ,54.683, ,53.035, ,52.306, ,55.915,(4),52.306,30,45.192,35,841
1,open,EP,Greg Duncan,90 Honda/Civic Hatchback,59.629,(2),59.322,(4),54.545, ,53.110, ,54.998,(2),53.110,32,45.834,39,830
1,open,EM,Tom Hill,88 Pontiac/Cadero,49.243, ,49.670, ,49.123, ,48.693, ,48.215, ,48.215,7,42.381,22,897
1,open,STS,Manfred Reysser,01 Toyota/Celica GT,55.338,(4),50.591, ,49.906, ,50.294, ,50.189, ,49.906,14,40.174,9,946
2,open,STS,Erich Eikenberry,00 Honda /Civic Si,58.967, ,60.726,(4),61.249,(2),77.296,(24),50.572, ,50.572,22,40.710,12,934
3,open,STS,Zach Fellows,05 Honda/Civic,54.063, ,52.598, ,53.244, ,52.989, ,52.155, ,52.155,29,41.985,19,906
1,open,STU,Ben Clement,05 Mitsubishi/Evo,48.626, ,47.676, ,47.682, ,47.363, ,49.840,(2),47.363,5,38.838,3,979
2,open,STU,Chris Groppi,04 Subaru/WRX STi,51.707, ,50.563, ,50.879, ,50.283, ,53.916,(2),50.283,19,41.232,15,922
1,open,STX,Gary Ray,88 BMW/M3,50.857, ,71.446,(20),50.525, ,50.472, ,77.068,(22),50.472,21,40.781,13,932
1,open,SM2,Dave Skull,91 Toyota/MR2,49.369, ,49.113, ,48.342, ,48.118, ,49.649,(2),48.118,6,41.478,17,917
1,ladies,BSP,Susan Love,04 Mitsubishi/EVO,54.393, ,71.132,(20),50.736, ,49.305, ,50.004, ,49.305,13,42.057,20,904
2,ladies,XP,Diane Deanovic,05 Lotus/Elise,52.331, ,50.599, ,50.098, ,51.481,(2),52.183,(2),50.098,16,43.786,30,868
3,ladies,CP,Melinda Evans,98 Ford/Mustang GT,62.566, ,66.316, ,59.663,(2),56.741, ,54.929, ,54.929,38,47.459,44,801
4,ladies,CP,Ronda Smith,Chevy Camaro,62.786, ,61.356, ,60.858, ,60.813, ,60.184, ,60.184,49,51.999,50,731
5,ladies,CP,Kayla Smith,Chevy Camaro,81.706, ,77.060, ,73.030, ,69.714, ,DNS, ,69.714,51,60.232,51,631
1,novice,CS,Jonathan Schwab,06 Pontiac/Solstice,59.695, ,57.989, ,56.475, ,55.190, ,57.525,(2),55.190,39,45.366,37,838
2,novice,FSP,Nathan Welborne,96 Chevrolet/Camaro Z28,59.482, ,59.544,(2),58.728,(2),56.571, ,55.947, ,55.947,43,46.044,41,826
3,novice,SM,Ben Reidy,87 BMW/325is,78.608,(20),DNF, ,74.114,(20),72.936,(20),54.317, ,54.317,36,46.495,42,818
4,novice,HS,Kelly Dougherty,05 Mini/Cooper,DNF, ,62.085, ,61.953, ,59.773, ,61.197, ,59.773,48,47.161,43,806
5,novice,FS,Wayne Tiffin,06 Ford/Mustang GT,64.016, ,61.234, ,59.437, ,58.859, ,70.436,(6),58.859,47,47.617,45,798
6,novice,SM,Chris Grimes,06 Subaru/WRX,59.642, ,74.918,(20),55.777, ,57.282,(2),61.807,(4),55.777,41,47.745,46,796
7,novice,AS,Al Blankenship,03 Honda/S2000,84.373,(20),62.064, ,60.073, ,58.065, ,57.673, ,57.673,45,48.330,47,787
8,novice,BP,David Donsbach,71 Datsun/510,59.255, ,55.848, ,56.054, ,56.907, ,55.834, ,55.834,42,48.352,48,786
9,novice,ES,Cassey Bauer,94 Mazda/Miata,66.848, ,63.120, ,60.829, ,62.463, ,61.287, ,60.829,50,49.393,49,770
1,street,DS,Mark Eddy,06 mazda/speed6,51.138, ,51.472, ,51.572, ,50.409, ,52.632,(2),50.409,20,40.529,11,938
2,street,ASP,Paul Morel,98 Porsche/Boxster,54.211,(2),50.598, ,51.024, ,49.114, ,48.650, ,48.650,9,41.742,18,911
3,street,ES,Michael Woodard,95 Mazda/Miata,53.429, ,53.458, ,52.377, ,52.748, ,53.173, ,52.377,31,42.530,23,894
4,street,CS,John Ellis,03 mazda/miata,54.484, ,52.793, ,52.182, ,51.875, ,52.213, ,51.875,26,42.641,24,892
5,street,DS,Amro Habib,05 INFINITI/G35 SEDAN,54.462,(2),53.353, ,55.750,(2),54.118, ,53.212, ,53.212,33,42.782,25,889
6,street,DS,Tom Fellows,05 BMW/325i,76.274,(20),58.619,(2),54.058, ,73.548,(20),56.768,(2),54.058,35,43.463,28,875
7,street,AS,Gary Collins,4 Porsche/Boxster,53.194, ,52.319, ,51.883, ,51.989, ,55.904,(2),51.883,27,43.478,29,874
8,street,ASP,Alona Baci,98 Porsche/Boxster,55.706,(2),53.502, ,53.528, ,51.675, ,53.938, ,51.675,25,44.337,32,858
9,street,ESP,Collin Mechler,06 Chevy/Camaro,56.576, ,54.808, ,53.601, ,54.501, ,58.191,(4),53.601,34,44.703,33,851
10,street,ES,Jon Matthias,94 Mazda/Miata,56.776, ,56.489, ,56.157, ,55.449, ,56.003, ,55.449,40,45.025,34,844
11,street,FS,Jim Bright,06 Ford/Mustang GT,56.517, ,60.491,(4),56.671, ,56.199, ,56.075, ,56.075,44,45.365,36,838
12,street,HS,Garnet Barrott,90 Acura/Integra,63.779, ,59.443, ,58.382, ,58.370, ,58.100, ,58.100,46,45.841,40,829
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
