"Here are the results! We had 51 competitors for the Event, and 34 time onlies.",,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,ASP,Ted Lewis,65 lotus/elan,49.638, ,49.072, ,49.746, ,51.222,(2),49.072,1,42.104,1,1000
2,PAX,STU,Chris Groppi,04 Sti,51.959, ,56.936,(4),52.612, ,52.695, ,51.959,4,42.658,2,987
3,PAX,STS,Jonathan Eddy,Subaru Impreza,54.188, ,53.376, ,56.723,(2),53.309, ,53.309,11,42.914,3,981
4,PAX,STU,Jay Balducci,05 Subaru/STI,60.619,(2),77.605,20,53.219, ,54.674,(2),53.219,10,43.693,6,964
5,PAX,STX,Mike Quigley,02 Subaru/WRX,54.641, ,54.408, ,54.396, ,54.412, ,54.396,15,43.952,8,958
6,PAX,SS,David Rock,01 Chevrolet/Corvette,54.316, ,52.364, ,56.450,(4),54.018, ,52.364,7,44.405,11,948
7,PAX,SS,Keith Lensch,01 Chevrolet/Corvette,56.887,(2),58.359,(4),54.995,(2),55.914,(2),54.995,18,46.636,27,903
8,PAX,CSP,Andy Ross,87 Porshce/944,82.451,(20),60.924, ,58.283, ,59.291, ,58.283,36,49.249,38,855
9,PAX,STU,David Hoffman,69 Ford/Mustang,72.064, ,90.933,(20),71.182, ,69.836, ,69.836,49,57.335,49,734
1,open,AS,Bruce Patterson,03 Honda/S2000,58.683, ,57.408, ,59.405, ,57.564, ,57.408,32,48.108,32,875
2,open,AS,Stuart Anderson,04 Porsche/Boxster,79.383,(20),59.705, ,58.208, ,59.539,(2),58.208,35,48.778,37,863
1,open,CS,Ralph Prince,99 mazda/miata,62.595, ,60.747, ,62.060, ,62.360, ,60.747,42,49.934,39,843
1,open,DS,Amro Habib,05 INFINITI/G35 SEDAN,57.196, ,56.437, ,55.765, ,56.040, ,55.765,24,44.835,16,939
1,open,ES,Jamal Brewer,95 Mazada/Miata,56.877,(2),54.175, ,54.945, ,78.642,(22),54.175,14,43.990,9,957
1,open,GS,David Webb,Mini,56.332, ,55.462, ,55.576, ,55.906, ,55.462,22,44.536,13,945
2,open,GS,Kris Tvedt,Toyota Celica,56.160, ,80.768,(24),56.533, ,56.823, ,56.160,28,45.096,19,934
1,open,HS,Dan Hawrylkiw,99 Toyota/Corolla,59.510,(2),59.193, ,85.201,(24),63.863,(4),59.193,39,46.703,28,902
1,open,ASP,Paul Morel,98 Porsche/Boxster,54.531, ,53.832, ,53.978, ,57.973,(4),53.832,12,46.188,25,912
1,open,CSP,Gene Sanders,93 Mazda/Miata,53.655, ,52.464, ,52.079, ,51.503, ,51.503,2,43.520,5,967
2,open,CSP,Mark Johnson,94 Mazda/Miata,53.057, ,52.877, ,52.952, ,52.271, ,52.271,5,44.169,10,953
3,open,CSP,Steve Steele,93 Mazda/Miata,56.538,(2),53.148, ,55.281,(2),56.059,(2),53.148,9,44.910,17,938
1,open,CP,Brian Weikert,85 Chevrolet/Camaro Z-28,60.184,(6),54.511,(2),999.000, ,51.886, ,51.886,3,44.830,15,939
2,open,CP,Richard Rippy,86 chevy/camaro,53.556, ,53.162, ,61.166, ,52.982, ,52.982,8,45.776,24,920
3,open,CP,Jesse Smith,,60.569, ,58.164, ,58.799, ,58.588, ,58.164,34,50.254,42,838
4,open,CP,Kenny Smith,,58.658, ,60.036, ,58.400, ,58.806, ,58.400,37,50.458,44,834
1,open,EM,Doug McBride,Rx7,59.145,(2),56.900, ,67.314, ,57.863,(2),56.900,30,50.015,40,842
1,open,STU,Ben Clement,05 Mitsubishi/Evo,54.931,(2),53.550,(2),52.273, ,54.117,(2),52.273,6,42.916,4,981
2,open,STU,Daniyar Murataliev,07 Mazda/Mazdaspeed3,58.152, ,58.550, ,59.096, ,57.405, ,57.405,31,47.130,29,893
