"Here are the results! We had 22 competitors for the Event, and no time onlies.",,,,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,AS,Rob Rockefeller,00 Honda/S2000,49.502, ,50.411, ,50.944,(2),57.115,(2),56.024, ,49.502,2,41.483,1,1000
2,PAX,SS,David Rock,01 Chevrolet/Corvette Z06,51.788, ,48.991, ,49.021, ,51.011,(2),49.266, ,48.991,1,41.544,2,999
3,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,55.988,(2),53.432, ,53.308, ,52.235, ,77.330,(22),52.235,6,42.049,3,987
1,open,SS,Keith Lensch,Whit Vette,52.630, ,52.353, ,49.821, ,71.202,(20),51.082, ,49.821,3,42.248,4,982
1,open,AS,Stuart Anderson,04 Porsche/Boxster,63.114, ,57.934,(2),56.395, ,55.658, ,54.970, ,54.970,14,46.065,14,901
1,open,CS,Ralph Prince,99 mazda/miata,66.883, ,58.685, ,58.928, ,59.122, ,59.235, ,58.685,19,48.239,17,860
2,open,CS,Robert Bedillion,06 Mazda Miata,91.784,(20),80.115, ,80.288, ,75.720, ,71.767, ,71.767,22,58.992,22,703
1,open,DS,Amro Habib,05 INFINITI/G35 SEDAN,54.240, ,53.876, ,53.042, ,55.550,(2),53.945, ,53.042,10,42.646,6,973
1,open,ES,Jamal Brewer,95 Mazda/Miata,57.733,(2),54.534, ,53.959, ,52.035, ,54.394,(2),52.035,5,42.252,5,982
2,open,ES,Gregory Brewer,95 Mazda/MX5 Miata,60.390, ,57.452, ,58.441,(2),56.031, ,68.186, ,56.031,16,45.497,13,912
1,open,HS,Dan Hawrylkiw,99 toyota/corolla,58.008, ,55.880, ,58.024,(2),54.489, ,55.487, ,54.489,11,42.992,8,965
1,open,CP,Matt Evans,98 Ford/Mustang GT,54.336, ,52.495, ,50.826, ,57.177,(6),53.135, ,50.826,4,43.914,10,945
2,open,CP,Kenny Smith,purple Camaro,57.249, ,DNF, ,55.602, ,58.298,(2),54.889, ,54.889,13,47.424,15,875
3,open,CP,Jesse Smith,purple Camaro,57.242, ,56.774,(2),59.590,(4),56.895,(2),55.785,(2),55.785,15,48.198,16,861
1,open,STU,Chris Groppi,04 Subaru/WRX STi,74.987,(20),53.240, ,54.864,(2),53.131, ,52.976, ,52.976,9,43.440,9,955
1,open,STX,Gary Ray,88 BMW/M3,55.293, ,54.488, ,53.210, ,53.581, ,52.858, ,52.858,8,42.709,7,971
1,ladies,ASP,Alona Bachi,98 Porsche /Boxster,67.432,(2),59.346, ,56.995, ,58.656,(2),56.757, ,56.757,17,48.698,18,852
2,ladies,CP,Melinda Evans,98 Ford/Mustang GT,61.841, ,59.922, ,59.795,(2),57.912, ,63.781,(2),57.912,18,50.036,21,829
1,novice,STS,David Foley,06 Silver Focus,64.000, ,68.022,(2),64.910, ,63.869, ,60.854, ,60.854,20,48.987,19,847
2,novice,FS,Wayne Tiffin,06 Ford/Mustang GT,64.391, ,64.329, ,62.165, ,62.346, ,61.377, ,61.377,21,49.654,20,835
1,street,CS,Harry Berzes,07 Mazda/MX5,58.099, ,56.720, ,55.896, ,54.548, ,54.758, ,54.548,12,44.838,11,925
2,street,ASP,Paul Morel,98 Porsche/Boxster,56.237,(2),53.160, ,52.724, ,55.211,(2),52.750, ,52.724,7,45.237,12,917
