Here are the results!,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts ,  
1,STX,Mike Quigley,02 Subaru/WRX,47.151, ,46.223, ,46.387, ,44.382, ,44.382,5,35.861,1,1000
2,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,50.159, ,46.277, ,45.450, ,45.576, ,45.450,10,36.587,2,980
3,STU,Chris Groppi,04 Subaru/WRX STi,45.642, ,47.430,(2),44.834, ,46.155, ,44.834,7,36.809,3,974
4,DS,Mark Eddy,06 Speed6,46.960, ,46.560, ,49.669,(4),46.017, ,46.017,12,36.998,4,969
5,SS,David Rock,01 Chevrolet/Corvette,43.639, ,44.034, ,45.007, ,44.580, ,43.639,3,37.006,5,969
6,F125,Brian Peters,99 KGB/Spy,40.842, ,43.731,(4),39.626, ,39.480, ,39.480,1,37.348,6,960
7,SS,Keith Lensch,chevrolet/corvette,50.361,(4),44.999, ,47.519,(2),48.949,(4),44.999,8,38.159,11,940
8,ASP,Ted Lewis,65 Lotus/Elan,45.354, ,45.612, ,44.680, ,45.390,(2),44.680,6,38.335,14,935
9,F125,Jay Balducci,1? KGB/Kart,48.849,(2),43.256, ,41.458, ,41.838, ,41.458,2,39.219,18,914
10,FJ4,Michelle Lensch,Sodi,55.134, ,56.537, ,DNS, ,DNS, ,55.134,49,46.919,51,764
1,AS,Bruce Patterson,03 Honda/S2000,49.557, ,48.188, ,47.757, ,47.139, ,47.139,20,39.502,20,908
1,CS,Brad Owen,99 Mazda/Miata,47.063, ,46.590, ,46.504, ,65.974,(20),46.504,14,38.226,12,938
2,CS,Ralph Prince,99 mazda/miata,58.671,(2),53.298, ,51.125, ,52.266,(2),51.125,39,42.025,36,853
1,DS,Amro Habib,07 infiniti g35,51.554, ,51.440, ,51.787, ,50.689, ,50.689,37,40.754,26,880
1,GS,Kris Tvedt,03 Toyota/Celica,49.582,(2),48.125,(2),47.455, ,46.712, ,46.712,18,37.510,8,956
1,BSP,Chris Sugar,06 Subaru/STi,51.690, ,50.748, ,49.331, ,47.980, ,47.980,22,40.927,29,876
1,CSP,Robert Lee,85 Pontiac/Fiero,50.323, ,76.194,(20),55.557,(4),49.637, ,49.637,32,41.943,35,855
1,CP,TG Watkins,85 chevy/camaro,48.516, ,56.734,(4),DNS, ,DNS, ,48.516,25,41.918,34,856
2,CP,Jesse Smith,67 Camaro,51.165, ,60.732,(2),51.665, ,49.583, ,49.583,30,42.840,42,837
3,CP,Kenny Smith,69 camaro,55.886,(2),51.163, ,50.521, ,49.876, ,49.876,34,43.093,43,832
1,EM,Tom Hill,88 Pontiac/Cadero,73.816,(20),51.848,(4),46.472, ,46.245, ,46.245,13,40.649,25,882
1,STS,Dan Hawrylkiw,99 toyota Corolla,51.804, ,53.661, ,49.501, ,48.606, ,48.606,26,39.128,16,917
1,STU,Daniyar Murataliev,07 Mazda/Speed3,50.780, ,50.649, ,49.471, ,49.622, ,49.471,29,40.616,24,883
2,STU,Jack Drummond,4 Dodge/SRT-4,51.299, ,51.514, ,50.751, ,50.184, ,50.184,35,41.201,31,870
1,STX,Gary Ray,88 Bmw/M3,47.444, ,46.558, ,46.802, ,46.583, ,46.558,15,37.619,9,953
2,STX,Jeffrey Israel,04 Volkswagen/Golf R32,48.586, ,48.504, ,48.597,(2),51.149,(4),48.504,24,39.191,17,915
1,SM2,Dave Skull,91 Toyota/MR2 /T,48.018, ,47.657, ,46.010, ,53.206, ,46.010,11,39.661,21,904
1,ASP,Mindi Cross,65 Lotus/Elan,47.440, ,46.642, ,45.338, ,43.899, ,43.899,4,37.665,10,952
2,BSP,Susan Love,04 Mitsubishi/EVO,51.173, ,49.893, ,49.300, ,48.877, ,48.877,27,41.692,33,860
1,STU,Harry Steiner,07 Mazda/Speed 3,58.091, ,50.489, ,50.532, ,49.867, ,49.867,33,40.941,30,876
2,AS,Fred Peterson,03 Honda/S2000,57.902,(4),50.299, ,53.128,(2),50.837, ,50.299,36,42.151,38,851
3,CS,Jim Williamson,00 Mazda/Miata,74.475,(20),54.299, ,53.006, ,51.831, ,51.831,43,42.605,41,842
4,STS,Thayer Keller,84 Scirocco,58.028, ,75.995,(20),54.591, ,54.300, ,54.300,47,43.712,44,820
5,GS,Denisa Casement,06 VW/GTi MKV,DNF, ,81.676,(20),58.025, ,54.806, ,54.806,48,44.009,45,815
6,ASP,Chris Kissel,65 factory five/cobra (replica),108.007,(22),52.569, ,58.053,(4),52.556, ,52.556,44,45.093,48,795
7,SS,Abram Young,00 Porsche/Carrera,92.476, ,55.770, ,74.206,(20),53.692, ,53.692,46,45.531,49,788
8,STU,Alex Rivera,05 Pontiac Gto,63.680, ,64.408, ,61.260, ,56.853, ,56.853,51,46.676,50,768
9,STU,Josh Brumfield,06 Chevy/Cobalt SS,DNF, ,84.778,(20),DNF, ,57.967, ,57.967,52,47.591,52,754
10,SM2,Peter Davis,99 mazda/mx5,DNF, ,87.975,(20),61.380, ,DNF, ,61.380,53,52.910,53,678
11,SM,Mike Wheaton,91 Honda/civic,78.168,(20),DNF, ,DNF, ,DNS, ,78.168,54,66.912,54,536
1,DS,Zachary Fellows,05 BMW/325i,50.872,(2),47.475, ,46.604, ,49.371,(2),46.604,17,37.470,7,957
2,CSP,Don Sattler,90 mazda/miata,65.421,(20),49.582,(4),66.376,(20),45.358, ,45.358,9,38.328,13,936
3,FS,Tom Fellows,07 BMW/335i,48.826, ,52.960,(2),49.021, ,48.203, ,48.203,23,38.996,15,920
4,CSP,Brian Clemons,06 Mazda/MX5,46.575, ,48.747,(2),48.340,(2),47.033, ,46.575,16,39.356,19,911
5,CSP,David Lahey,90 Mazda/Miata,50.077,(2),54.011, ,57.699,(4),47.131,(2),47.131,19,39.826,22,900
6,CS,Harry Berzes,07 Mazda/MX5,50.448, ,49.435, ,49.565, ,48.895, ,48.895,28,40.192,23,892
7,CS,John Ellis,03 mazda/miata,50.743, ,49.925, ,50.659, ,49.624, ,49.624,31,40.791,27,879
8,BSP,Rob Love,04 Mitsubishi/EVO,50.897, ,52.585,(2),54.715,(2),47.891, ,47.891,21,40.851,28,878
9,FS,Wayne Tiffin,06 Ford/Mustang GT,52.599, ,51.743, ,51.437, ,51.700, ,51.437,41,41.613,32,862
10,CS,Stuart Anderson,99 mazda/miata,52.013, ,52.488, ,51.159, ,57.966,(4),51.159,40,42.053,37,853
11,CS,Dave Hurt,04 Mazda/Miata,77.859,(20),51.681,(2),51.460,(2),52.037,(2),51.460,42,42.300,39,848
12,ESP,Nathan Crum,05 Subaru/Outback XT,74.150,(20),73.044,(20),70.147,(20),50.917, ,50.917,38,42.465,40,844
13,ESP,Shannon Schofield,90 Pontiac/Firebird,72.952,(20),55.489, ,53.160, ,53.692, ,53.160,45,44.335,46,809
14,HS,Dave Hymers,93 saturn sl2,62.330, ,59.166, ,56.773, ,56.204, ,56.204,50,44.345,47,809
1,F125,Brian Peters,99 KGB/Spy,38.724, ,38.207, ,37.831, ,38.184, ,37.831, ,35.788, ,1002
2,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,66.169,(20),45.266, ,45.408, ,44.725, ,44.725, ,36.004, ,996
3,STX,Mike Quigley,02 Subaru/WRX,47.049,(2),44.940, ,50.275,(2),48.737,(2),44.940, ,36.312, ,988
4,ASP,Ted Lewis,65 Lotus/Elan,43.496, ,42.972, ,46.015,(2),46.859,(4),42.972, ,36.870, ,973
5,GS,Kris Tvedt,03 Toyota/Celica,46.310, ,46.300, ,45.964, ,51.448,(2),45.964, ,36.909, ,972
6,STU,Chris Groppi,04 Subaru/WRX STi,45.110, ,46.891,(2),47.001,(4),81.952,(26),45.110, ,37.035, ,968
7,STX,Jeffrey Israel,04 Volkswagen/Golf R32,47.096, ,46.718, ,46.790, ,46.301, ,46.301, ,37.411, ,959
8,CS,Brad Owen,99 mazda/miata,47.262, ,50.778,(4),45.666, ,47.578, ,45.666, ,37.537, ,955
9,SS,David Rock,01 Chevrolet/Corvette,44.516, ,46.464,(2),48.074,(2),DNS, ,44.516, ,37.750, ,950
