"Here are the results! We had 60 competitors for the Event, and 29 time onlies.",,,,,,,,,,,,,,,,,
Series Event I,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,SS,David Rock,01 Chevrolet/Corvette,53.601,(2),51.940, ,50.480, ,50.374, ,50.374,1,42.717,1,1000
2,PAX,DS,Mark Eddy,06 mazda/speed6,56.105, ,55.209, ,54.869, ,54.621, ,54.621,7,43.915,3,973
3,PAX,STU,Chris Groppi,04 Subaru/WRX STi,54.502, ,54.037, ,56.393,(2),59.650,(6),54.037,5,44.364,4,963
4,PAX,STS,Jonathan Eddy,00 Subaru/Impreza 2.5RS,58.808, ,56.189, ,56.361, ,55.735, ,55.735,14,44.867,6,952
5,PAX,AS,Robert Rockefeller,00 Honda/S2000,57.865,(2),56.971,(2),59.299,(4),54.823, ,54.823,9,45.942,11,930
6,PAX,FM,Dan Hawrylkiw,Zink/Z-19,58.955,(2),61.276,(2),53.271, ,60.602,(2),53.271,3,47.411,23,901
7,PAX,SM,Bill (Dr Evo) Miskovic,06 Mitsubishi/Evolution,55.668, ,56.457, ,55.467, ,62.864,(2),55.467,13,47.480,26,900
8,PAX,BSP,Chris Sugar,06 Subaru/STi,59.824,(2),56.246, ,56.116, ,57.150, ,56.116,16,47.867,28,892
1,open,AS,Bruce Patterson,03 Honda/S2000,59.046, ,81.388,(20),58.449, ,57.193, ,57.193,24,47.928,30,891
1,open,CS,Ralph Prince,99 mazda/miata,95.321,(20),116.111,(20),64.815, ,94.022,(22),64.815,52,53.278,52,802
1,open,DS,David Vasquez,03 BMW/330i,62.055,(4),56.809, ,57.266, ,56.764, ,56.764,20,45.638,9,936
2,open,DS,Amro Habib,05 Infiniti/G35 sedan,58.407, ,60.314,(2),57.603, ,60.347,(2),57.603,30,46.313,18,922
3,open,DS,Kevin O'Neill,01 audi/tt,DNF, ,DNF, ,87.574,(20),66.671, ,66.671,58,53.603,54,797
1,open,FS,Wayne Tiffin,06 Ford/Mustang GT,64.679, ,63.743, ,63.089, ,63.256, ,63.089,49,51.039,41,837
1,open,GS,Kris Tvedt,03 Toyota/Celica,87.740,(20),57.228, ,57.316, ,63.010,(4),57.228,25,45.954,12,930
2,open,GS,Chris Sparling,02 Saab/9-3,58.164, ,58.964, ,58.386, ,57.528, ,57.528,29,46.195,16,925
1,open,ASP,Greg Toy,05 Lotus/Elise,63.947, ,58.350, ,58.431, ,58.043, ,58.043,32,49.801,37,858
2,open,ASP,Drew Closas,Vette,DNF, ,66.041, ,62.222, ,63.358, ,62.222,44,53.386,53,800
1,open,BSP,Rob Love,04 Mitsubishi/EVO,57.929,(2),55.209,(2),53.462, ,55.465, ,53.462,4,45.603,8,937
1,open,CP,Matt Evans,98 Ford/Mustang,56.639,(2),56.361,(2),55.061, ,58.033,(4),55.061,10,47.573,27,898
2,open,CP,Kenny Smith,67 Camaro,71.049,(10),63.443, ,61.341, ,60.314, ,60.314,38,52.111,45,820
3,open,CP,Jesse Smith,67 Camaro,74.861,(2),64.220,(2),71.758,(10),62.252, ,62.252,45,53.786,55,794
1,open,BM,Alan Wagstaffe,00 Legrand/Mk.25,90.482,(22),52.749, ,51.531, ,50.731, ,50.731,2,47.890,29,892
1,open,STS,Manfred Reysser,01 Toyot/Celica GT,58.415, ,57.772, ,57.390, ,60.844, ,57.390,27,46.199,17,925
1,open,STS2,Don Sattler,90 Mazda/Miata,57.316, ,56.874, ,56.131, ,57.140, ,56.131,17,45.242,7,944
2,open,STS2,David Lahey,91 Mazda/Miata,65.355,(2),57.652, ,59.092,(2),57.287, ,57.287,26,46.173,14,925
1,open,STU,Ben Clement,05 Mitsubishi/Evo,57.300,(2),54.471, ,56.333,(2),54.161, ,54.161,6,44.466,5,961
2,open,STU,James Hayden,04 Subaru/WRX STi,79.409,(20),77.178,(20),58.749, ,58.402, ,58.402,33,47.948,31,891
1,open,STX,Gary Ray,88 BMW/M3,77.610,(20),57.527, ,57.658, ,58.095, ,57.527,28,46.482,19,919
1,open,SM2,Dave Skull,91 Toyota/MR2 /T,57.048, ,55.139, ,55.593, ,54.748, ,54.748,8,47.193,22,905
1,open,FJ1,Michelle Lensch,Kart,66.249, ,56.808, ,60.777, ,55.172, ,55.172,11,43.586,2,980
1,ladies,STU,Teresa Clement,05 Mitsubishi/Evo,80.032,(20),57.251, ,56.055, ,58.322,(2),56.055,15,46.021,13,928
2,ladies,BSP,Susan Love,04 Mitsubishi/EVO,56.692, ,56.106, ,56.168, ,55.272, ,55.272,12,47.147,21,906
3,ladies,ASP,Alona Bachi,98 Porche/Boxster,63.667,(2),62.426,(2),82.281,(22),60.069, ,60.069,37,51.539,42,829
4,ladies,CP,Melinda Evans,98 Ford/Mustang,66.606, ,61.818, ,60.459, ,61.326, ,60.459,39,52.237,46,818
5,ladies,STX,Mary Burrow,87 BMW/325is,75.688, ,67.856, ,66.681, ,65.674, ,65.674,56,53.065,50,805
1,novice,CS,Jeff Hancock,99 Mazda/Miata,58.920, ,58.608, ,57.715, ,57.759, ,57.715,31,47.442,25,900
2,novice,STS,Chase Torres,98 Honda/Civic EX,63.823, ,63.665, ,62.889, ,83.935,(20),62.889,47,50.626,38,844
