The Spring series for 2007 is a best 2 out of 3 event series (no March event).,,,,,,,
,,,,,,,
PAX,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL
1,AS,Rob Rockefeller,1000,949, ,996,1996
2,STS,Jonathan Eddy,1000,967, ,958,1967
3,SS,David Rock,979,970, , ,1949
4,STX,Mike Quigley, ,982, ,961,1943
5,GS,Kris Tvedt,987,939, , ,1926
6,DS/BS,Doug Rowse,966,922, , ,1888
7,DSP,Clint Child, , , ,1000,1000
8,STU,Jay Balducci,999, , , ,999
9,DM,Mark Huffman,992, , , ,992
10,FSP,Jim Harnish, ,974, , ,974
11,BS,Elliot Speidell, ,972, , ,972
12,STU,Aytinc Akad, ,968, , ,968
13,XP,Fred Zust, , , ,965,965
14,SS,Bob Francis,852, , , ,852
15,AS,Kris Miller, ,811, , ,811
,,,,,,,
OPEN CLASSES,,,,,,,
RANK ,CLASS ,NAME ,JAN ,FEB ,MAR ,APR ,TOTAL
1,SS,Keith Lensch,944,935, , ,1879
2,SS,Kim Kemper,962, , , ,962
1,AS,Mena Tawadros, , , ,832,832
1,BS,Bryan Clodfelter, , , ,881,881
1,CS,John Ellis,877,881, , ,1758
2,CS,Ralph Prince,858, , , ,858
1,DS,David Vasquez, ,893, ,942,1835
1,ES,Jamal Brewer, , , ,950,950
2,ES,Greg Brewer, , , ,924,924
1,FS,Roy Coombes,953, , , ,953
2,FS,Don Hyland, ,930, , ,930
3,FS,Jim Bright,854, , , ,854
1,GS,Chris Sparling,964,930, , ,1894
1,ASP,Darrell Covert, ,885, , ,885
1,BSP,Rob Love,940,915, ,919,1859
2,BSP,Andy Lieber, ,1000, , ,1000
3,BSP,Kevin Crain,974, , , ,974
4,BSP,Jamal Brewer, ,832, , ,832
1,CSP,Zach Heidepriem,996, , ,973,1969
2,CSP,David Lahey,949,979, , ,1928
3,CSP,Don Sattler,931,978, , ,1909
4,CSP,Dawn Maxwell, ,969, , ,969
5,CSP,Derrick Disharoom, , , ,898,898
1,CP,Kenny Smith,895,862, ,862,1757
2,CP,Jesse Smith,874,858, ,841,1732
3,CP,Matt Evans, , , ,878,878
1,EP,Greg Duncan, , , ,830,830
1,FP,Enrique Aviles, ,859, , ,859
1,EM,Bill Schroeder,903, , , ,903
2,EM,Tom Hill, , , ,897,897
1,STS,Erich Eikenberry,961,900, ,934,1895
2,STS,Manfred Reysser,925, , ,946,1871
3,STS,Zach Fellows,954, , ,906,1860
4,STS,Jeff Williams, ,902, , ,902
1,STU,Chris Groppi,960,909, ,922,1882
2,STU,Aytinc Akad,982, , , ,982
3,STU,Ben Clement, , , ,979,979
4,STU,Derek Low, ,923, , ,923
1,STX,Gary Ray,970,948, ,932,1918
2,STX,Tim Wing, ,926, , ,926
3,STX,Jeffrey Israel, ,923, , ,923
1,SM,Matt Evans,930, , , ,930
2,SM,Tim Bergstrom, ,917, , ,917
3,SM,Matthew Evans, ,861, , ,861
4,SM,Gregory Brewer, ,793, , ,793
5,SM,Clayton Valentine, ,761, , ,761
