59 competitors & 38 time onlies.,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,AS,Rob Rockefeller,00 Honda/S2000,56.881,(2),54.886, ,56.361,(2),54.443, ,54.443,6,45.841,2,984
2,PAX,STS,Britt Dollmeyer,90 Honda/Civic Si,56.969, ,57.012, ,57.303, ,56.334, ,56.334,11,45.969,3,982
3,PAX,FS,Jim Bright,06 Ford/Mustang GT,56.099, ,58.882, ,58.852, ,57.675, ,56.099,10,46.057,4,980
4,PAX,STU,Chris Groppi,04 Subaru/WRX STi,57.596,(2),55.706, ,55.630, ,57.976,(2),55.630,9,46.173,5,977
5,PAX,XP,Fred Zust,05 Lotus/Elise,72.754,(20),52.712, ,53.223,(2),54.457, ,52.712,3,46.492,6,971
6,PAX,CSP,Kevin Gleaton,99 Mazda/Miata,54.624, ,55.413, ,59.065,(4),57.507,(2),54.624,7,46.758,7,965
7,PAX,STU,Jonathan Eddy,05 Subaru/Impreza WRX STi,DNF, ,58.253, ,57.557, ,57.085, ,57.085,14,47.381,8,952
8,PAX,ES,Michael Pertile,96 Mazda/Miata,59.100, ,58.307, ,58.178, ,58.092, ,58.092,15,47.461,9,951
9,PAX,CSP,Brad Owen,99 Mazda/Miata,55.540, ,58.085,(2),57.495,(2),59.302,(4),55.540,8,47.542,11,949
10,PAX,GS,Kris Tvedt,03 Toyota/Celica,86.447,(20),59.106, ,59.180, ,58.493, ,58.493,18,47.672,13,947
11,PAX,F125,Mark Eddy,99 kgb/spy ,75.589,(20),52.394, ,56.856,(4),52.307, ,52.307,2,49.587,28,910
12,PAX,CSP,Andy Ross,87 Porsche/944,63.366, ,61.084, ,60.075, ,62.012,(2),60.075,29,51.424,37,877
1,open,AS,Chris Sparling,08 Saturn/Sky,78.559,(20),58.372, ,68.350,(4),58.197, ,58.197,17,49.002,21,921
2,open,AS,Don Hyland,7 Saturn/Sky Red Line,59.270, ,61.104,(2),59.886, ,59.159, ,59.159,27,49.812,30,906
3,open,AS,Tom Boonen,08 Subaru/WRX STi,63.494, ,61.595, ,61.660, ,61.947, ,61.595,33,51.863,41,870
1,open,CS,Ralph Prince,99 Miata,93.558,(20),65.289, ,63.722, ,64.251, ,63.722,46,52.953,44,852
1,open,ES,Jamal Brewer,95 Miata,59.065, ,58.555, ,59.101,(2),58.123, ,58.123,16,47.486,10,950
2,open,ES,Sean Powers,95 mazda/Miata,63.690, ,64.454, ,63.394, ,63.348, ,63.348,45,51.755,40,872
1,open,CSP,David Lahey,91 Mazda/Miata,77.461,(20),57.326, ,56.655, ,56.569, ,56.569,12,48.423,17,932
1,open,CP,Kenny Smith,68 Chevy/Camaro,68.349,(2),64.587, ,63.244, ,63.137, ,63.137,43,54.550,52,827
1,open,BM,Alan Wagstaffe,00 Legrand/Dragon SR1,56.301, ,55.359, ,52.896, ,52.789, ,52.789,4,49.463,25,912
1,open,FM,Dan Hawrylkiw,86 Zink Z-19,71.364,(20),54.020,(2),50.417, ,53.260, ,50.417,1,45.123,1,1000
1,open,STS,Jacob Treguboff,01 Mitsubishi/Eclipse,DNF, ,66.191, ,83.350,(20),85.141,(20),66.191,52,54.012,49,835
1,open,STU,James Hayden,95 BMW/M3,80.030,(20),58.675, ,59.172, ,58.760, ,58.675,21,48.700,18,927
1,open,STX,Jeffrey Israel,04 Volkswagen/Golf R32,59.643, ,58.794, ,61.065,(2),61.812,(2),58.794,23,48.211,15,936
2,open,STX,Gary Ray,88 BMW/M3,60.014, ,60.747, ,58.923, ,59.708, ,58.923,25,48.317,16,934
3,open,STX,Dennis Lach,05 subaru/wrx wagon,91.454,(20),64.460, ,63.053, ,61.643, ,61.643,34,50.547,31,893
