"Here are the results! We had 37 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event IV,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,,Run 2 ,,Run 3 ,,Run 4 ,,Run 5 ,,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,STU,Clint Child,05 mitsubishi/evo,58.759,(6),51.856,(2),50.849,(2),47.651,,47.890,,47.651,3,39.550,1,1000
2,PAX,STU,Brian Peters,05 Subaru/STI,52.954,(4),47.730,,50.898,(2),49.086,,47.790,,47.730,4,39.616,2,998
3,PAX,XP,Fred Zust,05 Lotus/Elise,53.001,,47.450,,45.626,,47.365,,48.239,(2),45.626,1,40.242,4,983
4,PAX,STU,Ben Clement,05 Mitsubishi/Evo,50.972,,49.269,,49.362,,49.026,,48.512,,48.512,6,40.265,5,982
5,PAX,STX,Elliot Speidell,95 BMW/325,51.391,,50.928,,50.821,,49.674,,50.112,,49.674,11,40.733,7,971
6,PAX,GS,David Webb,06 MINI/Cooper S,53.324,(2),50.378,,52.027,(2),56.273,(6),50.134,,50.134,13,40.859,8,968
7,PAX,AS,Rob Rockefeller,00 Honda/S2000,49.839,,68.582,(20),48.759,,70.373,(22),67.891,(20),48.759,7,41.055,9,963
8,PAX,GS,Doug Rowse,06 MINI/Cooper S,50.496,,55.870,(6),51.621,(2),51.385,(2),55.885,(6),50.496,16,41.154,11,961
9,PAX,STU,Jay Balducci,05 Subaru/STI,72.861,(20),51.477,,50.709,,51.512,(2),49.646,,49.646,9,41.206,12,960
10,PAX,STU,Chris Groppi,04 Subaru/WRX STi,59.886,,51.691,,49.850,,50.014,,50.154,,49.850,12,41.376,14,956
11,PAX,STS,Mark Eddy,99 Subaru 2.5 RS,53.868,,53.698,,51.813,,53.953,(2),51.631,,51.631,21,42.131,19,939
12,PAX,AS,Bill Fisher,09 Honda/S2000,63.419,(4),52.411,(2),50.373,,50.167,,51.712,(2),50.167,14,42.241,21,936
13,PAX,STS,Jonathan Eddy,05 Subaru 2.5 RS,52.863,,54.230,(2),52.399,,55.811,(4),57.820,,52.399,26,42.758,22,925
14,PAX,GS,Kris Tvedt,03 Toyota/Celica,56.145,,53.919,,53.219,,53.078,,54.461,(2),53.078,29,43.259,26,914
15,PAX,BSP,John Yamasaki,05 Mazda/RX8,DNF,,59.442,,80.541,(22),57.183,,57.814,,57.183,34,49.063,36,806
1,open,AS,Bruce Patterson,03 Honda/S2000,57.784,(2),53.794,,52.466,,83.483,(22),52.351,,52.351,25,44.080,27,897
1,open,DS,Al Blankenship,05 Chrysler/Crossfire,85.446,(20),59.257,,58.433,,58.475,,75.777,(20),58.433,36,47.448,33,834
1,open,ES,Michael Pertile,96 Mazda/Miata,55.040,,53.382,,53.114,,52.350,,51.517,,51.517,20,42.089,18,940
1,open,CSP,Gene Sanders,06 mazda/miata,53.891,,52.223,,51.179,,50.199,,51.491,(2),50.199,15,42.970,23,920
1,open,STU,Wiggy Greacen,04 Subaru/WRX STi,53.429,(2),50.097,,49.463,,48.483,,DNS,,48.483,5,40.241,3,983
2,open,STU,David Lahey,04 Subaru/WRX Sti,52.847,(2),53.277,(2),49.934,,49.537,,DNS,,49.537,8,41.116,10,962
1,open,STX,Mike Quigley,02 Subaru/WRX,51.186,,52.973,(2),49.666,,50.009,,51.092,(2),49.666,10,40.726,6,971
2,open,STX,Jeffrey Israel,04 Volkswagen/Golf R32,52.717,,54.071,(2),53.109,(2),52.796,(2),51.216,,51.216,17,41.997,17,942
3,open,STX,Matt Evans,04 Subaru/WRX Wagon,56.266,,76.159,(20),55.710,(2),54.127,,52.693,,52.693,28,43.208,25,915
4,open,STX,Dennis Lach,05 subaru/wrx,57.507,,57.632,(2),56.362,,54.556,,54.273,,54.273,30,44.504,29,889
1,open,SM2,Stuart Anderson,99 Mazda/Miata,59.629,,58.012,,83.244,(22),57.225,,55.493,,55.493,33,48.112,35,822
1,ladies,XP,Diane Deanovic,05 Lotus/Elise,49.335,,47.956,,48.869,,48.056,,46.901,,46.901,2,41.367,13,956
