"Here are the results! We had 58 competitors for the Event, and 30 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,DSP,Doug Rowse,03 BMW/330,43.258, ,42.020, ,40.743, ,41.167, ,41.599, ,40.743,1,34.346,1,1000
2,PAX,DSP,Brian Peters,03 BMW/330i,41.656, ,41.542, ,41.291, ,43.351,(2),43.302,(2),41.291,3,34.808,2,987
3,PAX,STU,Ben Clement,05 Mitsubishi/Evo,43.117, ,42.780, ,42.224, ,42.334, ,42.680, ,42.224,4,35.046,3,980
4,PAX,STU,Chris Groppi,04 Subaru/WRX STi,44.186, ,44.529, ,43.524, ,42.888, ,44.612, ,42.888,7,35.597,4,965
5,PAX,STU,Jonathan Eddy,05 Subaru/WRX STi,63.928,(20),63.084,(20),44.648,(2),43.004, ,43.475, ,43.004,8,35.693,5,962
6,PAX,STX,Mike Quigley,02 Subaru/WRX,65.000,(20),44.451, ,48.243,(4),44.128, ,43.787, ,43.787,9,35.905,6,957
7,PAX,AS,Rob Rockefeller,00 Honda/S2000,44.679, ,43.575, ,43.715, ,43.398, ,42.646, ,42.646,6,35.908,7,956
8,PAX,XP,Fred Zust,05 Lotus/Elise,63.576,(20),40.764, ,41.544, ,41.456, ,41.218, ,40.764,2,35.954,8,955
9,PAX,GS,Kris Tvedt,03 Toyota/Celica,67.020,(20),44.972, ,44.623, ,44.792, ,DNS, ,44.623,15,36.368,12,944
10,PAX,AS,Fred Peterson,03 Honda/S2000,52.571, ,71.069,(20),73.743,(24),48.191, ,49.485,(2),48.191,40,40.577,41,846
1,open,SS,Peter Drubin,06 Lotus/Exige,58.722,(2),48.332, ,47.945, ,47.602, ,DNF, ,47.602,37,40.557,40,847
1,open,AS,Bruce Patterson,03 Honda/S2000,46.311, ,44.971, ,46.488, ,45.818, ,45.401, ,44.971,19,37.866,22,907
2,open,AS,Chris Sparling,08 Saab 9-3,47.314,(2),45.960, ,45.056, ,45.963, ,45.885, ,45.056,20,37.937,24,905
3,open,AS,Keith Lensch,00 Honda/S2000,51.501, ,45.353, ,45.404, ,45.675, ,50.053,(4),45.353,22,38.187,26,899
1,open,CS,Ralph Prince,99 mazda/miata,74.233,(20),78.045,(20),58.269, ,70.502,(20),51.086, ,51.086,50,42.452,51,809
1,open,DS,Mark Eddy,06 Mazda/Speed 6,47.457, ,DNF, ,DNS, ,DNS, ,DNS, ,47.457,36,38.535,29,891
2,open,DS,Al Blankenship,05 Chrysler/Crossfire,73.835,(20),70.621,(20),50.329, ,50.302, ,50.116, ,50.116,47,40.694,42,844
1,open,GS,Matt Evans,99 VW/Passat,49.642, ,49.031,(2),50.058,(2),46.595, ,46.960, ,46.595,31,37.975,25,904
1,open,ASP,Chris Kissel,65 ffr/cobra,47.623, ,46.705, ,47.513, ,51.128,(4),46.700,(2),46.700,32,40.255,38,853
1,open,CSP,Gene Sanders,06 Mazda/Miata,47.111, ,65.325,(20),63.923,(20),44.353, ,44.198, ,44.198,11,37.833,21,908
2,open,CSP,Cliff Orbach,88 porsche/924S,66.565,(20),68.608,(20),48.497, ,45.741, ,44.913, ,44.913,16,38.446,28,893
3,open,CSP,Stuart Anderson,99 Mazda/Miata,48.121, ,49.509,(4),68.688,(20),45.478, ,45.748, ,45.478,23,38.929,31,882
1,open,STS,Alex Fisher,84 BMW/325,51.512, ,50.760, ,49.308, ,48.471, ,54.676,(4),48.471,42,39.552,35,868
2,open,STS,Tony Fisher,84 BMW/325,79.736,(20),DNF, ,56.305, ,53.433, ,52.183, ,52.183,53,42.581,53,807
1,open,STU,James Hayden,95 BMW/M3,45.804, ,49.849,(4),45.034, ,44.309, ,44.816, ,44.309,13,36.776,14,934
1,open,STX,Erich Eikenberry,02 Subaru/WRX,45.614, ,44.507, ,44.452, ,44.283, ,47.144,(2),44.283,12,36.312,9,946
2,open,STX,Gary Ray,88 BMW/M3,45.832, ,45.473, ,45.824, ,44.953, ,45.301, ,44.953,18,36.861,15,932
3,open,STX,Jeff Israel,04 VW/R32,47.367, ,47.293,(2),45.907, ,45.294, ,50.006,(4),45.294,21,37.141,17,925
1,open,SM2,David Skull,91 Toyota/MR2,46.711,(2),44.811, ,65.538,(20),44.137, ,44.308, ,44.137,10,38.267,27,898
1,ladies,XP,Diane Deanovic,05 Lotus/Elise,43.895, ,43.357, ,42.255, ,45.953, ,44.023, ,42.255,5,37.269,18,922
2,ladies,CSP,Roberta Orbach,88 porsche/924S,49.889, ,49.443, ,49.917, ,48.654, ,48.401, ,48.401,41,41.431,46,829
1,novice,HS,Brock Palmer,02 Honda/Civic LX,53.864, ,53.478,(2),50.728,(2),50.671, ,49.431, ,49.431,44,39.149,33,877
2,novice,CSP,Kim Unger,83 porsche/944,50.270, ,49.022,(2),47.715, ,45.932, ,66.371,(20),45.932,27,39.318,34,874
3,novice,AS,Trevor Davis,07 Pontiac/Solstice,47.152, ,49.717, ,49.351, ,49.969,(2),48.390, ,47.152,35,39.702,37,865
4,novice,SM2,Jon Figueroa,70 Datsun/240z,47.283, ,46.718, ,DNS, ,DNS, ,DNS, ,46.718,33,40.505,39,848
5,novice,DS,Andrew Andazola,08 Dodge/Caliber,74.349,(20),55.059,(2),50.379, ,70.660,(20),58.017, ,50.379,48,40.908,43,840
6,novice,BSP,John Yamasaki,05 Mazda/RX-8,50.375, ,48.118, ,48.047, ,48.581, ,48.898,(2),48.047,39,41.224,44,833
7,novice,HS,Bill Lewis,02 Honda/Civic LX,87.322,(20),DNF, ,55.087, ,53.023, ,52.406, ,52.406,54,41.506,47,827
8,novice,GS,Frank Avitia,03 Mini/Cooper,51.695, ,73.694,(22),52.158, ,52.996,(2),73.113,(22),51.695,51,42.131,48,815
9,novice,STS,Dave Hymers,95 Subaru/Impreza,58.046,(4),51.877, ,52.612, ,52.231, ,52.327, ,51.877,52,42.332,49,811
