"Here are the results! We had 43 competitors for the Event, and 28 time onlies.",,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
1,PAX,XP,Fred Zust,05 Lotus/Elise,36.992, ,35.876, ,35.582, ,40.019,(4),35.701, ,35.582,1,31.383,1,1000
2,PAX,CSP,Brian Peters,06 Mazda/MX-5,40.751,(2),39.164,(2),37.044, ,39.404,(2),39.405,(2),37.044,3,31.710,2,990
3,PAX,AS,Rob Rockefeller,00 Honda/S2000,43.811,(4),39.307, ,41.305,(2),38.374, ,38.728, ,38.374,5,32.311,5,971
4,PAX,STU,Ben Clement,05 Mitsubishi/Evo,40.373, ,40.096, ,39.661, ,39.021, ,39.236, ,39.021,9,32.387,6,969
5,PAX,SS,David Rock,01 Chevy/Corvette,38.727, ,42.060,(2),39.106, ,38.508, ,38.917, ,38.508,6,32.809,10,957
6,PAX,SS,Larry Petrucci,01 Chevy/corvette,40.302, ,42.235,(2),38.807, ,39.063, ,39.513, ,38.807,7,33.064,11,949
7,PAX,STU,Jonathan Eddy,05 Subaru/WRX STi,41.318, ,40.488, ,40.290, ,44.525,(4),39.882, ,39.882,14,33.102,13,948
8,PAX,CSP,Jay Balducci,06 Mazda/MX-5,40.059, ,60.672,(20),40.194, ,41.866,(2),38.965, ,38.965,8,33.354,14,941
9,PAX,GS,David Webb,06 Mini Cooper S,42.210, ,41.824, ,41.706, ,41.072, ,42.166, ,41.072,19,33.474,16,938
1,open,AS,Chris Sparling,08 Saturn/Sky,41.310, ,41.205, ,40.987, ,42.693,(2),41.702, ,40.987,18,34.511,22,909
2,open,AS,Bruce Patterson,03 Honda/S2000,43.085, ,65.775,(22),42.705, ,42.298, ,41.806, ,41.806,23,35.201,25,892
1,open,CS,Ralph Prince,99 mazda/miata,DNF, ,66.404,(20),84.200,(20),47.480, ,45.929, ,45.929,34,38.167,33,822
1,open,DS,Brady Dohrmann,98 Acura/Integra,41.911, ,40.187, ,63.089,(20),39.996, ,40.549, ,39.996,15,32.477,7,966
2,open,DS,Al Blankenship,05 Chrysler/Crossfire,DNF, ,49.174, ,47.980, ,47.583, ,47.105, ,47.105,37,38.249,34,820
1,open,ES,Jamal Brewer,95 Mazda/Miata,42.307, ,42.561,(2),40.380, ,39.825, ,39.171, ,39.171,10,32.003,3,981
1,open,GS,Matt Evans,99 VW/Passat,46.174, ,44.283, ,44.525,(2),42.757, ,41.846, ,41.846,24,34.104,21,920
1,open,CSP,Gene Sanders,06 Mazda/Miata,52.894,(4),39.106, ,39.054, ,38.478, ,38.158, ,38.158,4,32.663,9,961
1,open,BP,Chris Carroll,68 FORD/MUSTANG,50.743, ,60.565, ,47.579, ,46.330, ,46.136, ,46.136,35,39.954,38,785
1,open,STU,James Hayden,95 BMW/M3,40.948, ,39.850, ,39.961, ,40.414, ,40.079, ,39.850,13,33.076,12,949
1,open,STX,Erich Eikenberry,02 Subaru/WRX,42.093, ,43.209, ,41.524, ,40.880, ,40.907, ,40.880,17,33.522,17,936
2,open,STX,Gary Ray,88 BMW/M3,47.464,(4),41.989, ,41.301, ,41.146, ,41.113, ,41.113,20,33.713,19,931
3,open,STX,Jeffrey Israel,04 Volkswagen/Golf R32,44.779,(4),43.648,(2),43.526,(2),41.960, ,41.417, ,41.417,22,33.962,20,924
1,open,SM,Daniel Reed,87 Ford/Ranger,48.746, ,47.293, ,47.188, ,46.211, ,45.221, ,45.221,32,38.890,35,807
1,open,SM2,David Skull,91 Toyota/MR2,41.792, ,41.240, ,40.303, ,39.999, ,40.354, ,39.999,16,34.679,23,905
1,ladies,XP,Diane Deanovic,05 Lotus/Elise,40.746, ,39.461, ,38.034, ,37.628, ,36.530, ,36.530,2,32.219,4,974
2,ladies,GS,Melinda Evans,99 VW/Passat,DNF, ,70.144,(20),51.380,(2),67.250,(20),68.841,(20),51.380,42,41.875,42,749
1,novice,SM2,Jon Figueroa,70 Datsun/240z,63.911,(20),61.179,(20),64.997,(20),42.552, ,42.588, ,42.552,26,36.893,28,851
2,novice,AS,Trevor Davis,07 Pontiac/Solstice,69.245,(20),49.772, ,47.801, ,46.945, ,45.184, ,45.184,31,38.045,31,825
3,novice,HS,Mark Teng,08 Hyundai Sonata,52.099, ,68.302,(20),49.759, ,49.352, ,49.808, ,49.352,41,39.087,36,803
4,novice,STS,Nick Schaffer,06 Subaru/2.5i,DNF, ,52.680,(2),48.698, ,49.827,(2),50.287,(2),48.698,39,39.738,37,790
5,novice,AS,Phil Rios,96 Chevy/Corvette,53.596, ,51.996,(2),50.110, ,48.660, ,47.600, ,47.600,38,40.079,40,783
6,novice,BSP,John Yamasaki,05 Mazda/RX8,51.569, ,68.527,(20),70.184,(20),46.933, ,47.695, ,46.933,36,40.269,41,779
7,novice,BS,Bruce Hazen,05 Mini/Cooper S,DNF, ,DNF, ,64.214, ,52.770, ,72.270,(20),52.770,43,43.905,43,715
1,street,FS,Jim Bright,06 Ford/Mustang GT,41.087, ,41.024, ,39.963, ,42.608,(2),39.600, ,39.600,12,32.512,8,965
2,street,DS,Jeff Deerinwater,08 Mazda/Mazdaspeed3,44.623, ,42.932, ,42.927, ,42.713, ,41.146, ,41.146,21,33.411,15,939
3,street,BSP,Greg Rubenstein,04 Subaru/WRX STi,41.923, ,40.071, ,39.289, ,39.837, ,40.223, ,39.289,11,33.710,18,931
4,street,FS,Mark Eddy,Infiniti G35,61.960,(20),60.334,(20),61.487,(20),43.170,(2),42.456,(2),42.456,25,34.856,24,900
5,street,ES,Mike Woodard,95 Mazda/Miata,48.785, ,44.841, ,43.731, ,43.350, ,43.102, ,43.102,28,35.214,26,891
6,street,CSP,Andy Ross,87 Porsche/944,44.600, ,43.233, ,42.699, ,46.845,(4),42.769, ,42.699,27,36.550,27,859
7,street,STS,Brian Bilbo,97 Honda/Civic,50.516, ,46.530, ,46.276, ,45.631, ,46.719, ,45.631,33,37.235,29,843
8,street,CSP,Stuart Anderson,99 mazda/miata,44.811, ,44.661, ,43.852, ,45.814, ,44.474, ,43.852,29,37.537,30,836
9,street,SM2,Michael Patterson,88 Nissan/300ZX,51.760, ,58.978,(12),45.778, ,44.831, ,44.007, ,44.007,30,38.154,32,823
10,street,DS,Robert Jameson,04 BMW/330Ci,73.051,(20),DNF, ,49.224, ,68.876,(20),DNF, ,49.224,40,39.970,39,785
 ,TO,DS,Brady Dohrmann,98 Acura/Integra,39.901, ,41.046, ,41.498, , , , , , , , , , 
 ,TO,CSP,Brian Peters,06 Mazda/MX-5,39.096, ,37.577,(2),37.526, , , , , , , , , , 
 ,TO,STS,Nick Schaffer,06 Subaru/2.5i,48.909, ,48.975,(2),46.938, ,46.310, , , , , , , , 
 ,TO,SS,Larry Petrucci,01 Chevy/corvette,39.597, ,61.640, , , , , , , , , , , , 
 ,TO,HS,Mark Teng,Purple Hyundai,49.038, ,48.721, ,49.344, ,47.827, , , , , , , , 
 ,TO,STX,Jeffrey Israel,04 Volkswagen/Golf R32,42.645, ,41.471, ,41.286, ,41.354, ,40.945, , , , , , 
 ,TO,XP,Fred Zust,05 Lotus/Elise,35.700, ,35.485, ,DNF, ,36.842, ,37.442, , , , , , 
 ,TO,AS,Trevor Davis,07 Pontiac/Solstice,47.438, ,46.434,(20),44.943, ,43.075, , , , , , , , 
 ,TO,CSP,Jay Balducci,06 Mazda/MX-5,38.532,(2),38.992, ,49.186, ,37.038,(4), , , , , , , 
 ,TO,STU,James Hayden,95 BMW/M3,40.383, ,40.081, ,39.059, ,DNF, ,39.145, , , , , , 
 ,TO,SM2,David Skull,91 Toyota/MR2,40.086, ,40.057,(2), , , , , , , , , , , 
 ,TO,BSP,John Yamasaki,05 Mazda/RX8,48.594, ,46.301, ,44.993, ,42.626, , , , , , , , 
 ,TO,AS,Chris Sparling,08 Saturn/Sky,40.088, ,40.397, ,40.374, ,40.158, , , , , , , , 
 ,TO,XP,Diane Deanovic,05 Lotus/Elise,37.269, ,35.489,(2), , , , , , , , , , , 
 ,TO,SM,Daniel Reed,87 Ford/Ranger,44.359, ,43.668, ,43.074,(20),43.299, , , , , , , , 
 ,TO,BS,Bruce Hazen,05 Mini/Cooper S,DNF, , , , , , , , , , , , , , 
 ,TO,SS,David Rock,01 Chevy/Corvette,39.516, ,39.042, ,38.755, ,42.132, ,39.002, , , , , , 
 ,TO,STU,Jonathan Eddy,05 Subaru/WRX STi,40.083, ,41.737,(20),41.643, ,39.925, ,39.696, , , , , , 
 ,TO,GS,Matt Evans,99 VW/Passat,42.292, ,43.398, ,43.019, ,42.717, ,42.408, , , , , , 
 ,TO,AS,Rob Rockefeller,00 Honda/S2000, , ,40.502,(4),38.227,(2),40.816,(24),40.261, , , , , , 
 ,TO,BP,Chris Carroll,68 FORD/MUSTANG, , ,49.640, , , , , , , , , , , , 
 ,TO,CSP,Andy Ross,87 Porsche/944,43.143, ,42.556, ,42.310, ,42.603, ,42.351, , , , , , 
 ,TO,AS,Bruce Patterson,03 Honda/S2000, , ,41.629, ,41.497, ,40.906, ,40.767, , , , , , 
 ,TO,DS,Al Blankenship,05 Chrysler/Crossfire, , ,46.792, ,46.076, ,48.826, ,46.383,(20), , , , , 
