
AZBR SCCA SPRING SERIES 2009 - EVENT VI,,,,,,,,,,,,,,,,
Rank,Class,Name,Year/Make/Model,Run 1,,Run 2,,Run 3,,Run 4,,Best Time,Time Rank,PAX Time,PAX Rank,Cls Pts
PAX Class,,,,,,,,,,,,,,,,
1,STU,Ben Clement,05 Mitsubishi/Evo,49.497,,49.319,,48.745,,70.700,(22),48.745,2,40.751,1,1000
2,STU,Chris Groppi,04 Subaru/WRX STi,49.084,,49.544,,49.151,,53.027,(4),49.084,3,41.034,2,993
3,AS,Bill Fisher,08 Honda/S2000,50.609,,49.602,,56.259,(6),50.443,,49.602,5,41.814,3,975
4,STU,Jonathan Eddy,05 Subaru/WRX STi,52.925,,50.397,,52.383,(2),50.134,,50.134,8,41.912,4,972
5,XP,Fred Zust,05 Lotus/Elise,71.674,(22),50.167,(2),68.363,(20),48.001,,48.001,1,42.337,6,963
6,AS,Rob Rockefeller,08 Honda/S2000,51.090,,71.893,(20),50.278,,51.702,(2),50.278,9,42.384,7,961
7,ST,David Rock,01 Toyota/Celica,52.799,,54.909,(2),52.260,,51.825,,51.825,12,42.393,8,961
8,CSP,Mark Johnson,94 Mazda/Miata,49.790,,49.731,,51.477,(2),49.242,,49.242,4,42.447,9,960
9,STX,Mike Quigley,02 subaru/wrx,53.303,,72.757,(20),78.794,(26),56.369,(4),53.303,17,43.815,12,930
10,ES,Jamal Brewer,95 Mazda/Miata R,61.221,(4),54.782,,73.671,(20),53.770,,53.770,18,44.253,15,921
11,BSP,John Yamasaki,05 Mazda/RX-8,64.398,(6),65.098,(4),64.599,,80.504,(22),64.398,54,55.318,56,737
Open Classes,,,,,,,,,,,,,,,,
1,AS,Bruce Patterson,03 Honda/S2000,52.778,,52.751,,80.773,(22),52.076,,52.076,13,43.900,13,928
2,AS,Chris Sparling,08 Saturn/Sky,53.058,,53.041,,52.915,,53.613,,52.915,15,44.607,16,914
3,AS,Nathan Crum,08 Subaru/WRX STI,76.963,(20),59.365,(2),52.996,,53.435,,52.996,16,44.676,18,912
1,CS,Larry Burrow,99 Mazda/Miata 10AE,56.283,(2),60.327,,54.003,,55.570,(2),54.003,22,45.201,22,902
1,DS,Al Blankenship,05 Chrysler/Crossfire,77.591,(20),DNF,,DNF,,80.101,(20),77.591,57,63.547,57,641
1,FS,Fred Petersen,08 BMW/335i,58.565,,55.064,,54.961,,54.319,,54.319,24,45.248,23,901
1,HS,Ian Peterson Schnell,91Honda/Accord,DNF,,80.783,(20),63.195,(2),64.055,(4),63.195,53,50.682,49,804
1,BSP,James Hayden,95 BMW/M3,53.577,(2),49.801,,49.635,,53.407,(4),49.635,6,42.636,10,956
1,ST,Kurt Brown,99 Honda/Civic,59.039,(2),64.612,(4),58.819,(2),58.724,(2),58.724,43,48.036,37,848
1,STU,Don Sattler,88 Toyota/Celica Alltrac,54.516,,54.233,,53.770,,53.846,,53.770,19,44.952,19,907
2,STU,Greg Duncan,88 Toyota/Celica Alltrac,65.444,,60.919,,57.489,,54.774,,54.774,26,45.791,26,890
1,STX,Dennis Lach,05 subaru/wrx wagon,60.155,(4),75.883,(20),77.307,(20),76.739,(20),60.155,48,49.447,46,824
Ladies Class,,,,,,,,,,,,,,,,
1,STU,Teresa Clement,05 Mitsubishi/Evo,57.819,(6),50.372,,53.918,(4),54.011,(4),50.372,10,42.111,5,968
2,CSP,Dawn Maxwell,94 Mazda/Miata,74.521,(20),50.803,,49.733,,49.811,,49.733,7,42.870,11,951
3,XP,Diane Deanovic,05 Lotus/Elise,51.500,,53.413,(4),50.995,,DNF,,50.995,11,44.978,20,906
4,CS,Mitzi Burrow,99 Mazda/Miata 10AE,59.639,,77.496,(20),78.263,(20),81.691,(22),59.639,46,49.918,48,816
Novice Class,,,,,,,,,,,,,,,,
1,STS,Markos Mylonas,05 Subaru/Impreza 2.5RS,55.214,,60.212,(6),DNF,,61.010,(6),55.214,28,45.275,24,900
2,STU,Eric Cox,04 Subaru/Impreza WRX STI,80.391,(20),77.299,(20),57.550,(2),55.264,,55.264,29,46.201,27,882
3,ESP,Will Chun,07 Subaru/WRX Wagon,62.109,(2),58.070,,58.954,(2),55.042,,55.042,27,46.566,28,875
4,SM,Jana Sutton,04 Mini/Cooper S,55.383,,55.026,,54.183,,53.841,,53.841,20,46.680,29,873
5,ST,Thayer Keller,84 VW/Scirocco,60.355,,57.937,,57.215,,59.636,(2),57.215,37,46.802,30,871
6,AS,Andrew Guibard,03 Honda/S2000,58.237,,55.803,,61.275,(6),60.695,(6),55.803,32,47.042,32,866
7,ST,Charles Butzine,08 Honda/Civic Si,86.800,(20),65.136,,62.012,,58.347,,58.347,42,47.728,36,854
8,FS,Justin Floyd,08 DODGE/CHARGER R/T,61.671,,66.922,(2),DNF,,57.861,,57.861,41,48.198,39,845
