
AZBR SCCA Summer Series 2009 - EVENT IV,,,,,,,,,,,,,,,,
Rank,Class,Name,Year/Make/Model,Run 1,,Run 2,,Run 3,,Run 4,,Best Time,Time Rank,PAX Time,PAX Rank,Cls Pts
PAX Class,,,,,,,,,,,,,,,,
1,AS,Rob Rockefeller,08 Honda/S2000,49.178,(2),46.781,,66.697,(20),49.455,,46.781,1,39.436,1,1000
2,STX,Mike Quigley,02 subaru/wrx,50.695,,51.049,(2),48.720,,48.516,,48.516,4,39.880,2,989
3,ST,Clint Child,01 toyota/celica,50.706,,49.415,,49.220,,53.254,(4),49.220,5,40.262,3,979
4,AS,Bill Fisher,08 Honda/S2000,48.270,,51.411,(4),51.682,(4),49.077,,48.270,3,40.692,4,969
5,ST,Ben Clement,01 toyota/celica,73.438,(22),50.844,,50.225,,54.162,(4),50.225,6,41.084,5,960
6,GS,Kris Tvedt,03 Toyota/Celica,52.378,(2),50.733,,51.781,(2),53.231,(2),50.733,8,41.652,7,947
7,ST,Keith Lensch,01 toyota/celica,75.012,(22),52.973,,50.993,,51.226,,50.993,9,41.712,8,945
8,ST,Britt Dollmeyer,90 Honda/Civic Si,51.603,(2),56.987,(8),51.122,(2),52.948,(4),51.122,11,41.818,9,943
9,ST,David Rock,01 Toyota/Celica,73.184,(22),52.110,(2),55.222,(6),51.956,(2),51.956,15,42.500,10,928
10,ES,Jamal Brewer,95 Mazda/Miata R,54.536,,51.650,,53.631,(2),57.174,(6),51.650,13,42.508,11,928
11,ST,Tim Bergstrom,90 Honda/Civic Si,52.895,,55.181,(4),52.195,(2),53.097,(2),52.195,17,42.696,14,924
12,FS,Jim Bright,06 Ford/Mustang GT,53.845,(4),52.505,(2),51.932,(2),53.276,(2),51.932,14,43.259,16,912
Open Classes,,,,,,,,,,,,,,,,
1,SS,John Carson,06 Lotus/Elise,74.333,(20),61.183,,54.204,,52.845,,52.845,20,45.235,24,872
1,AS,Bruce Patterson,03 Honda/S2000,51.960,,53.164,(2),52.781,(2),50.460,,50.460,7,42.538,12,927
2,AS,Chris Sparling,08 Saturn/Sky,51.444,,56.155,(4),51.038,,51.699,,51.038,10,43.025,15,917
3,AS,Nathan Crum,08 Subaru/Sti,54.159,,56.123,(4),56.825,(4),54.950,(4),54.159,28,45.656,26,864
