The Fall Series for 2009 is a best 3 out of 4 event series.,,,,,,,
,,,,,,,
PAX Class,,,,,,
Rank,Class,Name,Sep,Oct,Total
1,STU,Ben Clement,979,1000,1979
2,ST,David Rock,980,998,1978
3,F125,Keith Lensch,918,986,1904
4,STU,Clint Child,1000,,1000
5,XP,Fred Zust,997,,997
6,AS,Rob Rockefeller,,964,964
7,STU,Jonathan Eddy,962,,962
8,AS,Bill Fisher,,952,952
9,STU,Mike Quigley,,939,939
10,ST,Britt Dollmeyer,929,,929
11,ASP,Ted Lewis,913,,913
12,FS,Jim Bright,903,,903
13,AS,Nathan Crum,897,,897
14,ST,Kurt Brown,861,,861
Open Classes,,,,,
Rank,Class,Name,Sep,Oct,Total
1,SS,John Carson,871,908,1779
1,AS,Bruce Patterson,896,883,1779
1,CS,Ralph Prince,811,801,1612
1,FS,Fred Petersen,897,916,1813
1,BSP,John Yamasaki,,868,868
1,CSP,Gene Sanders,881,,881
1,FSP,Shannon Schofield,900,,900
1,ST,Amro Habib,937,931,1868
2,ST,Brock Palmer,899,920,1819
3,ST,Tim Bergstrom,936,,936
4,ST,Andy Ross,932,,932
5,ST,Arnaldo (Naz) Nazario,907,,907
6,ST,Thayer Keller,,864,864
1,STR,Larry Burrow,923,955,1878
2,STR,James Hayden,885,916,1801
3,STR,Jay Balducci,956,,956
4,STR,Matt Soeffner,927,,927
1,STU,Tim Bergstrom,,970,970
1,STX,Dennis Lach,851,,851
1,SSM,Dave Skull,886,920,1806
Ladies Class,,,,,
Rank,Class,Name,Sep,Oct,Total
1,STU,Teresa Clement,943,957,1900
2,STR,Mitzi Burrow,878,,878
Novice Class,,,,,
Rank,Class,Name,Sep,Oct,Total
1,ES,Omar Gutierrez,845,874,1719
2,STU,David Lacasse,798,847,1645
3,STS,Keith Garaas,784,822,1606
4,BS,Seth Stephenson,737,844,1581
5,BS,Andrew Haberbusch,712,802,1514
6,DS,John Leonhardt,896,,896
7,STU,Will Chun,,879,879
8,ASP,Dustin Freeman,870,,870
9,GS,Nathan Welborne,829,,829
10,ASP,Mike Esser,808,,808
11,AS,Ian Reves,793,,793
12,HS,Danny Hardy,766,,766
13,F125,Peter Drubin,749,,749
14,ES,Brady Johnson,,748,748
15,DS,Alec Schemenauer,743,,743
16,FS,Alina Wong,,670,670
17,DS,David Gunter,627,,627
18,FS,Philip Carhuff,573,,573
Street Class,,,,,
Rank,Class,Name,Sep,Oct,Total
1,AS,Chris Sparling,910,932,1842
2,DSP,Jeff Israel,902,937,1839
3,CS,Thomas Martell,912,911,1823
4,SM,Jana Sutton,892,905,1797
5,AS,Tom Reed,,899,899
6,ES,Jamal Brewer,,888,888
7,SSM,Stuart Anderson,869,,869
8,ES,Michael Woodard,865,,865
9,FS,Tom Fellows,860,,860
10,SM,Nate Hocking,830,,830
11,STU,Philip Carhuff,,788,788
