The Fall Series for 2009 is a best 3 out of 4 event series.,,,,,,,
,,,,,,,
PAX Class,,,,,,
Rank,Class,Name,Sep,Oct,Nov,Total
1,STU,Ben Clement,979,1000,1000,2979
2,ST,David Rock,980,998,998,2976
3,F125/ST,Keith Lensch,918,986,986,2890
4,AS,Rob Rockefeller,,964,975,1939
5,AS,Bill Fisher,,952,985,1937
6,AS,Nathan Crum,897,,918,1815
7,ST,Kurt Brown,861,,911,1772
8,FS,Jim Bright,903,,864,1767
9,STU,Clint Child,1000,,,1000
10,XP,Fred Zust,997,,,997
11,GS,David Webb,,,990,990
12,STU,Chris Groppi,,,987,987
13,AS,Brian Peters,,,984,984
14,GS,Mindi Cross,,,969,969
15,STU,Jonathan Eddy,962,,,962
16,STU,Mike Quigley,,939,,939
17,ST,Britt Dollmeyer,929,,,929
18,AS,Mark Eddy,,,917,917
19,ASP,Ted Lewis,913,,,913
Open Classes,,,,,,
Rank,Class,Name,Sep,Oct,Nov,Total
1,SS,John Carson,871,908,919,2698
1,AS,Bruce Patterson,896,883,877,2656
1,BS,Bruce Hazen,,,838,838
1,CS,Ralph Prince,811,801,824,2436
1,DS,Al Blankenship,,,867,867
1,FS,Fred Petersen,897,916,930,2743
1,GS,Kris Tvedt,,,959,959
1,BSP,John Yamasaki,,868,902,1770
1,CSP,Gene Sanders,881,,936,1817
1,FSP,Shannon Schofield,900,,897,1797
1,ST,Amro Habib,937,931,966,2834
2,ST,Andy Ross,932,,937,1869
3,ST,Brock Palmer,899,920,,1819
4,ST,Tim Bergstrom,936,,,936
5,ST,Arnaldo (Naz) Nazario,907,,,907
6,ST,Thayer Keller,,864,,864
1,STR,Larry Burrow,923,955,946,2824
2,STR,James Hayden,885,916,891,2692
3,STR,Jay Balducci,956,,983,1939
4,STR,Matt Soeffner,927,,944,1871
5,STR,Kevin Gleaton,,,932,932
6,STR,Jeff Burrow,,,894,894
1,STU,Tim Bergstrom,,970,954,1924
2,STU,Brian Weikert,,,986,986
1,STX,Dennis Lach,851,,,851
1,SSM,Dave Skull,886,920,906,2712
2,SSM,Carl Tootle,,,876,876
Ladies Class,,,,,,
Rank,Class,Name,Sep,Oct,Nov,Total
1,STU,Teresa Clement,943,957,939,2839
2,STR,Mitzi Burrow,878,,,878
Novice Class,,,,,,
Rank,Class,Name,Sep,Oct,Nov,Total
1,ES,Omar Gutierrez,845,874,904,2623
2,STS,Keith Garaas,784,822,897,2503
3,BS,Seth Stephenson,737,844,853,2434
4,ES,Andrew Haberbosch,722,802,832,2356
5,STU,David Lacasse,798,847,,1645
6,ES,Brady Johnson,,748,811,1559
7,DS,John Leonhardt,896,,,896
8,STU,Will Chun,,879,,879
9,ASP,Dustin Freeman,870,,,870
10,ASP,Michael Esser,,,867,867
11,FS,Marco Marazzi,,,863,863
12,SS,Brett Sovey,,,845,845
13,GS,Nathan Welborne,829,,,829
14,ASP,Mike Esser,808,,,808
15,AS,Ian Reves,793,,,793
16,SSM,Charlene Videen,,,773,773
17,HS,Danny Hardy,766,,,766
18,DS,Robert Dye,,,758,758
19,F125,Peter Drubin,749,,,749
20,DS,Alec Schemenauer,743,,,743
21,DS,Gayle Gentile,,,734,734
22,FS,Alina Wong,,670,,670
23,STS,Christopher Norton,,,647,647
24,DS,David Gunter,627,,,627
25,FS,Philip Carhuff,573,,,573
Street Class,,,,,,
Rank,Class,Name,Sep,Oct,Nov,Total
1,AS,Chris Sparling,910,932,945,2787
2,DSP,Jeff Israel,902,937,930,2769
3,CS,Thomas Martell,912,911,938,2761
4,SM,Jana Sutton,892,905,915,2712
5,ES,Jamal Brewer,,888,917,1805
6,FS,Tom Fellows,860,,888,1748
7,SSM,Stuart Anderson,869,,867,1736
8,GS,Scott Meyers,,,926,926
9,CS,Harry Berzes,,,921,921
10,AS,Tom Reed,,899,,899
11,GS,Glenda Meyers,,,876,876
12,ES,Michael Woodard,865,,,865
13,SM,Nate Hocking,830,,,830
14,STU,Philip Carhuff,,788,,788
