The Fall Series for 2009 is a best 3 out of 4 event series.,,,,,,,
,,,,,,,
PAX Class,,,,,,
Rank,Class,Name,Sep,Oct,Nov,Dec,Total
1,ST,David Rock,980,998,998,998,2994
2,STU,Ben Clement,979,1000,1000,976,2979
3,F125/ST,Keith Lensch,918,986,986,969,2941
4,AS,Rob Rockefeller, ,964,975,957,2896
5,AS,Bill Fisher, ,952,985,911,2848
6,STU,Clint Child,1000, , ,992,1992
7,AS/ST,Brian Peters, , ,984,1000,1984
8,XP,Fred Zust,997, , ,971,1968
9,GS,David Webb, , ,990,913,1903
10,GS,Mindi Cross, , ,969,926,1895
11,STU,Jonathan Eddy,962, , ,925,1887
12,AS,Nathan Crum,897, ,918, ,1815
13,ST,Kurt Brown,861, ,911, ,1772
14,FS,Jim Bright,903, ,864, ,1767
15,AS/F125,Mark Eddy, , ,917,692,1609
16,STU,Chris Groppi, , ,987, ,987
17,DSP,Doug Rowse, , , ,962,962
18,SM,Larry Petrucci, , , ,958,958
19,DSP,Kevin Gleaton, , , ,948,948
20,STU,Mike Quigley, ,939, , ,939
21,ST,Britt Dollmeyer,929, , , ,929
22,ASP,Ted Lewis,913, , , ,913
23,GS,Kris Tvedt, , , ,879,879
Open Classes, , , , , , , 
Rank,Class,Name,Sep,Oct,Nov,Dec,Total
1,SS,John Carson,871,908,919, ,2698
1,AS,Bruce Patterson,896,883,877, ,2656
1,BS,Bruce Hazen, , ,838, ,838
1,CS,Ralph Prince,811,801,824,741,2436
1,DS,Al Blankenship, , ,867, ,867
1,FS,Fred Petersen,897,916,930,922,2768
1,GS,Kris Tvedt, , ,959, ,959
1,BSP,John Yamasaki, ,868,902,843,2613
1,CSP,Gene Sanders,881, ,936,903,2720
2,CSP,David Lahey, , , ,958,958
3,CSP,Don Sattler, , , ,944,944
1,FSP,Shannon Schofield,900, ,897, ,1797
1,ST,Amro Habib,937,931,966,912,2834
2,ST,Andy Ross,932, ,937,957,2826
3,ST,Brock Palmer,899,920, , ,1819
4,ST,Thayer Keller, ,864, ,835,1699
5,ST,Tim Bergstrom,936, , , ,936
6,ST,Arnaldo (Naz) Nazario,907, , , ,907
1,STR,Jay Balducci,956, ,983,980,2919
2,STR,Larry Burrow,923,955,946,938,2839
3,STR,James Hayden,885,916,891, ,2692
4,STR,Matt Soeffner,927, ,944, ,1871
5,STR,Kevin Gleaton, , ,932, ,932
6,STR,Mitzi Burrow, , , ,900,900
7,STR,Jeff Burrow, , ,894, ,894
8,STR,Michael Esser, , , ,869,869
1,STU,Brian Weikert, , ,986,978,1964
2,STU,Tim Bergstrom, ,970,954, ,1924
1,STX,Dennis Lach,851, , , ,851
1,SSM,Dave Skull,886,920,906, ,2712
2,SSM,Carl Tootle, , ,876, ,876
Ladies Class, , , , , , , 
Rank,Class,Name,Sep,Oct,Nov,Dec,Total
1,STU,Teresa Clement,943,957,939, ,2839
2,STR,Mitzi Burrow,878, , , ,878
Novice Class, , , , , , , 
Rank,Class,Name,Sep,Oct,Nov,Dec,Total
1,ES/STS,Omar Gutierrez,845,874,904,896,2674
2,STS,Keith Garaas,784,822,897,896,2615
3,ES,Andrew Haberbosch,722,802,832,806,2440
4,BS,Seth Stephenson,737,844,853, ,2434
5,ES,Brady Johnson, ,748,811,780,2339
6,STU,David Lacasse,798,847, , ,1645
7,DS,Gayle Gentile, , ,734,752,1486
8,DS,Robert Dye, , ,758,668,1426
9,DS,John Leonhardt,896, , , ,896
10,STU,Will Chun, ,879, , ,879
11,ASP,Dustin Freeman,870, , , ,870
12,ASP,Michael Esser, , ,867, ,867
13,FS,Marco Marazzi, , ,863, ,863
14,SS,Brett Sovey, , ,845, ,845
15,GS,Nathan Welborne,829, , , ,829
16,STU,Philip Bohn, , , ,815,815
17,FS,Justin Floyd, , , ,815,815
18,ASP,Mike Esser,808, , , ,808
19,AS,Ian Reves,793, , , ,793
20,SM,Christopher Willett, , , ,791,791
21,SSM,Charlene Videen, , ,773, ,773
22,HS,Danny Hardy,766, , , ,766
23,F125,Peter Drubin,749, , , ,749
24,DS,Alec Schemenauer,743, , , ,743
25,FS,Steve Carter, , , ,728,728
26,FS,Alina Wong, ,670, , ,670
27,STS,Christopher Norton, , ,647, ,647
28,DS,David Gunter,627, , , ,627
29,FS,Philip Carhuff,573, , , ,573
Street Class, , , , , , , 
Rank,Class,Name,Sep,Oct,Nov,Dec,Total
1,AS,Chris Sparling,910,932,945,923,2800
2,DSP,Jeff Israel,902,937,930,922,2789
3,CS,Thomas Martell,912,911,938,906,2761
4,SM,Jana Sutton,892,905,915,908,2728
5,ES,Jamal Brewer, ,888,917,904,2709
6,FS,Tom Fellows,860, ,888,884,2632
7,SSM,Stuart Anderson,869, ,867,852,2588
8,CS,Harry Berzes, , ,921,904,1825
9,GS,Scott Meyers, , ,926, ,926
10,AS,Tom Reed, ,899, , ,899
11,BSP,Brad Mccann, , , ,899,899
12,GS,Glenda Meyers, , ,876, ,876
13,SS,John Carson, , , ,873,873
14,ES,Michael Woodard,865, , , ,865
15,SM,Nate Hocking,830, , , ,830
16,STU,Philip Carhuff, ,788, , ,788
