
AZBR SCCA SPRING SERIES 2009 - EVENT I,,,,,,,,,,,,,,,,
Rank,Class,Name,Year/Make/Model,Run 1,,Run 2,,Run 3,,Run 4,,Best Time,Time Rank,PAX Time,PAX Rank,Cls Pts
PAX Class,,,,,,,,,,,,,,,,
1,STU,Clint Child,05 mitsu/evo,51.967,(4),47.018,,50.699,(4),48.578,(2),47.018,5,39.307,1,1000
2,STU,Ben Clement,05 Mitsubishi/Evo,70.415,(22),47.933,,47.132,,47.349,,47.132,6,39.402,2,998
3,SS,Brian Peters,07 Chevy/Z06,50.675,(2),46.892,,46.358,,50.344,(4),46.358,3,39.682,3,991
4,AS,Rob Rockefeller,03 Honda/S2000,47.717,,47.455,,54.408,(6),51.476,(4),47.455,7,40.005,4,983
5,ST,David Rock,01 Toyota/Celica,50.045,,49.701,,49.879,,48.926,,48.926,10,40.021,5,982
6,SS,Jay Balducci,03 Chevy/Corvette,48.390,,48.349,,47.799,,47.000,,47.000,4,40.232,6,977
7,STU,Chris Groppi,04 Subaru/WRX STi,49.849,,49.007,,48.719,,DNF,,48.719,8,40.729,7,965
8,STU,Jonathan Eddy,05 Subaru/WRX STi,DNF,,49.702,,49.639,,48.845,,48.845,9,40.834,8,963
9,GS,Mindi Cross,06 MINI/Cooper S,53.332,,50.938,,49.997,,50.021,,49.997,14,41.048,10,958
10,GS,David Webb,06 MINI/Cooper S,51.040,,50.448,,51.707,,50.376,,50.376,16,41.359,13,950
11,STX,Jeff Israel,04 Volkswagen/Golf R32,51.587,(2),51.019,(2),52.033,(2),51.964,(2),51.019,22,41.938,18,937
12,GS,Kris Tvedt,03 Toyota/Celica,54.858,(2),74.600,(22),52.872,(2),51.229,,51.229,24,42.059,19,935
13,F125,Mark Eddy,99 kgb/spy shifter,49.021,(2),44.890,,45.005,,44.122,,44.122,1,42.225,20,931
14,BSP,John Yamasaki,05 Mazda/RX-8,69.809,(2),59.298,(2),54.928,,62.312,,54.928,47,47.183,50,833
Open Classes,,,,,,,,,,,,,,,,
1,SS,John Carson,06 Lotus/Elise,56.531,,53.870,(2),51.628,,50.482,,50.482,17,43.213,28,910
1,AS,Bruce Patterson,03 Honda/S2000,52.243,,51.484,,50.995,,50.900,,50.900,20,42.909,26,916
2,AS,Trevor Davis,07 Pontiac/Solstice GXP,60.033,,54.134,,53.063,,53.003,,53.003,33,44.682,34,880
1,DS,Fred Petersen,08 BMW/335i,61.415,,57.782,,56.287,,56.420,(2),56.287,52,46.099,40,853
1,ES,Jamal Brewer,95 Mazda/Miata R,54.036,,53.517,(2),50.615,,52.255,(2),50.615,18,41.656,16,944
1,BM,Alan Wagstaffe,00 Legrand/Dragon SR1,45.586,,47.675,(2),49.356,(4),45.272,,45.272,2,42.737,24,920
1,ST,Andy Ross,91 Honda/Civic,52.008,,52.054,(2),49.919,,56.451,(4),49.919,13,40.834,9,963
2,ST,Arnaldo (Naz) Nazario,90 Honda/Civic Si,56.686,,51.981,,51.108,,55.391,(2),51.108,23,41.806,17,940
3,ST,Keith Lensch,01 Toyota/Celica,66.935,,53.784,,54.144,,51.688,,51.688,25,42.281,21,930
1,STU,Nathan Crum,08 Subaru/Sti,52.656,,53.640,(2),50.970,,51.415,,50.970,21,42.611,23,922
1,STX,Erich Eikenberry,02 Subaru/WRX,51.441,,50.421,,50.241,,50.338,,50.241,15,41.298,12,952
2,STX,Matt Evans,04 Subaru/WRX,53.910,,51.985,,51.834,,51.791,,51.791,26,42.572,22,923
3,STX,Dennis Lach,05 subaru/wrx wagon,55.075,,53.352,,52.423,,52.178,,52.178,28,42.890,25,916
1,SM,Ben Kunk,89 Toyota/Cressida,75.583,(20),DNF,,71.438,(20),54.405,(2),54.405,43,47.169,49,833
2,SM,Frank Peebles,04 Subaru/WRX,58.697,(2),DNF,,54.555,,55.090,,54.555,45,47.299,51,831
1,SSM,Dave Skull,91 Toyota/MR2,74.641,(24),52.934,(2),50.826,,55.844,(4),50.826,19,44.524,33,883
2,SSM,Stuart Anderson,99 Mazda/Miata,55.596,,53.976,,53.373,,54.988,(2),53.373,35,46.755,45,841
3,SSM,Greg Mondeau,00 BMW/M coupe,56.180,,56.969,,54.718,,54.423,,54.423,44,47.675,54,824
Ladies Class,,,,,,,,,,,,,,,,
1,STU,Teresa Clement,05 Mitsubishi/Evo,54.016,(2),49.505,,52.377,(2),49.901,,49.505,11,41.386,14,950
2,ST,Gail Kopp,95 Honda/Civic,81.190,(20),59.262,,58.352,,58.126,,58.126,56,47.547,52,827
Novice Class,,,,,,,,,,,,,,,,
1,STU,Will Chun,07 Subaru/WRX Wagon,64.556,,60.098,(2),54.823,,55.984,(2),54.823,46,45.832,38,858
2,GS,Bruce Hazen,05 Mini/Cooper S,58.148,,56.091,,59.312,,57.500,,56.091,49,46.051,39,854
3,SS,Brett Sovey,07 Chevy/Corvette,77.333,(20),61.306,(4),54.741,,53.965,,53.965,40,46.194,41,851
4,SS,Chris Cox,06 Chevrolet/Corvette,56.950,,54.127,,57.460,(4),56.107,(2),54.127,41,46.333,42,848
5,SM,Anders Zway,04 Subaru/WRX,62.067,,56.159,,54.196,,53.613,,53.613,37,46.482,43,846
6,SM,Jana Sutton,04 Mini/Cooper S,56.087,,55.088,,53.810,,54.883,,53.810,38,46.653,44,843
7,BS,Mark Teng,08 Hyundai/Sonata,63.820,,59.157,(2),66.683,,56.117,,56.117,50,46.858,46,839
8,XP,Peter Drubin,06 Lotus/Exige,56.945,,55.719,,53.445,,53.873,,53.445,36,47.138,48,834
9,CS,Kent Stevens,99 Mazda/Miata,62.582,,58.755,,59.430,(2),56.889,,56.889,53,47.616,53,825
10,BS,Garrick Sleight,05 Nissan/350Z,62.190,,57.811,,59.287,,60.033,(2),57.811,54,48.272,55,814
11,SM,Michael Sunday,92 Chevy/Camaro,87.606,(20),61.498,,62.596,,57.873,,57.873,55,50.176,56,783
12,SM,Corbitt Farren,05 Honda/Accord,58.958,,60.416,(2),61.513,(2),59.150,(2),58.958,57,51.117,57,769
13,CSP,Peter Whitney,99 Mazda/Miata,81.740,(20),DNF,,60.357,,66.996,(2),60.357,58,52.028,58,755
14,SSM,Carl Tootle,90 Mazda/Miata,70.519,,60.916,(2),80.095,(22),60.922,(4),60.916,59,53.362,59,737
15,FS,Jeremy Soule,85 BMW 635CSI,72.039,,75.197,,71.806,,67.194,,67.194,60,55.973,60,702
16,CS,Ward Stevens,99 Mazda/Miata,DNF,,90.283,(20),91.767,(20),67.350,,67.350,61,56.372,61,697
17,SSM,Charlene Videen,90 Mazda/Miata MX5,84.682,,75.124,,89.631,(20),68.138,,68.138,62,59.689,62,659
Street Class,,,,,,,,,,,,,,,,
1,FS,Jim Bright,06 Ford/Mustang GT,73.500,(22),52.296,(2),49.518,,50.311,,49.518,12,41.248,11,953
2,HS,Zach Fellows,05 Honda/Civic,53.924,,54.520,(2),52.913,,51.920,,51.920,27,41.640,15,944
3,DS,Kevin O'Neill,08 Audi/TT Quattro,52.742,,69.498,(20),69.180,(20),53.936,,52.742,32,43.196,27,910
4,ES,Michael Woodard,95 Mazda/Miata,55.385,,54.494,,53.264,,52.581,,52.581,31,43.274,29,908
5,FSP,John Lawson,96 Dodge/Neon,55.377,(2),53.979,,53.518,,52.465,,52.465,30,43.598,30,902
6,DS,Thomas Martell,08 BMW/135i,53.860,,DNF,,76.763,(24),54.356,(2),53.860,39,44.111,31,891
7,FS,Chase Torres,06 Ford/Mustang gt,76.203,(20),58.917,(4),58.555,(6),53.320,(2),53.320,34,44.416,32,885
8,FS,Tom Fellows,07 BMW/335i,57.779,,54.589,,54.291,,54.139,,54.139,42,45.098,35,872
9,DS,Dave Hymers,02 Subaru/Impreza WRX Wagon,66.357,(2),78.257,(20),55.071,,58.005,(2),55.071,48,45.103,36,871
10,SM,Harry Steiner,95 Nissan/240SX,77.330,(22),52.284,,73.634,(20),53.549,,52.284,29,45.330,37,867
11,CS,Jim Williamson,00 Mazda/Miata,80.152,(20),62.119,(2),56.239,,56.630,,56.239,51,47.072,47,835
Time Only runs (sorted by PAX),,,,,,,,,,,,,,,,
1,SS,Brian Peters,07 Chevy/Z06,45.863,,46.080,,54.194,(8),52.009,(6),45.863,,39.259,,1001
2,ST,David Rock,01 Toyota/Celica,48.936,,48.885,,49.205,,49.566,,48.885,,39.988,,983
3,AS,Rob Rockefeller,03 Honda/S2000,48.007,,48.346,,49.835,(2),47.453,,47.453,,40.003,,983
4,STU,Chris Groppi,04 Subaru/WRX STi,49.672,,52.715,(4),50.943,(2),47.953,,47.953,,40.089,,980
5,STU,Clint Child,05 mitsu/evo,49.342,(2),48.624,(2),54.937,(8),48.441,(2),48.441,,40.497,,971
6,STU,Teresa Clement,05 Mitsubishi/Evo,53.327,(4),49.720,,54.391,(4),48.445,,48.445,,40.500,,971
7,STX,Erich Eikenberry,02 Subaru/WRX,50.148,,49.827,,49.487,,53.727,(4),49.487,,40.678,,966
8,ST,Keith Lensch,01 Toyota/Celica,50.401,,50.560,,50.592,,51.794,,50.401,,41.228,,953
9,STX,Jeff Israel,04 Volkswagen/Golf R32,53.781,(4),50.217,,52.273,(2),50.396,,50.217,,41.278,,952
10,STU,Jonathan Eddy,05 Subaru/WRX STi,51.666,(2),53.923,,49.980,,49.528,,49.528,,41.405,,949
11,STU,Nathan Crum,08 Subaru/Sti,50.191,,49.529,,55.149,(4),57.265,(8),49.529,,41.406,,949
12,STX,Matt Evans,04 Subaru/WRX,53.322,,50.392,,51.844,,DNS,,50.392,,41.422,,949
13,DS,Kevin O'Neill,08 Audi/TT Quattro,61.297,(4),50.586,,51.733,(2),69.964,(20),50.586,,41.430,,949
14,FS,Jim Bright,06 Ford/Mustang GT,53.515,(4),53.571,(2),52.808,(2),50.030,,50.030,,41.675,,943
15,GS,Mindi Cross,06 MINI/Cooper S,50.787,,51.518,,51.781,,52.789,,50.787,,41.696,,943
16,ST,Arnaldo (Naz) Nazario,90 Honda/Civic Si,56.077,(4),51.428,,51.360,,65.771,(4),51.360,,42.012,,936
17,GS,David Webb,06 MINI/Cooper S,51.512,,51.328,,71.750,(20),56.494,(4),51.328,,42.140,,933
18,SS,John Carson,06 Lotus/Elise,53.475,(4),49.308,,57.288,(8),52.968,(2),49.308,,42.208,,931
19,F125,Mark Eddy,99 kgb/spy shifter,46.755,(2),45.147,,45.161,,44.275,,44.275,,42.371,,928
20,AS,Bruce Patterson,03 Honda/S2000,53.249,(2),55.906,,54.884,,50.391,,50.391,,42.480,,925
21,DS,Fred Petersen,08 BMW/335i,55.961,,52.108,,54.500,,55.411,(2),52.108,,42.676,,921
22,SS,Jay Balducci,03 Chevy/Corvette,79.681,(22),49.859,(2),51.889,(4),53.666,(6),49.859,,42.679,,921
23,STU,Ben Clement,05 Mitsubishi/Evo,70.027,(22),51.717,(4),51.086,(4),51.090,(4),51.086,,42.708,,920
24,GS,Kris Tvedt,03 Toyota/Celica,52.378,,54.192,(2),56.548,(4),53.198,,52.378,,43.002,,914
25,FSP,John Lawson,96 Dodge/Neon,52.731,,52.096,,52.407,,51.918,,51.918,,43.144,,911
26,STX,Dennis Lach,05 subaru/wrx wagon,53.942,(2),52.567,,53.963,(2),53.518,,52.567,,43.210,,910
27,FS,Chase Torres,06 Ford/Mustang gt,52.595,,52.893,(2),54.811,(2),79.220,(22),52.595,,43.812,,897
28,SM,Harry Steiner,95 Nissan/240SX,56.012,(2),52.981,(2),52.703,(2),50.938,,50.938,,44.163,,890
29,HS,Gail Kopp,95 Honda/Civic,57.487,,56.578,,56.236,,55.546,,55.546,,44.548,,882
30,AS,Trevor Davis,07 Pontiac/Solstice GXP,52.866,,52.908,,53.939,,53.229,,52.866,,44.566,,882
31,SS,Chris Cox,06 Chevrolet/Corvette,54.912,(2),54.607,(2),52.434,,53.320,(2),52.434,,44.884,,876
32,GS,Bruce Hazen,05 Mini/Cooper S,67.848,(4),55.050,,54.955,,55.566,,54.955,,45.118,,871
33,SM,Anders Zway,04 Subaru/WRX,53.080,,52.605,,52.791,,52.079,,52.079,,45.152,,871
34,SM,Ben Kunk,89 Toyota/Cressida,52.794,,56.240,(2),53.193,,52.221,,52.221,,45.276,,868
35,XP,Peter Drubin,06 Lotus/Exige,53.665,,53.177,,52.054,,52.444,,52.054,,45.912,,856
36,SM,Jana Sutton,04 Mini/Cooper S,53.579,,56.797,(4),54.103,,53.035,,53.035,,45.981,,855
37,BS,Garrick Sleight,05 Nissan/350Z,56.862,,58.067,(2),58.493,,56.198,,56.198,,46.925,,838
38,SSM,Stuart Anderson,99 Mazda/Miata,54.310,,54.096,,53.757,,53.948,,53.757,,47.091,,835
39,BSP,John Yamasaki,05 Mazda/RX-8,55.835,(2),56.706,(2),54.979,,55.576,,54.979,,47.227,,832
40,DS,Dave Hymers,02 Subaru/Impreza WRX Wagon,58.019,(2),57.688,(2),61.190,(2),60.522,(2),57.688,,47.246,,832
41,SSM,Carl Tootle,90 Mazda/Miata,78.467,(20),54.789,,54.395,,54.525,,54.395,,47.650,,825
42,CS,Jim Williamson,00 Mazda/Miata,57.602,,58.867,,57.126,,57.422,,57.126,,47.814,,822
43,SSM,Greg Mondeau,00 BMW/M coupe,56.675,,55.382,,55.256,,57.326,(2),55.256,,48.404,,812
44,BS,Mark Teng,08 Hyundai/Sonata,68.743,,61.435,,62.950,,79.040,(20),61.435,,51.298,,766
45,SSM,Charlene Videen,90 Mazda/Miata MX5,64.516,(2),62.104,,64.472,(2),63.181,,62.104,,54.403,,723
