
AZBR SCCA Fall Series 2009 - EVENT III,,,,,,,,,,,,,,,,
Rank,Class,Name,Year/Make/Model,Run 1,,Run 2,,Run 3,,Run 4,,Best Time,Time Rank,PAX Time,PAX Rank,Cls Pts
PAX Class,,,,,,,,,,,,,,,,
1,STU,Ben Clement,05 Mitsubishi/Evo,57.209,(4),53.674,(2),51.572,,50.892,,50.892,1,42.546,1,1000
2,ST,David Rock,01 Toyota/Celica,56.643,(2),54.500,(2),53.932,(2),52.099,,52.099,8,42.617,2,998
3,GS,David Webb,06 MINI/Cooper S,55.805,(2),52.520,,52.347,,54.364,(2),52.347,9,42.977,3,990
4,STU,Chris Groppi,04 Subaru/WRX STi,72.954,(20),52.194,,51.561,,51.905,,51.561,4,43.105,4,987
5,ST,Keith Lensch,01 Toyota/Celica,57.665,(2),53.540,,53.594,,52.767,,52.767,11,43.163,6,986
6,AS,Bill Fisher,08 Honda/S2000,54.294,(2),53.114,(2),51.251,,52.357,,51.251,2,43.205,7,985
7,AS,Brian Peters,03 Honda/S2000,52.962,(2),51.284,,53.019,(2),52.878,(2),51.284,3,43.232,8,984
8,AS,Rob Rockefeller,03 Honda/S2000,54.080,(2),52.409,,51.770,,52.248,,51.770,7,43.642,10,975
9,GS,Mindi Cross,06 MINI/Cooper S,DNF,,60.025,(6),53.460,,53.579,,53.460,14,43.891,11,969
10,AS,Nathan Crum,08 Subaru/WRX STI,56.911,,57.749,(2),60.277,(2),54.981,,54.981,28,46.349,28,918
11,AS,Mark Eddy,00 Honda/S2000,59.330,(4),55.021,(2),56.992,(4),58.573,(6),55.021,29,46.383,29,917
12,ST,Kurt Brown,99 Honda/Civic,57.074,,62.897,(6),DNF,,59.198,(2),57.074,39,46.687,32,911
13,FS,Jim Bright,06 Ford/Mustang GT,62.405,(2),65.502,(8),59.894,(2),59.143,(2),59.143,46,49.266,47,864
Open Classes,,,,,,,,,,,,,,,,
1,SS,John Carson,06 Lotus/Elise,77.346,(20),54.109,,55.949,(2),61.221,,54.109,21,46.317,27,919
1,AS,Bruce Patterson,03 Honda/S2000,66.374,,59.224,,58.096,,57.527,,57.527,43,48.495,41,877
1,BS,Bruce Hazen,05 Mini/Cooper,87.371,(20),60.917,,60.786,,61.095,,60.786,51,50.756,51,838
1,CS,Ralph Prince,99 wazda/miata,76.762,,69.628,(2),65.374,(2),61.666,,61.666,52,51.614,53,824
1,DS,Al Blankenship,05 Chrysler/Crossfire,61.772,,62.085,,61.359,(2),59.904,,59.904,50,49.061,44,867
1,FS,Fred Petersen,08 BMW/335i,55.893,,54.907,,56.469,(2),54.942,,54.907,26,45.738,24,930
1,GS,Kris Tvedt,03 Toyota/Celica,59.139,(2),60.880,(4),58.225,(4),54.061,,54.061,20,44.384,13,959
